LGA_CODE_2016,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1_or2_st_bl_NofB_0_ib,Flt_at_In_1_or2_s_b_NofB_1,Flt_at_In_1_or2_s_b_NofB_2,Flt_at_In_1_or2_s_b_NofB_3,Flt_at_In_1_or2_s_b_NofB_4,Flt_at_In_1_or2_s_b_NofB_5,Flt_at_In_1_or2_s_b_NoB_6_m,Flt_at_In_1_or2_s_b_NoB_NS,Flt_at_In_1_or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4_or_m_s_b_NofB_0_ib,Flt_apt_4_or_m_s_b_NofB_1,Flt_apt_4_or_m_s_b_NofB_2,Flt_apt_4_or_m_s_b_NofB_3,Flt_apt_4_or_m_s_b_NofB_4,Flt_apt_4_or_m_s_b_NofB_5,Flt_apt_4_or_m_s_b_NofB_6_m,Flt_apt_4_or_m_s_b_NofB_NS,Flt_apt_4_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
LGA15850,3,27,267,974,662,134,23,66,2162,0,3,11,8,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,3,11,8,0,0,0,0,30,0,34,36,8,3,0,0,3,84,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,37,35,12,3,0,0,6,90,0,0,3,0,0,0,0,4,10,0,0,3,5,3,0,0,3,22,7,71,324,1000,670,139,24,81,2318
LGA15900,42,446,7364,21662,9869,1951,514,795,42634,15,499,2218,1123,67,15,10,116,4062,18,483,1944,2182,312,76,26,115,5154,28,989,4162,3309,377,86,37,236,9215,97,1425,1399,356,37,9,16,178,3515,35,413,1343,240,7,3,6,94,2142,45,360,810,539,34,0,3,45,1830,9,72,43,12,3,3,4,8,152,182,2279,3601,1138,79,18,28,322,7644,12,51,65,42,17,3,0,15,213,7,61,75,57,15,6,9,38,271,275,3821,15271,26213,10356,2062,581,1401,59974
LGA15950,4,41,412,1318,1065,343,65,47,3301,3,43,477,603,138,12,0,25,1297,9,116,685,1677,329,50,13,43,2922,13,162,1165,2276,469,64,14,69,4224,45,715,1729,894,80,8,9,61,3544,129,1845,3867,1095,53,13,6,119,7123,448,3792,5336,1826,62,7,5,211,11690,0,0,12,4,3,0,0,0,24,626,6355,10951,3817,196,25,16,397,22382,3,27,33,7,4,0,0,9,70,3,23,26,16,0,0,3,11,92,648,6602,12584,7433,1740,433,98,529,30068
LGA15990,65,534,3122,17520,19864,7221,1583,794,50714,76,333,764,690,202,20,8,118,2212,41,481,1378,2912,618,78,28,139,5682,112,809,2144,3606,825,102,34,255,7895,128,1634,3192,1269,167,38,13,248,6684,80,2354,8913,1352,54,10,3,299,13067,132,1979,4837,1478,44,3,3,161,8634,3,37,32,15,8,0,0,8,106,341,6007,16970,4117,263,56,25,719,28497,18,75,205,76,15,8,3,48,455,9,74,104,75,37,17,6,56,385,552,7504,22541,25399,21011,7411,1659,1871,87940
LGA16100,10,21,200,811,536,95,22,54,1745,0,0,3,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,11,0,15,17,0,0,0,0,5,35,0,3,7,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,22,0,0,0,0,9,41,0,6,3,0,0,0,0,0,11,0,3,14,37,14,4,0,0,66,7,50,246,847,547,99,24,60,1875
LGA16150,19,93,1018,5847,4527,727,115,279,12629,9,144,726,262,12,0,0,48,1208,0,76,59,45,6,0,0,3,198,12,223,788,305,22,0,0,53,1405,6,152,253,45,5,0,4,23,488,0,4,33,0,0,0,0,0,39,0,0,11,7,0,0,0,0,17,0,3,3,0,0,0,0,0,6,6,153,298,56,5,0,4,26,547,7,6,7,5,0,0,0,6,34,0,13,32,15,14,4,5,58,125,36,492,2136,6226,4567,735,124,420,14735
LGA16200,7,59,570,2208,1457,256,69,134,4764,0,15,64,47,4,0,0,3,129,0,10,0,0,0,0,0,0,13,0,25,62,47,4,0,0,3,146,15,60,158,25,5,0,0,17,283,0,0,10,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,64,166,25,5,3,0,17,290,9,13,6,5,4,0,0,5,41,0,3,8,18,4,4,9,0,50,27,164,817,2297,1481,265,70,163,5294
LGA16260,50,266,2568,14823,11991,3487,847,616,34645,63,355,828,1103,109,12,4,82,2555,31,358,1621,4988,1618,177,31,177,9002,94,719,2450,6091,1725,187,31,260,11562,83,668,2934,637,41,5,10,209,4586,57,553,6984,1379,45,7,3,241,9275,179,2761,9793,2071,58,4,3,312,15180,0,11,15,11,0,0,0,5,41,322,3995,19732,4092,142,13,8,767,29082,4,21,135,62,11,5,0,11,240,8,61,82,43,40,8,4,51,297,478,5060,24964,25106,13909,3708,893,1703,75819
LGA16350,60,376,1949,24001,19287,4170,1021,997,51865,28,219,842,1370,92,14,10,117,2700,13,201,691,3351,329,13,4,179,4793,42,425,1535,4722,424,28,18,293,7490,35,250,1100,160,3,3,3,77,1632,18,106,1184,105,0,0,0,51,1473,9,55,530,63,0,0,3,19,683,0,11,23,3,6,0,0,3,44,64,420,2839,336,13,3,7,149,3826,4,60,85,42,11,3,3,25,231,10,23,54,75,33,11,10,26,245,184,1304,6465,29177,19780,4216,1053,1486,63667
LGA16380,39,219,2249,10710,7363,1341,269,457,22644,5,154,1606,1094,56,14,3,119,3047,3,57,337,468,82,10,0,30,982,5,202,1943,1569,140,16,3,146,4026,14,474,871,308,18,0,4,97,1781,0,39,389,68,3,0,0,26,532,0,91,593,253,11,0,0,34,973,0,0,0,0,0,0,0,0,4,14,605,1855,634,26,0,4,155,3293,43,210,321,73,10,0,0,47,706,10,27,50,46,32,5,4,26,188,112,1257,6416,13031,7559,1362,283,829,30855
