LGA_CODE_2016,Count_home_Census_Nt_0_14_yr,Count_hom_Census_Nt_15_24_yr,Count_hom_Census_Nt_25_34_yr,Count_hom_Census_Nt_35_44_yr,Count_hom_Census_Nt_45_54_yr,Count_hom_Census_Nt_55_64_yr,Count_hom_Census_Nt_65_74_yr,Count_hom_Census_Nt_75_84_yr,Count_hom_Census_Nt_85ov,Counted_home_Census_Night_Tot,VisSame_SA2_0_14_yr,VisSame_SA2_15_24_yr,VisSame_SA2_25_34_yr,VisSame_SA2_35_44_yr,VisSame_SA2_45_54_yr,VisSame_SA2_55_64_yr,VisSame_SA2_65_74_yr,VisSame_SA2_75_84_yr,VisSame_SA2_85ov,VisSame_SA2_Total,VisDiff_SA2_NSW_0_14_yr,VisDiff_SA2_NSW_15_24_yr,VisDiff_SA2_NSW_25_34_yr,VisDiff_SA2_NSW_35_44_yr,VisDiff_SA2_NSW_45_54_yr,VisDiff_SA2_NSW_55_64_yr,VisDiff_SA2_NSW_65_74_yr,VisDiff_SA2_NSW_75_84_yr,VisDiff_SA2_NSW_85ov,VisDiff_SA2_NSW_Total,VisDiff_SA2_VIC_0_14_yr,VisDiff_SA2_VIC_15_24_yr,VisDiff_SA2_VIC_25_34_yr,VisDiff_SA2_VIC_35_44_yr,VisDiff_SA2_VIC_45_54_yr,VisDiff_SA2_VIC_55_64_yr,VisDiff_SA2_VIC_65_74_yr,VisDiff_SA2_VIC_75_84_yr,VisDiff_SA2_VIC_85ov,VisDiff_SA2_VIC_Total,VisDiff_SA2_QLD_0_14_yr,VisDiff_SA2_QLD_15_24_yr,VisDiff_SA2_QLD_25_34_yr,VisDiff_SA2_QLD_35_44_yr,VisDiff_SA2_QLD_45_54_yr,VisDiff_SA2_QLD_55_64_yr,VisDiff_SA2_QLD_65_74_yr,VisDiff_SA2_QLD_75_84_yr,VisDiff_SA2_QLD_85ov,VisDiff_SA2_QLD_Total,VisDiff_SA2_SA_0_14_yr,VisDiff_SA2_SA_15_24_yr,VisDiff_SA2_SA_25_34_yr,VisDiff_SA2_SA_35_44_yr,VisDiff_SA2_SA_45_54_yr,VisDiff_SA2_SA_55_64_yr,VisDiff_SA2_SA_65_74_yr,VisDiff_SA2_SA_75_84_yr,VisDiff_SA2_SA_85ov,VisDiff_SA2_SA_Total,VisDiff_SA2_WA_0_14_yr,VisDiff_SA2_WA_15_24_yr,VisDiff_SA2_WA_25_34_yr,VisDiff_SA2_WA_35_44_yr,VisDiff_SA2_WA_45_54_yr,VisDiff_SA2_WA_55_64_yr,VisDiff_SA2_WA_65_74_yr,VisDiff_SA2_WA_75_84_yr,VisDiff_SA2_WA_85ov,VisDiff_SA2_WA_Total,VisDiff_SA2_TAS_0_14_yr,VisDiff_SA2_TAS_15_24_yr,VisDiff_SA2_TAS_25_34_yr,VisDiff_SA2_TAS_35_44_yr,VisDiff_SA2_TAS_45_54_yr,VisDiff_SA2_TAS_55_64_yr,VisDiff_SA2_TAS_65_74_yr,VisDiff_SA2_TAS_75_84_yr,VisDiff_SA2_TAS_85ov,VisDiff_SA2_TAS_Total,VisDiff_SA2_NT_0_14_yr,VisDiff_SA2_NT_15_24_yr,VisDiff_SA2_NT_25_34_yr,VisDiff_SA2_NT_35_44_yr,VisDiff_SA2_NT_45_54_yr,VisDiff_SA2_NT_55_64_yr,VisDiff_SA2_NT_65_74_yr,VisDiff_SA2_NT_75_84_yr,VisDiff_SA2_NT_85ov,VisDiff_SA2_NT_Total,VisDiff_SA2_ACT_0_14_yr,VisDiff_SA2_ACT_15_24_yr,VisDiff_SA2_ACT_25_34_yr,VisDiff_SA2_ACT_35_44_yr,VisDiff_SA2_ACT_45_54_yr,VisDiff_SA2_ACT_55_64_yr,VisDiff_SA2_ACT_65_74_yr,VisDiff_SA2_ACT_75_84_yr,VisDiff_SA2_ACT_85ov,VisDiff_SA2_ACT_Total,VisDiff_SA2_OT_0_14_yr,VisDiff_SA2_OT_15_24_yr,VisDiff_SA2_OT_25_34_yr,VisDiff_SA2_OT_35_44_yr,VisDiff_SA2_OT_45_54_yr,VisDiff_SA2_OT_55_64_yr,VisDiff_SA2_OT_65_74_yr,VisDiff_SA2_OT_75_84_yr,VisDiff_SA2_OT_85ov,VisDiff_SA2_OT_Total,VisDiff_SA2_Tot_0_14_yr,VisDiff_SA2_Tot_15_24_yr,VisDiff_SA2_Tot_25_34_yr,VisDiff_SA2_Tot_35_44_yr,VisDiff_SA2_Tot_45_54_yr,VisDiff_SA2_Tot_55_64_yr,VisDiff_SA2_Tot_65_74_yr,VisDiff_SA2_Tot_75_84_yr,VisDiff_SA2_Tot_85ov,VisDiff_SA2_Tot_Total,Vis_Tot_Visitrs_0_14_yr,Vis_Tot_Visitrs_15_24_yr,Vis_Tot_Visitrs_25_34_yr,Vis_Tot_Visitrs_35_44_yr,Vis_Tot_Visitrs_45_54_yr,Vis_Tot_Visitrs_55_64_yr,Vis_Tot_Visitrs_65_74_yr,Vis_Tot_Visitrs_75_84_yr,Vis_Tot_Visitrs_85ov,Vis_Tot_Visitrs_Total,Total_0_14_yr,Total_15_24_yr,Total_25_34_yr,Total_35_44_yr,Total_45_54_yr,Total_55_64_yr,Total_65_74_yr,Total_75_84_yr,Total_85ov,Total_Total
LGA11600,495,261,338,300,376,347,193,131,61,2500,3,0,0,0,0,0,0,0,0,9,15,35,37,21,8,20,18,5,0,158,0,16,0,5,0,4,8,3,0,39,0,0,0,0,0,0,4,0,0,4,3,0,0,0,0,3,7,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,49,42,28,11,24,35,13,0,223,22,49,44,28,15,26,36,13,0,235,518,312,384,328,395,373,228,141,56,2738
LGA11650,58947,36046,33283,37760,41689,40046,34132,20552,9767,312210,57,64,37,37,58,49,49,35,20,406,1158,1596,1572,1092,1083,1178,989,583,384,9627,33,29,39,44,50,58,69,16,0,342,50,42,64,73,83,83,59,23,3,479,15,7,15,18,12,14,28,3,0,115,6,10,19,26,28,33,11,5,0,146,3,6,4,3,11,12,7,9,3,55,3,4,3,5,11,0,6,0,0,34,30,18,24,22,12,23,10,3,0,141,0,0,0,0,0,0,4,0,0,8,1304,1708,1749,1274,1296,1405,1184,640,388,10948,1361,1771,1784,1311,1350,1452,1232,676,412,11351,60304,37815,35066,39071,43039,41497,35361,21224,10184,323565
LGA11700,330,205,221,190,226,245,167,65,19,1664,5,0,3,3,0,0,0,0,0,17,14,39,44,23,37,39,21,7,0,219,0,3,9,3,4,7,20,0,0,42,0,11,4,3,0,3,8,0,0,28,0,3,8,7,9,3,5,0,0,36,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,20,60,55,37,51,50,64,13,0,336,26,60,63,39,51,50,64,9,0,359,358,268,280,231,272,296,226,74,19,2024
LGA11720,11017,6496,6741,6553,6659,6705,5169,2428,995,52756,16,13,6,16,8,7,5,3,3,84,295,350,387,249,284,278,223,106,55,2225,4,4,5,7,15,5,17,6,0,64,6,7,33,20,44,35,24,3,0,173,0,0,3,0,4,8,7,0,0,28,0,0,14,0,5,3,3,0,0,25,0,3,0,0,0,6,8,0,0,16,0,0,3,3,0,0,0,0,0,7,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,301,362,442,281,361,342,287,116,55,2544,316,375,448,296,373,350,297,116,53,2627,11334,6869,7193,6849,7035,7048,5466,2547,1055,55385
LGA11730,8077,4629,3883,4881,6327,7723,6876,3767,1543,47705,10,20,12,17,14,7,21,10,0,106,233,346,266,198,307,461,499,204,68,2576,5,4,21,6,24,124,324,101,15,626,66,62,100,82,91,151,116,39,9,722,7,0,3,4,13,24,30,6,0,85,8,3,11,6,3,5,10,0,0,38,3,0,4,0,4,7,11,5,0,35,0,0,0,3,0,0,0,0,0,12,0,0,0,4,0,23,33,3,0,70,0,0,0,0,0,3,0,0,0,3,314,422,403,307,443,809,1025,364,93,4173,327,445,412,319,451,818,1040,376,93,4273,8406,5068,4290,5204,6779,8538,7924,4135,1635,51977
LGA11750,997,440,659,554,530,544,322,198,67,4312,0,0,0,3,3,0,0,0,3,15,27,30,77,42,49,65,35,7,4,334,0,3,10,3,12,22,24,10,0,85,9,8,6,10,14,9,11,3,0,63,0,0,0,3,0,4,21,6,0,38,3,4,0,8,9,3,8,0,0,35,0,0,0,0,3,3,3,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,44,100,66,79,112,99,25,8,569,41,44,96,70,86,114,99,29,10,583,1033,481,754,628,618,651,416,223,76,4894
LGA11800,12972,7436,7139,7789,9096,9962,7836,4553,1962,68742,22,14,19,19,11,15,10,11,7,131,351,466,447,341,446,591,625,289,95,3654,34,21,53,37,32,159,381,160,20,886,67,77,102,70,87,142,148,29,10,722,3,5,5,3,10,24,49,20,6,125,6,3,14,8,12,18,20,10,0,87,4,0,4,6,10,8,51,5,0,93,0,9,3,3,0,0,0,0,0,16,7,0,3,4,3,21,49,27,3,117,0,0,0,0,0,3,0,0,0,4,466,579,625,473,597,978,1328,542,131,5710,488,591,647,486,608,993,1331,553,137,5840,13460,8025,7781,8281,9702,10949,9172,5104,2105,74580
LGA12000,872,425,322,420,572,524,499,317,109,4056,3,4,0,0,0,0,0,0,0,8,8,25,13,17,4,10,14,3,0,96,0,0,0,0,0,3,4,3,0,12,4,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,27,14,17,10,12,21,7,0,118,17,32,14,18,11,12,21,5,0,133,886,452,339,434,578,540,517,323,114,4186
LGA12150,760,352,412,350,538,528,406,225,101,3668,3,4,0,4,0,0,0,0,0,12,13,45,30,14,23,32,30,4,6,198,0,0,0,0,3,9,22,3,0,37,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,9,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,13,45,30,15,29,46,66,4,6,259,19,49,31,15,28,46,62,5,6,270,776,403,449,369,568,575,468,234,110,3940
LGA12350,2105,1262,1005,1207,1580,1680,1569,927,416,11757,5,4,0,0,5,5,0,0,0,23,65,87,72,55,63,65,50,22,7,484,0,3,7,0,5,4,18,9,3,45,0,0,0,9,3,7,15,0,0,30,0,0,0,0,0,3,12,0,0,12,0,0,0,0,0,0,3,0,0,5,0,0,3,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,6,3,4,4,3,3,0,4,0,0,21,0,0,0,0,0,0,0,0,0,0,70,98,88,60,69,85,95,34,9,613,74,101,93,60,71,88,95,34,9,637,2179,1369,1094,1273,1655,1770,1668,958,424,12389
