LGA_CODE_2016,D_21_24_FPT_MPET,D_21_24_FPT_MPULFTW,D_21_24_FPT_MPULPTW,D_21_24_FPT_MPUT,D_21_24_FPT_MPTLF,D_21_24_FPT_MPNLF,D_21_24_FPT_MPLFSNS,D_21_24_FPT_T,TDCF_FPEFT_MPEFT,TDCF_FPEFT_MPEPT,TDCF_FPEFT_MPEAW,TDCF_FPEFT_MPEHNS,TDCF_FPEFT_MPET,TDCF_FPEFT_MPULFTW,TDCF_FPEFT_MPULPTW,TDCF_FPEFT_MPUT,TDCF_FPEFT_MPTLF,TDCF_FPEFT_MPNLF,TDCF_FPEFT_MPLFSNS,TDCF_FPEFT_T,TDCF_FPEPT_MPEFT,TDCF_FPEPT_MPEPT,TDCF_FPEPT_MPEAW,TDCF_FPEPT_MPEHNS,TDCF_FPEPT_MPET,TDCF_FPEPT_MPULFTW,TDCF_FPEPT_MPULPTW,TDCF_FPEPT_MPUT,TDCF_FPEPT_MPTLF,TDCF_FPEPT_MPNLF,TDCF_FPEPT_MPLFSNS,TDCF_FPEPT_T,TDCF_FPEAW_MPEFT,TDCF_FPEAW_MPEPT,TDCF_FPEAW_MPEAW,TDCF_FPEAW_MPEHNS,TDCF_FPEAW_MPET,TDCF_FPEAW_MPULFTW,TDCF_FPEAW_MPULPTW,TDCF_FPEAW_MPUT,TDCF_FPEAW_MPTLF,TDCF_FPEAW_MPNLF,TDCF_FPEAW_MPLFSNS,TDCF_FPEAW_T,TDCF_FPHNS_MPEFT,TDCF_FPHNS_MPEPT,TDCF_FPHNS_MPEAW,TDCF_FPHNS_MPEHNS,TDCF_FPHNS_MPET,TDCF_FPHNS_MPULFTW,TDCF_FPHNS_MPULPTW,TDCF_FPHNS_MPUT,TDCF_FPHNS_MPTLF,TDCF_FPHNS_MPNLF,TDCF_FPHNS_MPLFSNS,TDCF_FPHNS_T,TDCF_FPET_MPEFT,TDCF_FPET_MPEPT,TDCF_FPET_MPEAW,TDCF_FPET_MPEHNS,TDCF_FPET_MPET,TDCF_FPET_MPULFTW,TDCF_FPET_MPULPTW,TDCF_FPET_MPUT,TDCF_FPET_MPTLF,TDCF_FPET_MPNLF,TDCF_FPET_MPLFSNS,TDCF_FPET_T,TDCF_FPULFTW_MPEFT,TDCF_FPULFTW_MPEPT,TDCF_FPULFTW_MPEAW,TDCF_FPULFTW_MPEHNS,TDCF_FPULFTW_MPET,TDCF_FPULFTW_MPULFTW,TDCF_FPULFTW_MPULPTW,TDCF_FPULFTW_MPUT,TDCF_FPULFTW_MPTLF,TDCF_FPULFTW_MPNLF,TDCF_FPULFTW_MPLFSNS,TDCF_FPULFTW_T,TDCF_FPULPTW_MPEFT,TDCF_FPULPTW_MPEPT,TDCF_FPULPTW_MPEAW,TDCF_FPULPTW_MPEHNS,TDCF_FPULPTW_MPET,TDCF_FPULPTW_MPULFTW,TDCF_FPULPTW_MPULPTW,TDCF_FPULPTW_MPUT,TDCF_FPULPTW_MPTLF,TDCF_FPULPTW_MPNLF,TDCF_FPULPTW_MPLFSNS,TDCF_FPULPTW_T,TDCF_FPUT_MPEFT,TDCF_FPUT_MPEPT,TDCF_FPUT_MPEAW,TDCF_FPUT_MPEHNS,TDCF_FPUT_MPET,TDCF_FPUT_MPULFTW,TDCF_FPUT_MPULPTW,TDCF_FPUT_MPUT,TDCF_FPUT_MPTLF,TDCF_FPUT_MPNLF,TDCF_FPUT_MPLFSNS,TDCF_FPUT_T,TDCF_FPTLF_MPEFT,TDCF_FPTLF_MPEPT,TDCF_FPTLF_MPEAW,TDCF_FPTLF_MPEHNS,TDCF_FPTLF_MPET,TDCF_FPTLF_MPULFTW,TDCF_FPTLF_MPULPTW,TDCF_FPTLF_MPUT,TDCF_FPTLF_MPTLF,TDCF_FPTLF_MPNLF,TDCF_FPTLF_MPLFSNS,TDCF_FPTLF_T,TDCF_FPNLF_MPEFT,TDCF_FPNLF_MPEPT,TDCF_FPNLF_MPEAW,TDCF_FPNLF_MPEHNS,TDCF_FPNLF_MPET,TDCF_FPNLF_MPULFTW,TDCF_FPNLF_MPULPTW,TDCF_FPNLF_MPUT,TDCF_FPNLF_MPTLF,TDCF_FPNLF_MPNLF,TDCF_FPNLF_MPLFSNS,TDCF_FPNLF_T,TDCF_FPLFSNS_MPEFT,TDCF_FPLFSNS_MPEPT,TDCF_FPLFSNS_MPEAW,TDCF_FPLFSNS_MPEHNS,TDCF_FPLFSNS_MPET,TDCF_FPLFSNS_MPULFTW,TDCF_FPLFSNS_MPULPTW,TDCF_FPLFSNS_MPUT,TDCF_FPLFSNS_MPTLF,TDCF_FPLFSNS_MPNLF,TDCF_FPLFSNS_MPLFSNS,TDCF_FPLFSNS_T,TDCF_FPT_MPEFT,TDCF_FPT_MPEPT,TDCF_FPT_MPEAW,TDCF_FPT_MPEHNS,TDCF_FPT_MPET,TDCF_FPT_MPULFTW,TDCF_FPT_MPULPTW,TDCF_FPT_MPUT,TDCF_FPT_MPTLF,TDCF_FPT_MPNLF,TDCF_FPT_MPLFSNS,TDCF_FPT_T
LGA14200,6,0,0,0,6,0,0,10,516,77,4,3,604,12,3,15,613,34,0,643,668,106,15,11,798,18,13,23,821,27,10,855,60,5,17,0,78,5,0,5,84,0,0,84,5,0,0,21,31,0,0,0,35,3,0,36,1249,186,29,39,1508,32,14,44,1555,62,10,1626,8,3,0,4,11,10,0,10,23,3,0,29,17,3,0,0,20,0,0,0,22,11,0,31,24,7,0,4,29,13,0,14,47,13,0,61,1277,194,29,35,1537,44,11,58,1598,81,10,1680,374,66,26,0,465,49,9,61,526,169,0,696,3,4,0,0,6,0,0,0,6,0,11,16,1659,257,51,41,2008,102,21,116,2126,246,15,2394
LGA14300,3,0,0,0,3,0,0,5,220,17,0,0,242,10,0,10,248,18,0,272,272,32,8,0,310,0,0,0,316,15,0,325,36,0,8,0,41,3,0,3,42,0,0,42,5,0,0,3,9,3,0,3,11,0,0,11,530,52,14,3,598,12,0,12,616,36,0,649,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,15,0,0,0,15,0,0,15,15,0,0,3,18,0,0,0,18,0,0,18,547,52,14,5,621,12,0,12,628,36,0,666,117,14,0,10,143,12,0,18,160,35,0,193,0,0,0,0,0,0,0,0,0,0,3,3,659,67,14,17,758,30,0,31,789,70,3,859
LGA14350,18,0,0,0,18,3,0,19,609,134,14,4,767,10,4,17,775,51,0,828,872,182,27,11,1097,8,4,16,1109,107,10,1235,70,12,17,3,103,0,0,0,106,0,0,104,8,4,3,23,45,0,0,0,45,3,0,51,1555,335,63,47,2001,20,11,32,2034,165,13,2211,9,6,0,4,22,5,0,5,23,15,0,35,34,4,0,0,41,6,0,6,48,5,0,53,49,12,0,4,61,9,0,9,69,17,0,89,1607,345,63,51,2066,32,11,39,2104,182,13,2304,469,119,23,40,641,51,11,59,706,277,6,984,4,0,0,3,5,0,0,0,5,0,22,31,2072,464,85,88,2717,83,17,98,2818,460,40,3320
LGA14400,86,0,0,0,91,17,0,105,741,99,15,6,861,4,0,4,863,48,0,912,1446,179,26,13,1666,14,3,22,1691,59,6,1761,169,5,28,0,200,0,0,0,200,3,0,203,17,0,0,13,32,0,0,0,32,0,0,32,2367,285,67,38,2761,20,3,25,2785,110,6,2905,6,4,0,0,4,0,0,3,10,0,0,10,52,9,9,0,70,3,0,3,72,4,0,74,60,8,9,0,76,3,0,3,82,10,0,84,2428,296,77,41,2837,19,6,26,2860,118,6,2990,451,71,5,21,542,11,3,10,555,69,0,623,8,0,0,3,14,0,0,0,14,0,0,16,2892,366,80,56,3392,31,9,40,3434,190,11,3631
LGA14500,1226,37,8,44,1271,134,3,1405,7581,721,58,35,8392,214,42,258,8649,484,3,9127,9146,726,92,60,10025,163,25,190,10215,225,11,10453,568,54,55,6,681,8,0,8,690,14,0,698,87,3,0,75,171,0,3,7,174,6,8,188,17391,1501,200,171,19264,388,74,455,19721,730,17,20469,217,5,0,5,236,42,0,42,272,14,0,284,437,39,3,4,489,40,5,42,529,27,0,553,654,43,6,15,721,75,5,80,796,39,0,836,18043,1547,206,182,19982,462,75,534,20517,772,17,21309,5577,445,71,61,6156,185,23,207,6365,536,3,6899,12,0,0,21,35,0,0,0,35,3,22,63,23637,1995,277,262,26172,648,102,744,26914,1312,42,28265
LGA14550,9,0,0,0,9,0,0,8,244,36,0,0,286,0,0,0,286,8,0,296,259,54,6,3,324,3,3,11,335,26,0,358,20,3,0,0,22,0,0,0,23,0,0,26,3,0,0,9,14,0,0,0,14,4,0,21,529,96,8,15,646,8,3,15,660,40,0,702,4,6,0,0,6,5,0,5,11,13,0,23,0,0,0,3,7,0,0,0,7,0,0,11,7,9,0,3,16,5,0,5,23,15,0,31,533,101,8,17,665,13,3,15,682,51,0,730,187,45,9,4,252,11,8,12,261,117,0,380,0,0,0,0,0,0,0,0,0,0,0,0,718,149,20,26,908,28,5,36,944,171,0,1113
LGA14600,0,0,0,0,0,0,3,7,154,11,4,0,167,4,0,4,171,15,0,184,288,22,0,10,319,8,0,8,330,7,0,341,26,3,15,0,38,0,0,0,39,0,0,39,15,0,0,21,35,0,0,0,35,3,3,43,489,29,12,32,562,17,0,17,575,27,3,605,3,0,0,0,3,9,0,9,9,3,0,9,9,0,0,0,9,0,0,0,9,8,0,16,15,0,0,0,15,9,0,9,22,9,0,30,500,29,12,32,575,18,0,18,598,38,3,635,182,25,10,19,237,18,3,17,253,48,3,302,0,0,0,0,0,0,0,0,0,0,0,0,687,53,20,50,812,38,3,39,847,88,4,943
LGA14650,632,11,8,16,650,90,7,745,6616,770,83,40,7506,132,36,167,7670,522,18,8206,12303,1313,194,110,13917,178,27,209,14128,453,14,14594,1026,125,143,15,1316,20,10,31,1342,36,6,1390,126,7,3,100,235,3,0,3,236,10,3,249,20065,2221,421,259,22967,334,74,410,23376,1026,41,24437,141,36,0,9,188,35,3,36,222,22,0,247,438,68,7,4,513,48,4,54,570,27,0,599,579,105,7,12,704,80,10,91,793,52,0,846,20646,2324,430,272,23672,412,79,496,24167,1075,38,25283,4867,596,142,111,5718,229,34,263,5982,1028,24,7028,27,6,3,11,51,0,0,0,51,3,44,103,25545,2927,574,397,29444,644,114,756,30200,2104,105,32409
LGA14700,221,3,0,6,225,24,0,251,1967,185,14,12,2176,70,11,79,2255,105,0,2368,2227,187,15,7,2440,29,5,34,2478,54,3,2535,238,24,17,4,286,0,0,0,289,6,0,293,11,0,3,25,40,0,0,0,40,4,0,41,4440,407,55,47,4941,100,14,114,5058,174,3,5232,55,8,0,0,65,9,0,9,81,0,0,77,122,14,0,0,133,4,0,6,139,3,0,145,178,23,0,0,203,20,0,21,222,4,0,221,4617,425,56,46,5146,115,14,135,5276,175,3,5459,1257,138,13,23,1437,30,6,34,1468,81,0,1557,15,0,0,0,15,0,0,0,15,0,9,19,5882,565,72,71,6589,148,22,166,6763,255,13,7030
LGA14750,6,0,0,0,6,0,0,5,428,40,9,11,487,3,0,3,490,10,0,501,575,47,8,5,633,0,3,4,635,8,0,647,61,6,0,3,68,0,0,0,68,0,0,68,0,4,0,6,10,0,0,0,10,0,0,10,1066,95,15,23,1204,5,3,4,1207,20,0,1229,12,0,0,0,12,0,0,0,15,0,0,15,31,5,0,0,35,0,0,0,35,0,4,36,43,5,0,0,48,0,0,0,49,0,4,54,1107,103,15,28,1249,4,3,9,1255,20,7,1280,309,39,9,18,381,3,3,11,387,57,3,443,0,0,0,0,3,0,0,0,4,0,10,13,1419,140,21,47,1629,12,5,16,1649,78,18,1740
LGA14850,43,7,0,3,49,3,0,53,1307,202,15,10,1538,16,14,31,1567,99,0,1666,1835,393,24,13,2260,31,14,50,2309,136,4,2449,137,19,16,3,180,4,0,7,179,10,0,193,14,4,0,30,46,0,3,3,48,3,0,55,3295,618,55,61,4031,52,36,85,4111,246,4,4364,30,10,0,0,44,10,0,10,55,3,0,59,52,24,0,0,79,10,3,11,91,11,0,103,84,33,0,0,123,23,4,27,146,17,0,164,3379,657,55,61,4146,73,40,110,4256,268,4,4528,818,262,19,24,1115,60,18,80,1197,266,3,1459,4,0,3,3,10,0,0,0,12,4,16,31,4196,915,80,80,5278,130,59,187,5463,534,24,6024
LGA14870,18,0,0,0,18,4,0,20,514,43,5,3,568,7,0,7,579,37,3,616,921,86,7,11,1025,19,5,21,1048,43,3,1093,95,9,14,11,132,4,0,4,134,0,0,134,15,4,0,12,33,0,0,0,33,0,0,33,1548,146,28,35,1757,28,5,36,1786,78,4,1874,14,3,0,0,11,6,0,6,23,8,3,31,31,5,4,0,44,0,0,0,44,10,0,52,44,9,4,0,61,6,0,6,68,13,3,84,1596,157,36,35,1814,38,5,44,1856,98,4,1960,425,66,16,23,527,61,3,69,596,167,8,768,13,0,0,3,16,0,0,0,16,3,8,26,2031,226,52,57,2363,97,8,105,2466,261,24,2751
LGA14900,1205,42,20,66,1274,356,5,1634,9718,958,113,61,10853,221,59,276,11130,697,14,11841,9301,1442,132,109,10981,169,36,205,11193,502,9,11704,887,78,118,13,1095,15,0,15,1112,34,0,1145,178,36,0,223,438,4,0,7,447,36,8,495,20088,2506,369,406,23372,408,102,504,23876,1269,30,25182,356,85,3,12,454,67,12,79,531,61,0,593,555,151,3,12,726,67,33,100,828,109,0,934,913,242,8,22,1175,131,45,177,1357,166,0,1525,20996,2748,375,432,24548,538,145,688,25230,1438,30,26700,9269,2654,211,494,12630,591,223,815,13445,5004,69,18508,38,29,0,48,111,8,3,5,117,22,197,339,30308,5428,588,964,37290,1138,373,1510,38797,6462,297,45550
LGA14920,6,0,0,0,6,0,0,6,214,13,4,0,227,0,0,0,227,14,0,247,317,33,0,0,352,0,0,0,350,10,0,368,34,0,4,0,41,4,0,4,44,0,0,44,4,0,0,6,11,0,0,0,11,9,0,13,573,44,12,3,634,0,0,0,632,36,0,665,6,0,0,0,6,8,0,8,11,3,0,14,28,3,0,0,29,0,3,3,32,0,0,32,32,3,0,0,36,8,3,7,45,3,0,45,606,46,12,3,666,13,3,16,680,38,0,713,208,26,8,17,256,10,4,17,275,54,4,333,4,0,0,0,4,0,0,0,4,0,0,3,814,75,18,22,928,25,5,26,955,93,6,1051
LGA14950,5,0,0,0,5,0,0,5,129,3,0,0,133,0,0,0,138,3,0,140,199,14,3,0,217,3,5,3,224,6,0,228,28,0,0,0,32,0,0,0,32,0,0,32,10,0,0,3,11,0,0,0,11,0,0,11,364,20,3,3,396,3,5,6,401,11,0,410,4,0,0,0,4,0,0,0,4,3,0,4,5,0,0,0,5,3,0,3,10,0,0,10,10,0,0,0,8,3,0,3,16,3,0,16,372,24,3,3,405,6,5,10,415,10,0,424,82,10,0,3,93,3,0,3,98,38,0,132,0,0,0,0,0,0,0,0,0,0,0,0,461,29,3,4,495,10,5,15,512,42,0,560
LGA15050,188,6,3,8,192,20,0,216,3005,288,36,13,3342,72,11,88,3431,174,3,3600,4987,471,71,39,5577,83,10,95,5672,146,5,5817,449,29,52,4,539,13,0,13,553,10,0,558,49,3,0,39,91,8,0,8,96,3,6,106,8491,797,164,97,9550,170,23,198,9746,331,12,10088,99,28,3,7,135,33,7,38,171,12,0,188,302,39,3,4,348,19,9,29,377,24,6,408,405,65,7,9,490,55,14,67,552,32,6,594,8896,860,173,107,10036,221,39,261,10298,367,25,10680,2474,307,86,67,2935,129,38,173,3107,315,5,3428,19,0,0,12,26,0,0,0,26,3,10,47,11389,1168,258,183,13001,354,76,434,13428,682,44,14151
LGA15240,49,0,0,0,49,12,0,57,1843,330,49,28,2248,29,10,41,2286,211,3,2507,3008,669,79,55,3808,107,13,123,3928,291,0,4222,188,46,38,0,270,0,0,0,278,17,0,295,40,6,0,42,90,3,0,3,92,4,0,98,5079,1040,165,128,6419,139,26,170,6586,520,7,7111,39,25,6,5,77,38,0,42,115,23,0,139,124,28,8,5,162,17,8,29,191,18,0,209,164,53,11,10,243,60,11,67,305,44,0,348,5248,1098,181,136,6658,199,32,231,6888,569,7,7466,1525,423,73,85,2113,149,30,178,2290,748,17,3050,26,0,0,0,25,0,0,0,26,4,38,72,6791,1524,254,229,8800,344,67,412,9216,1315,56,10582
LGA15270,8,0,0,0,8,0,0,9,623,52,7,8,692,13,0,13,705,45,0,751,1344,140,14,20,1514,21,5,24,1541,49,0,1596,93,11,31,0,134,0,0,0,134,6,0,144,15,3,0,20,33,0,0,0,33,0,0,36,2071,205,59,43,2372,37,5,42,2414,102,0,2521,42,0,0,0,40,13,0,13,54,5,0,59,65,7,0,0,79,13,0,13,89,0,0,89,107,6,0,0,114,20,0,27,142,5,0,149,2172,213,63,43,2487,58,11,65,2557,106,0,2667,811,119,32,15,975,49,14,55,1031,174,0,1209,6,0,0,0,3,0,0,0,3,0,11,15,2989,334,87,60,3471,102,22,126,3594,280,14,3891
LGA15300,3,0,0,0,3,0,0,3,445,36,0,3,477,6,0,6,484,6,3,494,585,32,6,13,636,6,0,6,640,8,0,656,55,5,11,0,68,0,0,0,68,0,0,68,9,0,0,18,26,0,0,0,26,0,0,26,1091,73,18,35,1214,7,0,7,1222,19,3,1244,11,0,0,0,12,6,6,12,19,0,0,26,4,9,0,0,12,7,0,7,18,3,0,20,19,11,0,0,30,10,6,10,41,3,0,40,1103,85,18,35,1242,20,6,21,1263,24,3,1291,318,26,16,18,371,16,0,16,388,98,0,492,3,0,0,0,5,0,0,0,5,0,9,12,1422,107,29,53,1617,32,6,41,1656,120,17,1795
LGA15350,182,5,5,9,190,11,0,203,1192,114,9,8,1323,23,14,35,1362,63,0,1420,1466,133,4,12,1620,25,0,25,1643,30,0,1673,141,16,11,0,168,0,0,0,166,7,0,171,3,0,3,6,20,0,0,0,20,5,0,29,2808,263,32,30,3124,51,15,68,3194,96,3,3295,31,6,0,0,32,3,0,3,34,4,0,44,68,11,0,3,80,3,0,4,81,0,0,81,98,14,0,3,115,7,0,8,118,4,0,129,2899,277,36,34,3238,53,18,70,3313,102,3,3418,1401,154,10,25,1592,42,4,46,1635,101,0,1739,8,0,0,3,8,0,0,0,8,3,5,18,4307,431,43,59,4840,99,20,119,4957,208,4,5178
LGA15520,5,0,0,0,5,0,0,3,459,28,6,9,504,3,3,5,507,13,5,518,657,72,15,3,742,6,0,6,755,25,0,776,53,9,10,0,70,0,0,0,70,0,0,70,5,4,0,7,19,0,0,0,19,3,0,16,1169,112,27,23,1336,9,3,15,1345,35,5,1382,3,0,0,0,3,0,0,0,3,0,0,3,17,0,0,0,22,0,0,0,22,0,0,22,27,0,0,0,29,0,0,0,29,0,0,29,1196,112,31,23,1357,9,3,15,1371,35,5,1409,260,30,9,13,313,3,0,3,315,24,0,336,15,0,0,0,15,0,0,0,15,3,3,23,1469,142,41,32,1688,15,3,19,1698,62,6,1768
LGA15560,3,0,0,0,3,0,0,3,132,16,0,0,147,8,0,8,151,10,0,158,184,15,0,3,203,3,4,3,209,7,0,218,9,4,5,0,22,0,0,0,22,0,0,22,0,0,0,6,6,0,0,0,6,0,0,6,322,43,5,11,385,9,4,13,398,20,0,412,3,0,0,0,3,0,0,0,0,0,0,0,8,0,0,3,7,0,0,0,7,0,0,7,9,0,0,3,13,0,0,0,14,0,0,14,332,43,5,13,395,12,4,13,410,20,0,426,105,6,0,0,110,0,0,0,110,15,3,131,0,0,0,0,0,0,0,0,0,0,0,0,431,47,5,16,509,12,4,13,519,33,3,558
LGA15650,12,0,0,0,12,0,0,12,482,32,16,8,542,12,4,19,556,23,0,584,904,83,13,4,1004,15,0,14,1018,21,0,1039,80,12,15,0,103,0,0,0,106,3,0,105,12,0,0,17,26,0,0,0,26,7,3,31,1475,129,39,31,1672,24,7,32,1710,51,4,1760,30,4,0,3,35,8,0,8,45,5,0,55,43,3,0,8,55,0,0,0,55,0,0,55,78,8,0,5,88,8,0,8,95,5,0,106,1551,134,39,43,1767,38,7,38,1803,61,4,1864,583,63,22,14,682,52,5,58,738,134,0,871,10,3,0,0,11,0,0,0,11,0,12,28,2148,197,59,56,2456,87,10,98,2559,186,20,2760
LGA15700,11,0,0,0,11,3,0,14,423,88,4,7,521,12,5,17,540,58,0,594,518,157,23,3,693,39,8,51,740,87,0,827,47,16,8,0,62,3,0,3,67,6,0,68,13,0,0,15,24,0,0,0,24,3,0,32,994,253,34,23,1300,52,19,74,1369,146,0,1516,9,3,0,0,9,5,0,5,21,16,0,28,26,3,0,0,26,8,0,7,29,0,0,33,29,4,0,0,40,11,0,13,48,15,0,62,1022,256,34,23,1334,66,17,85,1422,160,0,1581,348,108,14,16,485,52,0,52,532,150,3,681,10,0,0,0,10,0,0,0,10,0,6,15,1382,368,48,38,1833,114,17,136,1962,309,10,2278
LGA15750,4,0,0,0,4,0,0,4,525,32,11,3,569,5,0,5,570,14,0,587,733,42,13,7,800,3,0,3,799,23,0,822,61,0,19,0,82,0,0,0,85,0,0,85,15,0,0,21,41,0,0,0,41,0,0,41,1337,82,42,26,1488,6,0,6,1493,39,0,1529,9,6,0,4,18,3,3,5,18,0,0,25,12,0,0,0,12,9,0,9,19,0,3,19,21,6,0,4,26,6,3,10,39,0,3,42,1357,87,42,28,1513,17,3,15,1529,35,4,1574,322,23,9,3,352,23,7,34,387,78,7,474,3,0,0,0,3,0,0,0,3,0,6,17,1686,106,45,35,1875,39,8,51,1924,116,18,2059
LGA15800,4,0,0,0,4,0,0,4,193,14,3,0,213,0,0,0,215,11,0,224,324,30,5,7,356,3,0,3,363,21,0,380,25,3,4,0,30,0,0,0,30,0,0,30,8,0,0,9,18,0,0,0,18,0,0,18,549,47,13,14,618,8,0,8,624,30,0,651,6,0,0,0,6,0,0,0,5,0,0,5,9,0,0,0,7,0,3,3,8,0,0,8,14,0,0,0,9,0,3,4,13,0,0,13,560,47,9,14,629,11,3,11,637,30,0,668,128,18,3,4,146,6,6,15,158,24,3,186,3,0,0,0,3,0,0,0,3,0,0,3,692,59,15,14,783,13,5,25,801,52,3,861
LGA15850,4,0,0,0,4,0,0,4,229,13,0,0,242,0,0,0,242,10,0,249,283,32,8,8,335,7,3,17,351,14,0,364,30,8,0,0,36,0,0,0,36,0,0,36,6,0,0,7,10,0,0,0,10,0,0,10,548,49,6,13,619,8,4,15,638,25,0,658,3,0,0,0,3,3,0,3,11,3,0,10,6,0,4,0,11,0,0,0,11,0,0,11,10,0,4,0,11,3,0,3,19,3,0,24,554,49,9,13,634,15,4,20,654,25,0,680,133,19,3,6,162,14,4,25,188,37,0,229,0,0,0,0,0,0,0,0,0,0,3,7,691,71,14,18,798,36,13,43,848,66,3,914
LGA15900,412,14,4,19,431,74,0,504,4616,627,76,29,5351,129,25,162,5511,358,3,5871,8677,994,95,58,9828,142,25,169,10004,296,5,10302,839,104,80,5,1026,12,4,19,1044,33,3,1078,81,13,0,84,177,6,0,6,185,12,3,195,14215,1737,254,182,16388,290,56,351,16739,700,11,17454,139,27,0,0,171,33,3,37,210,14,0,223,289,50,5,5,350,37,12,47,400,30,0,429,428,77,9,5,521,70,20,85,607,41,0,651,14648,1814,259,183,16908,363,80,436,17344,747,11,18101,3212,452,88,81,3829,154,43,201,4031,766,7,4802,19,7,0,13,43,0,0,0,43,22,35,100,17880,2273,347,282,20786,515,125,640,21420,1530,58,23011
LGA15950,201,4,3,12,211,22,0,232,2099,232,17,11,2354,83,12,92,2446,163,0,2609,2099,221,15,18,2352,42,9,53,2408,34,3,2440,443,33,44,0,525,3,0,3,526,6,0,534,35,3,0,27,62,0,3,3,68,4,0,72,4668,490,79,57,5291,136,15,152,5448,208,3,5654,80,3,0,5,87,16,0,16,105,3,0,111,126,8,0,8,146,3,3,4,154,0,0,150,209,13,0,10,233,20,3,24,259,6,0,265,4874,508,76,67,5526,154,19,178,5706,213,3,5919,1524,106,28,22,1682,24,4,33,1713,98,5,1817,7,0,0,8,9,0,0,0,9,0,0,9,6404,613,106,95,7219,183,22,207,7430,306,8,7744
LGA15990,1250,28,12,40,1282,108,3,1403,12504,1301,104,62,13967,209,58,265,14232,677,14,14919,20274,1759,189,119,22339,235,33,269,22608,437,18,23064,1462,134,199,11,1814,7,0,7,1815,32,3,1850,222,21,3,180,419,0,0,0,421,12,12,447,34458,3216,495,373,38541,454,88,543,39083,1155,44,40279,197,27,0,0,226,39,6,43,272,11,0,287,716,49,9,17,796,28,12,36,832,22,0,852,910,80,10,19,1023,60,15,82,1101,35,0,1136,35375,3294,507,389,39565,517,105,627,40189,1184,44,41413,8238,720,168,148,9275,158,28,181,9458,599,7,10070,42,8,3,18,69,0,0,0,69,3,71,142,43647,4023,674,557,48903,673,133,804,49714,1793,123,51623
LGA16100,4,0,0,0,4,0,0,4,186,3,4,3,196,7,0,7,203,12,0,220,260,31,0,3,297,0,0,0,297,3,0,297,16,0,0,3,22,0,0,0,22,0,0,22,0,0,0,4,4,0,0,0,4,4,0,5,465,36,6,12,520,7,0,7,528,18,0,543,6,0,0,0,8,0,0,0,15,0,0,15,3,3,0,0,3,0,0,0,3,0,0,3,8,3,0,0,16,0,0,0,16,0,0,16,475,41,6,12,536,3,0,3,541,18,0,565,111,21,9,8,146,13,0,19,168,13,0,179,3,0,0,0,3,0,0,0,3,0,3,8,591,61,11,22,686,23,0,23,712,36,3,748
LGA16150,33,3,0,3,30,9,0,40,1663,171,25,19,1876,51,13,62,1940,74,11,2021,2332,210,34,20,2594,18,0,20,2617,92,9,2714,227,21,37,3,286,3,0,3,287,8,0,295,24,3,0,28,59,0,0,0,59,0,0,59,4246,409,97,69,4816,69,12,86,4898,168,17,5090,50,9,0,0,61,9,0,9,68,9,0,78,103,3,3,0,109,10,3,12,123,4,0,125,155,12,3,0,172,16,3,19,191,15,0,205,4407,415,94,69,4991,85,13,104,5092,179,17,5289,972,149,32,33,1179,48,5,61,1241,224,0,1464,3,3,0,5,14,0,0,0,14,0,3,16,5382,567,130,105,6183,136,21,158,6342,402,24,6770
LGA16200,7,0,0,0,8,0,0,12,507,60,4,7,579,9,7,18,594,22,0,623,758,69,9,5,839,3,0,3,845,39,0,881,76,0,3,0,77,0,0,0,77,0,0,81,9,0,0,15,28,0,0,0,28,0,0,28,1351,126,15,32,1518,13,7,18,1545,58,0,1603,6,6,0,0,12,3,0,3,21,0,0,18,18,11,0,0,24,0,3,6,33,0,0,30,24,19,0,0,38,3,3,11,51,0,0,51,1377,146,15,32,1561,23,7,28,1594,60,0,1658,381,43,11,12,443,30,6,40,490,111,7,604,4,0,0,4,7,0,0,0,7,0,0,8,1761,188,26,47,2014,55,16,69,2086,176,8,2273
LGA16260,1223,43,19,61,1284,207,5,1491,10247,1133,86,81,11547,318,81,404,11947,685,4,12638,10070,1461,114,76,11728,195,42,234,11959,390,5,12358,1062,129,131,5,1322,24,3,25,1347,38,0,1384,144,13,3,136,292,9,0,9,303,27,17,353,21524,2735,336,298,24882,541,127,670,25551,1144,30,26726,687,92,4,13,795,114,11,127,921,61,0,980,821,119,9,17,963,69,30,100,1062,49,7,1122,1502,216,15,26,1762,184,36,223,1980,107,7,2095,23028,2943,345,320,26644,728,162,893,27535,1251,34,28819,9396,1658,178,264,11494,404,102,501,11990,1570,23,13582,25,9,0,62,98,0,0,0,98,4,81,178,32452,4610,523,648,38230,1130,262,1395,39624,2826,138,42587
