LGA_CODE_2016,D_21_24_FPT_MPET,D_21_24_FPT_MPULFTW,D_21_24_FPT_MPULPTW,D_21_24_FPT_MPUT,D_21_24_FPT_MPTLF,D_21_24_FPT_MPNLF,D_21_24_FPT_MPLFSNS,D_21_24_FPT_T,TDCF_FPEFT_MPEFT,TDCF_FPEFT_MPEPT,TDCF_FPEFT_MPEAW,TDCF_FPEFT_MPEHNS,TDCF_FPEFT_MPET,TDCF_FPEFT_MPULFTW,TDCF_FPEFT_MPULPTW,TDCF_FPEFT_MPUT,TDCF_FPEFT_MPTLF,TDCF_FPEFT_MPNLF,TDCF_FPEFT_MPLFSNS,TDCF_FPEFT_T,TDCF_FPEPT_MPEFT,TDCF_FPEPT_MPEPT,TDCF_FPEPT_MPEAW,TDCF_FPEPT_MPEHNS,TDCF_FPEPT_MPET,TDCF_FPEPT_MPULFTW,TDCF_FPEPT_MPULPTW,TDCF_FPEPT_MPUT,TDCF_FPEPT_MPTLF,TDCF_FPEPT_MPNLF,TDCF_FPEPT_MPLFSNS,TDCF_FPEPT_T,TDCF_FPEAW_MPEFT,TDCF_FPEAW_MPEPT,TDCF_FPEAW_MPEAW,TDCF_FPEAW_MPEHNS,TDCF_FPEAW_MPET,TDCF_FPEAW_MPULFTW,TDCF_FPEAW_MPULPTW,TDCF_FPEAW_MPUT,TDCF_FPEAW_MPTLF,TDCF_FPEAW_MPNLF,TDCF_FPEAW_MPLFSNS,TDCF_FPEAW_T,TDCF_FPHNS_MPEFT,TDCF_FPHNS_MPEPT,TDCF_FPHNS_MPEAW,TDCF_FPHNS_MPEHNS,TDCF_FPHNS_MPET,TDCF_FPHNS_MPULFTW,TDCF_FPHNS_MPULPTW,TDCF_FPHNS_MPUT,TDCF_FPHNS_MPTLF,TDCF_FPHNS_MPNLF,TDCF_FPHNS_MPLFSNS,TDCF_FPHNS_T,TDCF_FPET_MPEFT,TDCF_FPET_MPEPT,TDCF_FPET_MPEAW,TDCF_FPET_MPEHNS,TDCF_FPET_MPET,TDCF_FPET_MPULFTW,TDCF_FPET_MPULPTW,TDCF_FPET_MPUT,TDCF_FPET_MPTLF,TDCF_FPET_MPNLF,TDCF_FPET_MPLFSNS,TDCF_FPET_T,TDCF_FPULFTW_MPEFT,TDCF_FPULFTW_MPEPT,TDCF_FPULFTW_MPEAW,TDCF_FPULFTW_MPEHNS,TDCF_FPULFTW_MPET,TDCF_FPULFTW_MPULFTW,TDCF_FPULFTW_MPULPTW,TDCF_FPULFTW_MPUT,TDCF_FPULFTW_MPTLF,TDCF_FPULFTW_MPNLF,TDCF_FPULFTW_MPLFSNS,TDCF_FPULFTW_T,TDCF_FPULPTW_MPEFT,TDCF_FPULPTW_MPEPT,TDCF_FPULPTW_MPEAW,TDCF_FPULPTW_MPEHNS,TDCF_FPULPTW_MPET,TDCF_FPULPTW_MPULFTW,TDCF_FPULPTW_MPULPTW,TDCF_FPULPTW_MPUT,TDCF_FPULPTW_MPTLF,TDCF_FPULPTW_MPNLF,TDCF_FPULPTW_MPLFSNS,TDCF_FPULPTW_T,TDCF_FPUT_MPEFT,TDCF_FPUT_MPEPT,TDCF_FPUT_MPEAW,TDCF_FPUT_MPEHNS,TDCF_FPUT_MPET,TDCF_FPUT_MPULFTW,TDCF_FPUT_MPULPTW,TDCF_FPUT_MPUT,TDCF_FPUT_MPTLF,TDCF_FPUT_MPNLF,TDCF_FPUT_MPLFSNS,TDCF_FPUT_T,TDCF_FPTLF_MPEFT,TDCF_FPTLF_MPEPT,TDCF_FPTLF_MPEAW,TDCF_FPTLF_MPEHNS,TDCF_FPTLF_MPET,TDCF_FPTLF_MPULFTW,TDCF_FPTLF_MPULPTW,TDCF_FPTLF_MPUT,TDCF_FPTLF_MPTLF,TDCF_FPTLF_MPNLF,TDCF_FPTLF_MPLFSNS,TDCF_FPTLF_T,TDCF_FPNLF_MPEFT,TDCF_FPNLF_MPEPT,TDCF_FPNLF_MPEAW,TDCF_FPNLF_MPEHNS,TDCF_FPNLF_MPET,TDCF_FPNLF_MPULFTW,TDCF_FPNLF_MPULPTW,TDCF_FPNLF_MPUT,TDCF_FPNLF_MPTLF,TDCF_FPNLF_MPNLF,TDCF_FPNLF_MPLFSNS,TDCF_FPNLF_T,TDCF_FPLFSNS_MPEFT,TDCF_FPLFSNS_MPEPT,TDCF_FPLFSNS_MPEAW,TDCF_FPLFSNS_MPEHNS,TDCF_FPLFSNS_MPET,TDCF_FPLFSNS_MPULFTW,TDCF_FPLFSNS_MPULPTW,TDCF_FPLFSNS_MPUT,TDCF_FPLFSNS_MPTLF,TDCF_FPLFSNS_MPNLF,TDCF_FPLFSNS_MPLFSNS,TDCF_FPLFSNS_T,TDCF_FPT_MPEFT,TDCF_FPT_MPEPT,TDCF_FPT_MPEAW,TDCF_FPT_MPEHNS,TDCF_FPT_MPET,TDCF_FPT_MPULFTW,TDCF_FPT_MPULPTW,TDCF_FPT_MPUT,TDCF_FPT_MPTLF,TDCF_FPT_MPNLF,TDCF_FPT_MPLFSNS,TDCF_FPT_T
LGA12950,4,0,0,0,4,0,0,4,125,13,0,0,134,0,0,0,134,7,0,143,174,25,3,0,204,3,0,3,207,8,0,212,22,0,3,0,25,0,0,0,25,0,0,25,8,4,0,7,18,0,0,0,18,5,0,21,328,40,7,7,380,3,0,3,388,19,0,401,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,8,0,0,0,12,0,0,12,3,0,3,0,8,0,0,0,12,0,0,12,336,40,8,7,391,3,0,3,398,19,0,411,98,11,3,4,119,9,0,9,132,24,0,158,0,0,0,0,0,0,0,0,0,0,0,0,438,47,17,9,510,17,0,15,528,42,0,570
LGA13010,3,0,0,0,3,0,0,3,241,40,3,3,285,7,0,7,291,13,0,311,282,58,12,4,351,4,0,4,359,20,0,383,30,6,4,0,45,0,0,0,45,0,0,45,6,0,3,3,10,0,0,0,10,0,0,11,557,102,20,14,693,9,0,9,705,41,0,741,3,3,0,0,7,7,0,7,14,0,0,15,3,3,0,0,5,0,0,0,5,0,0,5,5,11,0,0,14,7,0,7,23,0,0,20,567,111,20,14,710,21,0,21,730,42,0,769,158,60,6,10,227,22,5,28,254,68,0,316,0,0,0,0,0,0,0,0,0,0,0,0,729,168,19,17,940,37,5,47,980,109,0,1087
LGA13310,36,0,0,0,36,3,0,37,991,105,18,19,1129,21,6,27,1156,45,0,1203,1360,173,26,21,1580,16,11,30,1607,51,0,1656,124,23,14,3,161,3,0,3,164,12,0,183,14,8,0,22,41,0,0,0,41,3,0,48,2483,308,51,64,2910,42,14,62,2972,108,0,3086,32,10,0,0,37,12,3,17,57,7,0,67,61,9,3,0,72,6,3,13,82,3,0,89,95,16,3,0,112,17,10,22,137,13,0,149,2578,327,54,64,3024,65,25,86,3107,121,0,3236,701,108,26,18,857,28,5,32,887,167,9,1062,5,0,0,0,5,0,0,0,5,0,4,11,3286,429,86,83,3880,87,28,120,4002,292,15,4306
LGA13340,17,0,0,0,17,0,0,19,359,40,8,6,406,3,0,7,418,32,0,447,763,87,15,14,877,9,0,12,886,28,3,916,68,3,18,0,88,0,0,0,88,0,0,88,12,0,0,4,17,0,0,0,17,0,0,17,1200,132,35,24,1391,16,3,16,1409,58,3,1466,5,3,0,3,15,6,0,6,21,3,0,20,19,7,0,0,24,0,5,5,30,0,0,30,25,9,0,3,41,6,5,7,50,3,0,50,1230,138,35,26,1429,15,10,28,1453,62,3,1517,294,70,3,6,377,18,0,18,391,65,0,460,5,3,0,0,7,0,0,0,7,0,0,7,1531,211,40,34,1814,36,10,44,1862,133,3,1991
LGA13450,16,0,0,0,16,0,0,18,891,91,17,11,1016,12,3,19,1032,73,5,1107,1688,123,21,13,1844,13,17,34,1877,64,3,1948,113,5,18,0,141,0,0,0,136,0,0,136,23,0,3,19,44,0,0,0,44,0,0,47,2716,217,62,40,3039,30,23,49,3092,137,10,3232,22,4,0,0,27,14,0,18,38,4,0,46,35,5,0,3,43,10,4,8,49,0,0,49,51,6,0,3,67,23,6,25,94,4,0,102,2771,228,60,44,3100,52,29,77,3181,144,10,3335,790,79,17,26,913,46,5,51,968,197,10,1172,9,6,0,4,26,0,0,0,26,4,11,39,3573,318,81,72,4041,100,33,133,4172,344,26,4544
LGA13510,14,0,0,0,14,0,0,14,296,55,9,0,360,19,0,20,381,43,0,422,551,68,8,7,630,15,0,15,644,12,0,657,36,5,3,0,49,0,0,0,49,4,0,55,6,0,0,5,15,0,3,3,18,3,0,17,887,126,25,13,1053,31,3,34,1085,65,0,1155,7,0,0,0,12,4,0,4,16,0,0,16,15,7,3,0,23,0,0,0,23,0,0,23,25,12,3,0,39,4,0,4,39,0,0,39,911,137,26,14,1092,34,3,33,1125,65,0,1192,224,18,7,11,262,14,8,18,282,89,0,370,0,0,0,0,0,0,0,0,0,0,11,12,1141,156,35,26,1362,44,11,56,1410,151,10,1573
LGA13550,0,0,0,0,0,0,0,0,446,33,3,3,487,0,0,0,487,28,0,511,678,47,11,0,730,12,6,17,746,12,0,760,83,3,6,0,91,0,0,0,91,0,0,91,9,3,0,8,20,0,0,0,20,5,0,22,1211,86,23,10,1328,12,6,17,1343,44,0,1392,8,0,0,0,14,8,0,8,18,13,0,32,22,0,0,4,28,3,0,3,32,8,0,37,32,0,0,4,40,15,0,15,49,14,0,71,1249,91,23,13,1371,25,6,25,1398,61,0,1456,319,21,30,12,384,18,0,18,404,73,3,480,3,0,0,0,3,0,0,0,3,0,14,20,1565,109,56,23,1754,40,6,48,1803,134,15,1954
LGA13660,0,0,0,0,0,0,0,3,155,14,0,0,173,0,0,0,171,11,0,186,247,18,3,5,272,3,3,7,279,3,4,291,25,0,0,0,25,0,0,0,25,0,0,25,5,0,0,0,8,0,0,0,8,0,0,15,438,29,9,8,478,3,3,4,486,18,9,508,6,0,0,0,12,0,0,0,12,0,0,10,3,0,0,0,3,0,0,0,3,5,0,10,17,0,0,0,18,0,0,0,19,4,0,22,452,27,9,8,494,5,3,7,499,26,9,531,164,12,6,0,176,4,0,7,179,43,3,226,0,0,0,0,0,0,0,0,0,0,0,0,615,45,9,9,669,4,4,10,683,61,11,757
LGA13800,212,9,0,9,220,16,0,240,2967,274,28,18,3293,12,5,25,3316,131,0,3448,4317,363,35,48,4767,24,0,29,4797,78,4,4877,324,17,44,3,393,0,0,0,393,16,3,407,57,3,3,60,120,0,3,3,125,3,3,130,7667,658,116,131,8569,43,12,53,8626,228,11,8861,47,13,0,0,60,9,0,9,76,9,0,78,150,7,4,4,167,3,0,3,171,11,0,187,197,18,8,4,229,19,0,19,245,23,0,265,7865,674,129,136,8802,60,12,73,8873,245,11,9131,2194,191,42,74,2505,48,5,50,2558,238,12,2802,21,14,0,8,43,0,0,0,43,4,23,61,10074,883,170,218,11344,103,22,124,11472,487,38,11994
LGA13850,0,0,0,0,0,0,0,0,81,11,0,0,93,0,0,0,93,4,0,94,117,29,3,0,154,0,0,0,154,4,0,156,5,0,0,0,5,0,0,0,5,0,0,5,0,0,4,0,3,0,0,0,3,0,0,4,204,35,11,0,254,0,0,0,254,12,0,262,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,3,6,0,0,6,3,0,0,0,3,3,0,3,6,0,0,6,211,35,11,0,254,3,0,3,258,12,0,274,73,6,0,7,91,3,4,12,101,17,0,118,0,0,0,0,0,0,0,0,0,0,3,3,287,46,11,4,344,6,4,13,356,29,3,392
LGA13910,14,0,0,0,14,0,0,14,525,71,3,8,609,10,0,10,618,35,0,652,907,132,23,3,1061,10,7,20,1076,27,3,1105,54,7,20,0,82,0,0,0,82,14,0,94,13,7,5,17,39,3,0,3,38,0,0,38,1502,210,40,31,1789,17,7,29,1811,68,3,1885,12,7,0,4,27,8,0,8,28,9,0,37,22,4,0,0,25,0,0,0,25,3,0,36,35,15,0,4,54,8,0,8,62,16,0,76,1535,223,46,36,1839,27,7,34,1872,84,3,1960,502,89,19,28,632,24,5,33,664,161,3,825,15,0,0,0,15,0,0,0,15,0,5,15,2049,312,66,60,2484,52,12,66,2548,243,8,2802
LGA14000,1169,42,11,47,1218,127,4,1347,8627,780,64,48,9524,243,60,301,9831,464,4,10298,10710,1088,74,53,11920,160,21,181,12102,265,5,12374,874,97,101,6,1075,8,0,8,1087,24,0,1110,107,11,0,69,187,4,0,4,194,19,8,219,20312,1974,239,179,22713,412,87,496,23210,771,22,24006,270,25,4,0,298,43,0,43,337,18,0,353,469,59,3,8,545,21,4,23,568,23,3,594,733,86,12,8,843,60,4,65,913,42,5,952,21050,2062,252,192,23557,478,90,566,24119,810,29,24959,5671,551,63,118,6396,150,28,178,6572,475,20,7069,29,3,0,21,57,0,0,0,57,4,16,77,26748,2618,313,330,30006,627,115,741,30745,1297,69,32109
LGA14100,107,4,4,3,115,14,0,125,792,68,11,3,863,12,7,18,883,50,0,930,936,47,9,6,998,16,3,14,1015,27,3,1047,81,9,9,0,93,0,0,0,93,4,0,100,5,0,0,11,20,0,0,0,20,0,0,19,1810,115,31,21,1974,26,6,31,2004,78,4,2089,18,7,0,0,22,0,0,0,22,0,0,22,35,0,0,0,35,0,0,0,35,3,0,38,51,7,0,0,53,0,0,0,53,3,0,62,1866,116,31,21,2032,26,6,31,2064,86,4,2153,494,50,13,4,562,9,0,9,572,57,0,629,3,3,0,0,9,0,0,0,9,0,0,5,2362,169,40,24,2601,32,6,42,2637,145,4,2787
LGA14170,558,11,4,12,574,85,3,661,7294,1008,67,35,8402,155,27,190,8591,430,8,9030,8017,963,50,50,9085,106,34,142,9225,241,20,9478,1071,97,150,7,1321,10,0,10,1330,33,0,1358,84,0,0,90,181,0,0,0,182,19,9,205,16460,2067,275,184,18982,275,69,340,19324,718,37,20073,177,30,3,6,208,31,0,30,242,18,0,261,339,65,3,7,411,16,4,23,435,14,0,450,517,94,6,12,628,44,7,55,679,32,0,709,16975,2157,280,194,19608,320,72,392,19997,751,37,20783,3733,516,70,86,4398,88,26,113,4512,496,14,5020,22,5,0,17,47,0,0,0,47,0,53,97,20732,2671,345,298,24048,403,104,502,24554,1245,96,25896
