LGA_CODE_2016,D_10_12_FPNLF_MPET,D_10_12_FPNLF_MPULFTW,D_10_12_FPNLF_MPULPTW,D_10_12_FPNLF_MPUT,D_10_12_FPNLF_MPTLF,D_10_12_FPNLF_MPNLF,D_10_12_FPNLF_MPLFSNS,D_10_12_FPNLF_T,D_10_12_FPLFSNS_MPEFT,D_10_12_FPLFSNS_MPEPT,D_10_12_FPLFSNS_MPEAW,D_10_12_FPLFSNS_MPEHNS,D_10_12_FPLFSNS_MPET,D_10_12_FPLFSNS_MPULFTW,D_10_12_FPLFSNS_MPULPTW,D_10_12_FPLFSNS_MPUT,D_10_12_FPLFSNS_MPTLF,D_10_12_FPLFSNS_MPNLF,D_10_12_FPLFSNS_MPLFSNS,D_10_12_FPLFSNS_T,D_10_12_FPT_MPEFT,D_10_12_FPT_MPEPT,D_10_12_FPT_MPEAW,D_10_12_FPT_MPEHNS,D_10_12_FPT_MPET,D_10_12_FPT_MPULFTW,D_10_12_FPT_MPULPTW,D_10_12_FPT_MPUT,D_10_12_FPT_MPTLF,D_10_12_FPT_MPNLF,D_10_12_FPT_MPLFSNS,D_10_12_FPT_T,D_13_14_FPEFT_MPEFT,D_13_14_FPEFT_MPEPT,D_13_14_FPEFT_MPEAW,D_13_14_FPEFT_MPEHNS,D_13_14_FPEFT_MPET,D_13_14_FPEFT_MPULFTW,D_13_14_FPEFT_MPULPTW,D_13_14_FPEFT_MPUT,D_13_14_FPEFT_MPTLF,D_13_14_FPEFT_MPNLF,D_13_14_FPEFT_MPLFSNS,D_13_14_FPEFT_T,D_13_14_FPEPT_MPEFT,D_13_14_FPEPT_MPEPT,D_13_14_FPEPT_MPEAW,D_13_14_FPEPT_MPEHNS,D_13_14_FPEPT_MPET,D_13_14_FPEPT_MPULFTW,D_13_14_FPEPT_MPULPTW,D_13_14_FPEPT_MPUT,D_13_14_FPEPT_MPTLF,D_13_14_FPEPT_MPNLF,D_13_14_FPEPT_MPLFSNS,D_13_14_FPEPT_T,D_13_14_FPEAW_MPEFT,D_13_14_FPEAW_MPEPT,D_13_14_FPEAW_MPEAW,D_13_14_FPEAW_MPEHNS,D_13_14_FPEAW_MPET,D_13_14_FPEAW_MPULFTW,D_13_14_FPEAW_MPULPTW,D_13_14_FPEAW_MPUT,D_13_14_FPEAW_MPTLF,D_13_14_FPEAW_MPNLF,D_13_14_FPEAW_MPLFSNS,D_13_14_FPEAW_T,D_13_14_FPHNS_MPEFT,D_13_14_FPHNS_MPEPT,D_13_14_FPHNS_MPEAW,D_13_14_FPHNS_MPEHNS,D_13_14_FPHNS_MPET,D_13_14_FPHNS_MPULFTW,D_13_14_FPHNS_MPULPTW,D_13_14_FPHNS_MPUT,D_13_14_FPHNS_MPTLF,D_13_14_FPHNS_MPNLF,D_13_14_FPHNS_MPLFSNS,D_13_14_FPHNS_T,D_13_14_FPET_MPEFT,D_13_14_FPET_MPEPT,D_13_14_FPET_MPEAW,D_13_14_FPET_MPEHNS,D_13_14_FPET_MPET,D_13_14_FPET_MPULFTW,D_13_14_FPET_MPULPTW,D_13_14_FPET_MPUT,D_13_14_FPET_MPTLF,D_13_14_FPET_MPNLF,D_13_14_FPET_MPLFSNS,D_13_14_FPET_T,D_13_14_FPULFTW_MPEFT,D_13_14_FPULFTW_MPEPT,D_13_14_FPULFTW_MPEAW,D_13_14_FPULFTW_MPEHNS,D_13_14_FPULFTW_MPET,D_13_14_FPULFTW_MPULFTW,D_13_14_FPULFTW_MPULPTW,D_13_14_FPULFTW_MPUT,D_13_14_FPULFTW_MPTLF,D_13_14_FPULFTW_MPNLF,D_13_14_FPULFTW_MPLFSNS,D_13_14_FPULFTW_T,D_13_14_FPULPTW_MPEFT,D_13_14_FPULPTW_MPEPT,D_13_14_FPULPTW_MPEAW,D_13_14_FPULPTW_MPEHNS,D_13_14_FPULPTW_MPET,D_13_14_FPULPTW_MPULFTW,D_13_14_FPULPTW_MPULPTW,D_13_14_FPULPTW_MPUT,D_13_14_FPULPTW_MPTLF,D_13_14_FPULPTW_MPNLF,D_13_14_FPULPTW_MPLFSNS,D_13_14_FPULPTW_T,D_13_14_FPUT_MPEFT,D_13_14_FPUT_MPEPT,D_13_14_FPUT_MPEAW,D_13_14_FPUT_MPEHNS,D_13_14_FPUT_MPET,D_13_14_FPUT_MPULFTW,D_13_14_FPUT_MPULPTW,D_13_14_FPUT_MPUT,D_13_14_FPUT_MPTLF,D_13_14_FPUT_MPNLF,D_13_14_FPUT_MPLFSNS,D_13_14_FPUT_T,D_13_14_FPTLF_MPEFT,D_13_14_FPTLF_MPEPT,D_13_14_FPTLF_MPEAW,D_13_14_FPTLF_MPEHNS,D_13_14_FPTLF_MPET,D_13_14_FPTLF_MPULFTW,D_13_14_FPTLF_MPULPTW,D_13_14_FPTLF_MPUT,D_13_14_FPTLF_MPTLF,D_13_14_FPTLF_MPNLF,D_13_14_FPTLF_MPLFSNS,D_13_14_FP_T,D_13_14_FPNLF_MPEFT,D_13_14_FPNLF_MPEPT,D_13_14_FPNLF_MPEAW,D_13_14_FPNLF_MPEHNS,D_13_14_FPNLF_MPET,D_13_14_FPNLF_MPULFTW,D_13_14_FPNLF_MPULPTW,D_13_14_FPNLF_MPUT,D_13_14_FPNLF_MPTLF,D_13_14_FPNLF_MPNLF,D_13_14_FPNLF_MPLFSNS,D_13_14_FPNLF_T,D_13_14_FPLFSNS_MPEFT,D_13_14_FPLFSNS_MPEPT,D_13_14_FPLFSNS_MPEAW,D_13_14_FPLFSNS_MPEHNS,D_13_14_FPLFSNS_MPET,D_13_14_FPLFSNS_MPULFTW,D_13_14_FPLFSNS_MPULPTW,D_13_14_FPLFSNS_MPUT,D_13_14_FPLFSNS_MPTLF,D_13_14_FPLFSNS_MPNLF,D_13_14_FPLFSNS_MPLFSNS,D_13_14_FPLFSNS_T,D_13_14_FPT_MPEFT,D_13_14_FPT_MPEPT,D_13_14_FPT_MPEAW,D_13_14_FPT_MPEHNS,D_13_14_FPT_MPET,D_13_14_FPT_MPULFTW,D_13_14_FPT_MPULPTW,D_13_14_FPT_MPUT,D_13_14_FPT_MPTLF,D_13_14_FPT_MPNLF,D_13_14_FPT_MPLFSNS,D_13_14_FPT_T,D_15_17_FPEFT_MPEFT,D_15_17_FPEFT_MPEPT,D_15_17_FPEFT_MPEAW,D_15_17_FPEFT_MPEHNS,D_15_17_FPEFT_MPET,D_15_17_FPEFT_MPULFTW,D_15_17_FPEFT_MPULPTW,D_15_17_FPEFT_MPUT,D_15_17_FPEFT_MPTLF,D_15_17_FPEFT_MPNLF,D_15_17_FPEFT_MPLFSNS,D_15_17_FPEFT_T,D_15_17_FPEPT_MPEFT,D_15_17_FPEPT_MPEPT,D_15_17_FPEPT_MPEAW,D_15_17_FPEPT_MPEHNS,D_15_17_FPEPT_MPET,D_15_17_FPEPT_MPULFTW,D_15_17_FPEPT_MPULPTW,D_15_17_FPEPT_MPUT,D_15_17_FPEPT_MPTLF,D_15_17_FPEPT_MPNLF,D_15_17_FPEPT_MPLFSNS,D_15_17_FPEPT_T
LGA17310,177,11,0,11,182,59,0,239,0,0,0,0,3,0,0,0,3,0,0,5,1195,117,20,28,1365,31,3,37,1398,112,3,1518,312,31,0,3,343,3,0,3,351,9,0,359,273,38,5,5,326,3,3,8,332,7,0,344,4,0,5,0,13,0,0,0,13,0,0,14,5,0,0,4,13,0,0,0,13,3,0,15,598,68,10,10,695,8,3,14,705,23,0,722,7,3,0,0,10,0,0,0,13,3,0,13,16,3,0,0,14,0,0,0,14,0,0,14,21,3,0,0,28,3,0,3,27,3,0,27,623,76,10,14,719,8,3,14,733,24,0,757,95,14,0,0,114,3,0,3,112,29,0,147,3,0,0,0,3,0,0,0,3,0,0,4,713,88,12,11,831,13,3,14,848,54,0,904,426,30,11,4,470,0,0,0,472,14,0,483,325,51,4,6,390,0,0,4,390,17,0,411
LGA17350,22,0,0,0,22,3,0,23,0,0,0,0,0,0,0,0,0,0,0,0,133,13,0,7,153,0,0,0,157,9,0,169,34,4,0,0,36,0,0,0,36,3,0,39,45,0,0,0,49,0,0,0,49,4,0,50,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,86,5,0,4,90,0,0,0,90,6,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,5,0,4,91,0,0,0,91,6,0,94,10,4,0,0,12,0,0,0,16,6,0,16,0,0,0,0,0,0,0,0,0,0,0,0,95,8,0,3,105,0,0,0,107,8,0,118,28,4,0,3,37,0,0,0,37,0,0,37,55,5,0,0,66,0,0,0,66,8,0,67
LGA17400,19,0,0,0,17,13,0,33,0,0,0,0,0,0,0,0,0,0,0,0,89,22,0,8,123,0,0,0,119,24,0,140,32,0,0,0,35,0,0,0,35,3,0,39,28,3,0,0,31,0,0,0,34,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,8,0,0,71,0,0,0,68,4,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,8,0,0,72,0,0,0,71,4,0,73,8,3,0,0,9,0,0,0,14,11,0,21,0,0,0,0,0,0,0,0,0,0,0,0,68,14,0,0,84,3,0,3,82,10,0,95,37,0,0,0,43,0,0,0,45,6,0,49,22,6,0,0,31,0,0,0,35,7,0,38
LGA17420,1061,16,6,24,1087,75,3,1165,9,0,0,4,15,0,0,0,15,0,7,20,5043,429,46,66,5585,105,21,122,5712,200,17,5924,1272,92,13,3,1382,31,3,37,1422,53,3,1472,1244,124,12,8,1382,20,0,21,1403,24,4,1436,31,7,9,0,46,0,0,0,49,0,0,47,22,3,0,13,38,0,0,0,38,0,3,44,2565,231,30,29,2849,53,8,63,2912,81,5,2996,32,3,0,0,32,7,0,7,36,0,0,40,66,7,0,0,74,3,3,7,77,5,0,80,96,6,0,0,105,8,3,11,116,8,0,122,2661,237,26,30,2953,65,7,75,3027,89,5,3122,537,57,3,13,609,3,6,7,625,41,3,663,0,3,0,0,3,0,0,0,3,0,3,8,3195,300,34,43,3574,65,19,82,3652,131,14,3794,1801,129,21,9,1961,29,0,35,1992,76,0,2071,1598,215,14,6,1836,43,3,45,1879,53,3,1938
LGA17550,281,11,4,12,295,91,0,390,0,0,0,0,0,0,0,0,0,0,12,12,1429,259,28,23,1740,41,15,50,1792,166,9,1971,294,56,10,6,361,4,3,12,376,15,0,392,420,89,5,7,524,16,4,14,541,26,0,571,8,6,5,0,23,0,0,0,22,3,0,26,4,0,0,7,13,0,0,0,16,0,0,16,736,148,23,21,925,23,5,27,950,44,0,999,9,0,0,0,7,3,0,3,13,0,0,14,18,3,0,0,19,0,0,0,23,4,0,27,27,3,0,0,32,3,0,3,34,6,0,38,757,152,23,16,949,26,5,32,984,49,0,1032,126,28,3,4,170,5,0,5,172,78,0,244,0,0,0,0,0,0,0,0,0,3,4,5,888,181,23,26,1120,32,5,36,1156,130,5,1290,468,85,6,3,560,9,3,7,567,30,0,600,555,101,7,5,670,10,3,14,688,39,0,722
LGA17620,70,0,0,0,71,14,0,86,5,0,0,0,3,0,0,0,3,0,4,4,349,35,8,9,399,8,0,14,414,27,4,443,85,7,0,0,93,0,0,0,94,3,0,95,78,6,3,0,88,0,0,0,88,3,0,91,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,3,0,0,0,3,0,0,3,166,15,4,3,186,0,0,0,184,7,0,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,3,168,15,4,3,188,0,0,3,188,6,0,192,31,5,3,3,35,0,0,0,38,4,0,40,0,0,0,0,3,0,0,0,3,0,0,6,193,21,7,8,223,0,0,4,227,13,0,238,122,10,0,0,128,3,0,4,133,0,0,133,85,9,4,0,105,0,0,3,101,0,0,105
LGA17640,37,0,0,0,37,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,183,37,9,6,225,0,0,0,226,11,0,238,36,6,0,0,48,0,0,0,48,0,0,48,38,3,0,0,46,0,0,0,46,4,0,43,0,0,6,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,76,10,6,3,94,0,0,0,94,4,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,10,6,3,94,0,0,0,94,4,0,97,12,4,0,0,15,0,0,0,15,6,0,28,0,0,0,0,0,0,0,0,0,0,0,0,89,17,6,4,115,0,0,0,115,12,0,123,59,0,0,0,59,0,0,0,59,6,0,67,48,5,0,0,52,3,0,3,56,0,0,60
LGA17650,25,0,0,0,25,3,0,34,0,0,0,0,0,0,0,0,0,0,3,3,123,28,0,3,156,3,0,5,160,12,4,178,35,6,0,0,37,0,0,0,42,0,0,40,28,8,0,0,39,3,0,3,40,4,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,12,0,3,75,4,0,4,78,4,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,62,12,0,3,78,4,0,4,81,8,0,89,10,3,0,0,12,0,0,0,12,5,0,15,0,0,0,0,0,0,0,0,0,0,0,0,72,18,0,3,87,4,0,5,91,13,0,106,38,6,3,0,48,0,0,0,48,3,0,50,33,3,0,0,43,0,0,0,43,5,0,46
LGA17750,189,10,0,10,201,60,0,256,0,0,0,3,4,0,0,0,4,0,0,5,1328,120,30,20,1492,20,9,32,1520,102,3,1625,393,28,4,0,434,4,0,4,438,22,0,461,356,41,3,3,402,4,0,4,405,9,0,415,7,5,4,0,12,0,0,0,12,0,0,16,6,0,0,8,15,0,0,0,15,4,0,14,762,75,11,15,859,11,0,11,868,34,0,906,10,0,0,0,11,0,0,0,11,3,0,15,11,3,0,0,12,0,0,0,12,0,0,18,21,3,0,0,25,0,0,0,25,0,0,28,783,75,11,15,883,11,0,11,892,37,0,933,107,6,3,3,120,8,0,8,127,34,0,165,5,0,0,0,3,0,0,0,3,0,3,7,896,82,18,13,1013,13,0,19,1026,74,4,1108,464,50,10,3,523,3,0,7,535,24,0,554,470,51,0,3,523,0,4,5,530,17,0,546
LGA17850,9,0,0,0,9,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,44,3,0,0,48,0,0,4,55,6,0,59,13,0,0,0,17,0,0,0,17,0,0,17,14,0,0,0,19,0,0,0,19,3,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,32,0,0,0,32,3,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,31,0,0,0,33,3,0,39,3,0,0,0,3,0,0,0,3,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,39,0,0,0,35,6,0,44,22,3,0,0,24,0,0,0,24,0,0,24,24,0,0,0,27,0,0,0,27,3,0,25
LGA17900,8,0,0,0,8,27,0,35,0,0,0,0,0,0,0,0,0,0,0,0,71,6,0,3,81,0,3,0,89,36,0,122,3,0,0,0,3,0,0,0,3,0,0,4,3,5,0,0,7,5,0,5,10,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,9,5,0,5,12,3,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,5,4,5,0,0,9,5,0,0,11,3,0,16,8,0,0,0,3,0,0,0,10,9,0,20,0,0,0,0,0,0,0,0,0,0,0,0,10,5,0,0,14,3,0,3,23,15,0,35,3,0,0,0,5,0,0,0,5,3,0,5,7,3,0,0,17,0,0,3,16,0,0,17
LGA17950,11,0,0,0,11,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,54,4,3,0,59,0,0,0,59,5,0,65,8,0,0,0,11,0,0,0,11,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,12,0,0,0,12,0,0,12,5,0,0,0,5,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,5,0,0,5,17,0,0,0,16,0,0,0,16,0,0,16,0,0,0,0,4,0,0,0,4,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,21,4,0,0,23,0,0,0,23,3,0,22,6,0,0,0,11,0,0,0,11,0,0,11,3,0,0,0,4,0,0,0,4,0,0,5
LGA18020,26,0,0,0,33,9,0,44,0,0,0,0,0,0,0,0,0,0,0,0,150,25,3,3,185,4,0,4,187,23,0,208,26,3,0,0,28,0,0,0,34,3,0,33,50,6,0,0,59,0,0,0,59,4,0,61,0,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,76,11,0,3,92,3,0,3,93,5,0,99,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,81,11,0,3,94,3,0,3,98,9,0,106,10,6,0,0,19,0,0,0,20,9,0,25,0,0,0,0,0,0,0,0,0,0,0,0,94,12,0,3,109,7,0,7,113,14,0,132,36,5,0,0,39,0,3,5,41,10,0,52,53,20,4,3,75,0,0,0,75,4,0,78
LGA18050,224,4,0,4,227,20,0,245,0,0,0,0,0,0,0,0,0,0,6,3,1105,103,13,15,1240,25,3,30,1269,46,3,1316,241,20,0,0,257,4,0,4,264,15,0,277,255,41,0,0,299,3,0,3,301,6,0,307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,0,0,0,11,0,0,11,504,61,3,7,569,12,0,12,578,20,0,605,7,0,0,0,7,3,0,3,6,0,0,6,12,0,0,0,11,0,0,0,17,0,0,17,17,0,0,0,21,4,0,4,20,0,0,20,518,58,3,7,590,10,0,10,606,20,0,623,123,3,0,0,130,3,0,3,133,9,0,141,0,0,0,0,0,0,0,0,0,0,0,3,648,67,7,6,729,12,0,12,741,30,3,771,275,30,3,3,308,12,0,12,324,12,0,340,328,51,0,0,380,11,0,11,394,16,0,405
LGA18100,6,0,0,0,6,8,0,10,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,88,0,0,0,87,5,0,94,14,0,0,0,13,0,0,0,13,0,0,13,21,0,0,0,21,0,0,0,21,5,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,41,0,0,0,41,5,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,3,0,0,39,0,0,0,42,5,0,44,0,0,0,0,3,0,0,0,3,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,40,4,0,0,45,0,0,0,42,7,0,49,19,3,0,0,18,0,0,0,18,3,0,25,21,3,0,0,23,0,0,0,23,0,0,23
LGA18200,29,3,0,3,26,8,0,39,0,0,0,0,0,0,0,0,0,0,0,0,131,12,0,3,149,7,0,7,155,17,0,175,23,0,0,0,27,0,0,0,27,0,0,27,29,3,0,0,34,0,0,0,34,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,53,8,0,0,63,0,0,0,63,0,0,63,0,0,0,0,0,0,0,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,6,53,5,0,0,70,0,0,3,72,0,0,68,12,0,0,0,16,0,3,4,14,12,0,22,0,0,0,0,0,0,0,0,0,0,0,0,68,10,0,0,77,3,3,8,85,13,0,95,47,3,0,0,54,0,0,0,54,0,0,54,37,3,0,0,45,0,0,0,45,0,0,45
LGA18230,153,11,0,11,166,48,0,218,0,0,0,0,0,0,0,0,0,0,0,3,998,76,19,14,1105,26,3,30,1134,79,7,1221,290,13,4,0,315,8,0,8,315,19,0,333,202,38,4,0,242,0,0,3,243,8,0,255,7,0,3,0,11,0,0,0,10,0,0,10,3,0,0,0,8,0,0,0,8,0,0,8,505,50,15,3,573,8,0,13,585,25,0,607,4,0,0,0,9,0,0,0,9,0,0,9,0,0,0,0,0,0,0,0,0,3,0,3,8,0,0,0,5,0,0,0,5,3,0,9,511,53,15,3,580,8,0,13,590,25,0,617,77,7,0,3,84,3,0,3,89,31,3,123,0,0,0,0,0,0,0,0,0,0,0,0,592,62,15,3,668,11,0,17,686,60,5,747,404,26,4,0,437,3,0,3,445,15,5,463,251,26,3,4,283,3,3,5,287,13,0,298
LGA18250,459,13,0,11,472,35,0,511,0,0,0,0,3,0,0,0,3,0,0,3,1749,167,16,18,1947,50,11,58,2010,91,4,2103,319,44,0,0,361,7,0,9,368,28,0,400,332,37,0,0,373,6,0,7,380,13,0,387,5,0,0,0,8,0,0,0,8,0,0,9,4,0,0,3,11,0,0,0,11,0,0,10,657,85,3,4,747,13,3,12,757,41,0,799,12,3,0,0,12,0,0,0,16,0,0,16,23,0,0,0,23,0,0,0,23,0,0,19,28,3,0,0,31,0,0,0,37,0,0,32,686,81,3,4,778,11,3,16,793,43,0,838,222,25,0,0,248,4,3,5,251,24,0,278,0,0,0,0,0,0,0,0,0,0,0,3,905,105,3,7,1022,16,3,20,1048,67,3,1118,434,58,3,0,500,7,5,17,517,45,0,560,461,57,11,9,535,14,4,18,549,17,0,569
LGA18350,228,4,0,4,230,32,0,260,3,0,0,0,3,0,0,0,3,0,0,6,995,123,21,17,1154,13,0,13,1170,53,4,1228,204,28,5,0,231,0,0,0,232,13,0,248,298,41,4,5,352,0,0,3,354,8,0,360,9,0,6,0,18,0,0,0,18,0,0,18,4,0,0,0,3,0,0,0,3,0,0,3,517,65,18,5,606,0,0,4,610,19,0,633,4,0,0,0,4,0,0,0,4,4,0,4,6,0,0,0,13,0,0,0,13,0,0,13,9,0,0,0,10,0,0,0,10,4,0,12,526,71,18,5,618,0,0,4,619,24,0,646,113,10,0,0,121,0,0,0,124,21,0,149,0,0,0,0,0,0,0,0,0,0,0,6,643,81,18,5,745,3,0,3,751,42,4,794,334,34,10,3,385,0,0,0,387,18,0,406,288,45,3,3,335,3,0,3,338,12,0,348
LGA18400,287,7,0,9,299,35,0,336,3,0,0,3,7,0,0,0,7,0,11,16,1418,113,30,28,1593,27,0,24,1621,75,12,1700,361,19,7,3,390,6,0,6,389,13,0,404,411,27,7,4,443,8,0,8,450,3,0,455,9,0,5,0,19,0,0,0,19,4,0,21,4,0,0,3,5,0,0,0,5,0,0,5,779,50,15,17,858,11,0,11,864,22,3,889,16,3,0,0,17,0,0,0,17,0,0,18,10,4,0,0,10,0,0,0,11,0,0,12,18,6,0,0,23,0,0,0,28,0,0,32,802,51,15,17,885,12,0,12,897,26,3,922,124,22,3,0,154,5,3,5,164,25,0,190,0,0,0,3,3,0,0,0,3,0,0,3,932,77,16,19,1040,13,3,19,1060,46,7,1114,451,29,4,3,490,3,0,3,494,23,0,515,429,46,3,3,485,3,0,3,489,9,0,504
LGA18450,839,26,12,44,876,230,3,1114,3,0,0,3,5,0,0,0,5,0,12,15,4038,449,89,70,4639,96,25,122,4760,386,16,5163,891,87,13,0,991,18,5,19,1015,38,0,1053,1078,141,6,8,1239,16,4,23,1261,55,3,1318,32,0,4,0,39,0,0,0,38,0,0,35,6,0,0,7,14,3,0,3,14,0,5,18,2005,225,25,23,2280,37,10,46,2325,100,3,2430,27,6,0,0,37,4,0,3,40,3,0,44,51,3,0,0,52,3,0,3,58,0,0,65,78,9,3,3,90,5,0,8,105,6,0,106,2084,240,31,28,2374,48,8,53,2432,104,3,2535,405,73,9,19,506,11,7,21,527,145,3,680,3,0,0,0,8,0,0,0,8,0,8,13,2496,313,36,39,2886,61,16,78,2960,251,15,3231,1178,139,21,8,1344,27,8,31,1379,75,0,1451,1440,199,21,14,1675,26,0,29,1698,74,0,1776
LGA18500,320,11,0,11,333,24,0,357,5,0,0,0,5,0,0,0,5,0,0,5,948,95,5,16,1059,28,0,28,1092,58,0,1150,174,17,0,0,188,3,0,3,188,13,0,206,189,19,0,0,214,0,0,0,211,7,0,216,10,0,0,0,6,0,0,0,6,0,0,6,0,0,0,3,4,0,0,0,4,0,0,4,372,35,0,4,407,3,0,3,417,17,0,436,5,0,0,0,6,0,0,0,6,0,0,6,11,4,0,0,19,0,0,0,20,0,0,20,17,3,0,0,19,0,0,0,24,0,0,24,388,40,0,4,430,4,0,4,439,17,0,459,197,23,0,5,226,3,0,5,234,27,0,260,0,0,0,0,0,0,0,0,0,0,0,0,585,62,0,12,660,5,0,6,666,46,0,715,253,32,0,0,283,8,6,13,296,19,0,314,230,33,3,3,271,3,0,3,274,6,0,279
LGA18710,67,0,0,0,67,8,0,73,0,0,0,0,0,0,0,0,0,0,0,0,463,42,13,6,525,0,0,5,528,26,0,553,138,11,3,0,154,0,0,0,151,6,0,158,104,13,0,0,115,0,0,0,115,3,0,121,10,3,4,0,13,0,0,0,13,0,0,13,3,0,0,5,10,0,0,0,10,0,0,10,250,23,5,8,288,0,0,0,293,12,0,301,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,259,23,5,8,293,0,0,0,296,12,0,306,31,0,0,0,29,0,0,0,29,5,0,33,0,0,0,0,0,0,0,0,0,0,0,0,286,25,5,8,325,0,0,0,321,14,0,340,180,10,9,0,201,0,0,0,201,11,0,214,133,19,3,0,158,0,0,0,158,5,0,167
LGA19399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,18,0,0,0,18,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,7,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,7,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,7,0,0,0,7,0,0,7,3,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
