LGA_CODE_2016,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
LGA14170,5265,3673,2409,1154,239,41,17982,87,1036,1359,1118,855,369,51,14,4890,3550,14304,10727,6589,3797,1814,492,124,41396,987,3489,3356,2828,1796,929,278,102,13758,1087,3057,2514,2387,1683,943,524,169,12359,137,190,214,202,143,74,14,7,994,143,322,455,578,476,340,88,47,2448,1370,3565,3178,3166,2300,1350,627,224,15790,91,261,247,266,210,158,69,20,1325,1649,3482,2665,2069,1680,1253,961,585,14340,7959,31105,26792,19708,13053,7030,2724,1114,109491
LGA14200,23,20,20,14,0,3,102,0,14,25,33,32,10,4,3,128,43,183,227,172,167,119,47,14,956,33,93,163,194,174,114,56,9,833,281,512,436,465,460,292,117,26,2582,43,35,24,36,25,15,7,0,192,31,45,45,62,68,46,13,7,314,360,587,506,564,559,350,138,29,3096,9,11,3,8,20,21,12,0,83,235,182,190,223,273,319,229,94,1748,676,1097,1136,1219,1243,938,492,155,6952
LGA14300,13,7,13,3,0,0,51,0,3,11,7,9,6,3,0,37,11,88,85,50,48,30,11,0,327,18,43,47,64,62,32,5,7,276,88,169,161,179,138,92,22,0,851,17,18,16,16,11,14,0,0,92,3,8,6,24,24,19,7,6,102,114,193,182,217,175,127,28,9,1045,3,10,0,4,5,3,0,0,21,192,322,340,208,188,114,67,17,1455,331,664,682,566,502,315,117,35,3207
LGA14350,48,43,71,40,11,0,240,0,30,24,44,66,41,9,0,210,39,230,265,262,385,237,56,26,1505,46,150,235,330,413,236,81,19,1500,357,716,760,932,1035,689,296,59,4848,80,85,73,63,60,37,9,0,408,31,55,87,117,165,112,36,10,614,471,854,919,1104,1264,842,348,71,5868,9,7,18,17,42,34,25,4,159,484,514,418,504,617,580,469,292,3874,1041,1816,1924,2306,2854,2014,995,419,13367
LGA14400,147,163,223,156,35,4,842,5,70,89,101,164,78,27,4,533,126,466,589,531,646,410,145,42,2951,75,218,336,412,492,369,136,37,2073,276,475,538,683,636,408,219,66,3293,31,26,23,36,41,20,16,3,189,32,33,46,85,118,127,58,27,534,333,531,612,802,797,554,292,93,4017,4,14,16,13,34,38,22,12,157,183,128,159,193,246,292,236,178,1622,740,1524,1936,2217,2595,1898,892,373,12184
LGA14500,3467,3640,2219,1346,546,153,13309,21,247,610,826,610,391,168,50,2925,1654,4250,6472,7070,4604,2829,1441,566,28873,328,745,1305,2143,1642,1439,968,422,8989,399,572,683,1008,771,607,378,186,4607,54,42,53,102,71,87,41,16,464,86,96,182,380,363,446,292,164,2016,542,714,925,1496,1202,1138,714,363,7093,50,75,156,229,214,243,179,102,1245,697,450,580,770,623,672,750,980,5527,3390,8318,13523,16168,11111,8064,4758,2634,67950
LGA14550,15,23,25,27,3,0,106,0,8,17,22,36,24,4,0,104,12,70,115,124,182,89,25,7,610,15,44,78,104,180,90,28,7,546,85,173,210,296,329,182,50,4,1335,19,23,17,21,24,8,0,0,118,8,21,25,44,49,33,16,0,191,110,215,248,365,408,229,70,4,1645,0,3,8,9,14,9,5,0,46,100,55,88,192,203,167,111,59,979,239,400,568,832,1051,628,245,83,4029
LGA14600,6,7,3,6,0,0,37,4,14,4,8,18,4,3,0,54,25,103,74,43,35,11,6,3,307,5,43,40,51,69,41,12,5,270,87,163,138,120,114,58,31,10,716,19,12,18,19,12,3,0,3,89,5,14,15,13,27,9,3,0,86,115,187,172,152,150,74,31,12,887,3,0,4,7,7,4,0,3,27,107,97,100,97,122,121,98,40,793,263,458,409,367,397,257,156,59,2364
LGA14650,1077,932,878,593,213,40,4480,29,332,491,482,684,337,92,19,2474,826,4245,4406,3081,2942,1870,681,173,18231,695,2103,2851,3137,2914,1779,780,233,14489,3111,6332,6088,6935,5764,4045,1967,629,34868,475,344,399,321,321,191,62,17,2125,256,361,549,793,938,908,409,130,4344,3845,7035,7037,8049,7019,5141,2444,781,41333,50,122,161,209,296,325,166,59,1373,1249,1117,1198,1564,1820,2264,2043,1548,12806,6716,15679,17214,17450,16551,12312,6422,2851,95196
LGA14700,1234,887,571,348,115,29,4355,20,206,221,223,167,106,35,7,984,580,2661,2348,1640,1133,691,285,85,9415,116,515,579,547,427,327,165,75,2750,166,429,334,310,235,186,85,52,1794,12,19,25,27,38,23,12,3,157,24,46,76,91,117,103,46,20,528,197,498,436,425,391,304,144,72,2476,9,50,69,47,53,55,41,14,337,176,421,339,234,229,186,150,147,1886,1138,5471,5228,4006,2971,2020,923,434,22200
