LGA_CODE_2016,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
LGA16150,267,201,173,90,22,8,993,14,110,116,112,133,69,25,6,581,223,1102,945,639,554,326,123,47,3964,107,453,544,550,512,333,139,37,2668,719,1460,1200,1096,807,461,226,57,6042,123,83,75,85,52,33,18,3,471,62,94,124,134,170,134,51,15,782,909,1636,1399,1317,1030,634,292,76,7300,24,35,35,27,41,45,23,13,243,471,403,404,469,406,469,417,192,3221,1754,3955,3706,3315,2854,1960,1044,379,18967
LGA16200,41,40,14,8,5,0,132,3,10,28,30,30,3,3,0,113,43,240,208,141,119,67,22,4,848,38,111,130,150,156,82,38,11,720,256,450,455,470,379,201,70,25,2302,57,37,27,42,27,11,3,0,206,20,24,44,56,58,44,22,3,274,334,516,522,563,469,251,91,28,2776,3,9,7,5,25,9,12,8,66,228,140,161,232,268,292,227,119,1657,649,1047,1097,1164,1071,727,399,168,6321
LGA16260,6619,2858,1903,758,206,38,21226,71,918,962,686,602,297,83,18,3647,3413,16209,10494,6192,4231,2151,840,232,43754,1209,3924,3883,3275,2512,1449,613,226,17086,1390,3357,3238,3046,2480,1633,955,359,16450,194,250,232,255,189,116,46,14,1301,174,392,571,703,661,553,249,97,3398,1761,3998,4045,4000,3335,2297,1252,466,21154,122,504,456,361,394,308,164,81,2392,1962,4178,2916,1979,1606,1366,1080,705,15796,8888,38220,29384,19354,14580,8623,4235,1765,125047
LGA16350,1238,710,523,240,57,7,4379,58,367,398,310,321,125,20,3,1604,1327,4579,3652,2208,1875,800,236,60,14732,1090,3286,3114,2457,1920,849,219,59,13002,3673,7508,6134,5583,4206,2233,758,186,30276,432,460,421,320,255,90,20,4,2003,304,516,633,694,737,431,132,35,3479,4412,8483,7185,6592,5197,2750,913,230,35760,89,201,238,225,257,183,72,28,1289,2104,2568,2202,1989,1882,1635,1058,516,13952,9226,20947,18024,14501,11969,6581,2566,894,84713
LGA16380,288,292,283,208,73,7,1362,9,85,167,197,300,165,60,14,1003,188,1087,1426,1222,1155,871,371,111,6424,172,607,1048,1254,1269,1021,460,135,5970,1015,1891,2144,2604,2539,1968,981,308,13439,182,152,134,180,186,135,33,10,1012,91,138,208,312,426,383,215,52,1827,1291,2175,2484,3100,3148,2482,1229,372,16283,17,23,54,76,114,166,91,40,582,687,535,576,796,1046,1494,1295,831,7266,2370,4711,6050,6945,7321,6411,3569,1513,38883
LGA16400,223,230,219,169,43,8,1045,8,59,117,131,168,124,23,6,629,212,793,1030,789,884,665,209,49,4624,221,614,934,1081,1062,791,299,65,5074,1055,2105,2332,2592,2162,1748,792,183,12970,188,164,142,130,136,91,20,3,871,83,134,174,257,341,370,135,30,1527,1326,2405,2653,2979,2633,2206,944,222,15372,21,40,40,75,94,125,52,23,471,734,612,607,797,963,1209,935,513,6377,2528,4672,5606,6086,6022,5289,2504,886,33587
LGA16490,689,792,479,233,55,6,2725,16,199,287,360,250,135,21,0,1261,339,1587,1570,1318,914,477,144,32,6372,224,828,990,1167,775,353,111,25,4482,754,1648,1545,1598,1202,542,209,57,7556,143,108,74,83,70,40,3,5,537,44,88,139,223,189,140,50,14,881,945,1838,1759,1902,1463,724,259,80,8973,17,51,48,62,58,35,19,8,305,594,654,654,759,652,543,321,129,4312,2137,5625,6007,6355,4591,2502,933,286,28434
LGA16550,3561,2335,1348,738,202,56,12650,70,584,731,503,418,215,73,16,2610,3916,10035,6766,4295,2609,1298,480,201,29601,721,2183,2279,2042,1394,813,330,148,9906,787,2439,1995,1892,1450,1023,567,262,10414,113,129,123,137,108,77,26,8,714,147,264,303,409,408,295,129,64,2026,1038,2834,2423,2430,1959,1406,718,334,13151,167,226,208,192,198,142,94,42,1272,2129,2811,2082,1645,1357,1277,1008,740,13055,8356,22762,18053,13444,9282,5888,2910,1536,82232
LGA16610,42,43,38,26,11,0,166,0,18,19,33,46,24,7,0,144,32,148,274,211,221,134,46,6,1072,52,120,183,222,261,147,78,21,1092,345,626,666,720,703,437,179,51,3720,81,57,46,64,47,14,11,0,319,31,48,57,89,95,63,24,10,413,456,734,767,862,850,519,206,63,4452,13,10,7,14,22,29,9,4,102,329,193,277,325,351,409,299,119,2311,886,1243,1568,1707,1781,1289,661,216,9351
LGA16650,1826,818,472,193,60,16,6632,26,358,313,244,212,71,24,3,1250,1774,7222,3972,2175,1417,681,266,71,17584,776,2403,2071,1740,1035,561,212,86,8882,803,1936,1904,1829,1367,933,502,187,9458,99,132,159,155,104,61,17,8,740,104,249,386,447,340,230,94,40,1889,1003,2317,2453,2427,1803,1226,614,245,12085,89,244,190,223,190,123,55,30,1138,1004,1714,1127,995,937,894,949,873,8497,4845,17330,11954,8619,6060,3747,2185,1331,56058
LGA16700,3341,1845,1106,520,138,32,11589,46,462,483,405,363,170,58,7,1994,2456,8164,5839,3722,2576,1294,518,190,24754,819,1803,1922,1901,1390,832,381,188,9245,742,1495,1537,1732,1339,861,538,231,8473,102,111,116,122,113,79,32,7,681,123,174,272,417,409,282,159,88,1921,964,1781,1917,2275,1861,1233,728,331,11083,86,208,215,197,211,167,86,31,1201,860,1144,861,784,772,632,652,605,6320,5447,17947,14585,11125,8277,4854,2557,1389,66186
LGA16900,258,181,193,80,12,0,925,31,133,140,109,137,52,14,0,610,305,1082,1052,719,615,303,93,22,4187,371,926,1100,1032,787,373,97,33,4710,1315,2583,2433,2435,1969,1135,511,139,12517,185,139,150,144,111,62,8,3,805,126,172,222,324,320,183,73,23,1445,1629,2893,2813,2900,2395,1376,597,168,14764,34,44,77,83,105,91,36,8,485,601,515,546,653,715,820,644,432,4927,2973,5767,5987,5687,4947,3094,1489,661,30609
LGA16950,305,361,434,342,105,19,1792,24,173,217,238,366,237,57,8,1311,239,1164,1336,1176,1538,1058,382,89,6969,229,762,1175,1450,1629,1214,493,105,7061,1430,2929,2753,3179,3354,2641,1312,375,17962,252,220,195,198,209,133,41,3,1251,111,176,256,388,537,507,206,71,2250,1792,3327,3200,3767,4094,3282,1560,449,21471,20,62,67,96,163,212,78,27,729,1160,1034,986,1211,1523,1949,1550,937,10352,3474,6731,7279,8298,9754,8296,4221,1638,49682
LGA17000,89,58,43,22,4,0,278,0,23,54,49,45,14,4,0,186,81,367,351,252,220,110,43,15,1433,63,228,271,337,247,108,38,12,1301,549,1020,981,937,617,262,103,18,4481,63,72,59,64,27,10,3,0,310,45,49,60,122,85,49,21,7,432,657,1139,1096,1121,728,316,129,28,5220,9,9,20,37,21,16,8,3,123,266,238,274,285,299,272,157,62,1847,1087,2059,2154,2140,1598,851,373,120,10387
LGA17040,76,89,113,76,17,0,427,6,23,51,43,87,49,8,0,267,74,321,387,380,347,198,71,21,1802,48,191,282,351,265,187,74,14,1410,283,631,663,743,621,393,164,38,3532,49,32,42,46,51,24,3,0,257,27,57,45,67,92,64,37,9,396,354,722,747,862,763,478,207,46,4186,8,21,18,13,19,26,16,3,125,309,300,292,385,330,323,236,123,2304,805,1630,1852,2120,1935,1335,626,216,10520
LGA17080,28,19,32,16,3,0,123,0,11,26,18,30,17,5,0,122,38,210,199,151,140,99,33,14,887,26,101,153,147,201,131,52,15,827,198,395,394,455,412,252,98,22,2231,28,33,21,35,28,19,6,0,172,15,38,47,47,50,38,12,5,248,235,465,462,543,481,315,118,28,2646,0,5,8,3,17,5,9,0,47,192,195,230,255,308,273,209,138,1792,501,1009,1098,1139,1207,858,430,205,6449
LGA17100,993,450,349,160,55,18,3701,13,157,152,101,85,43,20,10,572,956,3393,1558,1264,824,413,209,73,8689,256,761,578,513,387,194,86,38,2812,225,504,406,403,284,195,133,43,2186,35,37,33,45,32,8,4,0,203,30,70,75,111,92,53,25,23,486,287,614,518,556,403,259,164,71,2876,45,119,59,68,83,50,16,15,447,532,876,422,328,297,212,163,97,2925,2174,7501,4276,3287,2428,1334,713,312,22019
LGA17150,2242,1887,1485,715,208,51,8547,54,589,805,758,909,384,75,15,3587,2338,7269,7288,5234,4276,2053,726,258,29437,1107,3557,4630,4658,3631,2035,740,269,20632,2617,5705,6134,6269,5033,3347,1874,744,31728,237,256,325,357,329,214,70,29,1810,233,428,767,1046,1202,1036,427,191,5336,3084,6390,7230,7672,6565,4601,2376,970,38879,87,188,254,352,468,405,232,92,2070,1186,1497,1549,1568,1657,1620,1513,1281,11874,7982,21332,23993,22127,18983,11816,5862,2935,115033
LGA17200,6069,3180,2122,1098,283,61,23995,152,1500,1080,750,576,287,63,8,4416,8292,26672,10972,5145,3424,1883,636,169,57191,2137,5702,3464,2204,1515,915,367,101,16400,1385,3701,1934,1662,1118,693,255,85,10832,190,246,184,149,101,49,20,5,935,225,544,410,425,359,253,89,35,2339,1802,4491,2525,2229,1580,996,366,123,14114,316,561,319,227,190,139,70,18,1833,5264,9278,4386,3048,2413,1676,1023,514,27612,18657,58682,28823,16787,11826,6999,2807,988,145559
LGA17310,205,212,154,64,31,5,853,9,112,136,130,158,72,26,5,648,233,1085,1029,761,710,417,147,45,4428,139,582,718,833,780,436,178,54,3719,971,1984,1760,1764,1539,938,377,87,9418,153,146,126,124,121,79,19,4,771,80,132,158,217,254,205,70,27,1139,1202,2264,2044,2098,1916,1222,462,116,11327,43,66,41,44,73,73,51,15,404,778,715,663,736,886,902,703,328,5706,2412,4999,4839,4813,4674,3185,1596,563,27080
LGA17350,4,10,3,10,0,0,38,0,7,10,11,19,7,0,0,57,12,74,111,66,68,35,19,8,388,5,37,50,74,53,42,17,3,290,100,184,145,166,174,111,39,9,927,12,10,6,21,14,3,4,0,83,3,21,11,18,31,18,8,6,114,118,212,167,215,218,137,46,17,1124,0,0,0,3,8,8,4,0,25,68,45,41,72,94,97,90,19,528,203,388,387,444,463,335,176,45,2447
LGA17400,8,9,23,20,0,0,64,0,6,14,9,16,16,3,0,61,4,56,75,69,86,84,21,0,399,6,28,51,69,113,83,20,6,376,75,112,155,189,239,152,51,10,987,17,21,19,13,18,8,0,0,101,6,8,21,27,27,28,6,0,127,105,143,189,238,291,187,58,10,1217,0,3,4,3,11,12,7,0,37,88,55,82,108,198,177,115,75,886,203,293,423,512,728,568,231,90,3039
LGA17420,3535,2506,1608,692,183,19,10782,26,303,688,672,606,300,59,8,2669,2022,5868,7645,5532,4062,2127,577,118,27958,846,1823,3069,3378,2491,1549,499,127,13781,1358,2208,2907,3344,2433,1773,793,192,15011,131,125,223,223,171,136,23,6,1034,153,237,465,694,715,610,192,53,3117,1649,2573,3595,4260,3321,2519,1013,248,19164,51,144,240,281,318,261,112,40,1444,796,736,898,974,926,967,599,371,6257,5515,13548,19663,17605,13328,8412,3048,931,82063
LGA17550,335,337,356,230,58,24,1544,7,131,245,232,310,166,38,8,1140,247,1333,1832,1416,1376,897,330,97,7529,240,892,1237,1459,1427,947,394,117,6727,1052,2192,2615,2814,2834,1958,1064,335,14867,141,144,162,149,159,91,26,9,881,100,191,252,337,454,339,181,74,1920,1292,2525,3022,3305,3445,2384,1270,419,17670,26,46,63,95,127,136,95,35,627,838,682,823,1075,1427,1532,1468,1052,8904,2666,5803,7561,7924,8468,6301,3664,1753,44134
LGA17620,28,33,41,13,4,4,143,0,19,20,19,29,13,5,0,107,41,243,207,157,143,82,36,13,914,30,109,190,159,156,89,44,12,787,225,530,443,461,375,216,72,24,2347,32,31,34,29,16,3,0,0,149,19,43,40,59,40,36,14,4,249,272,598,514,553,427,259,84,33,2743,3,7,10,10,20,14,4,3,71,197,183,216,216,242,202,170,114,1532,546,1183,1186,1144,1054,671,341,173,6298
LGA17640,17,28,42,22,10,0,135,0,17,19,17,30,20,5,0,107,17,88,106,113,104,81,26,4,541,11,66,99,131,118,79,33,3,550,103,198,209,271,237,166,55,15,1251,9,13,9,27,24,10,3,0,103,3,17,23,38,34,33,15,0,168,118,225,244,335,295,212,69,15,1519,3,6,3,0,13,11,3,0,36,93,61,78,143,144,151,110,55,830,241,467,562,773,748,576,260,80,3712
LGA17650,38,43,38,39,17,0,184,3,10,13,35,25,17,0,0,94,11,71,117,120,103,75,22,7,531,3,31,93,87,111,82,18,4,431,90,167,155,190,200,104,20,6,930,28,9,15,24,11,7,0,0,87,4,11,16,37,35,29,8,0,142,116,190,186,244,250,137,32,6,1159,0,3,0,5,8,7,0,5,22,66,35,62,89,93,111,73,27,557,213,350,501,620,626,471,159,45,2985
LGA17750,355,340,279,130,43,12,1434,23,158,177,178,186,63,17,3,810,433,1760,1511,983,787,397,168,39,6065,214,726,776,773,722,399,160,52,3831,1425,2458,1803,1798,1494,765,290,106,10136,207,153,125,135,97,55,12,0,790,103,147,149,238,258,175,64,25,1150,1730,2758,2075,2169,1850,993,368,138,12072,22,62,40,36,65,79,38,15,351,722,574,490,585,672,623,503,253,4419,3156,6296,5425,5064,4552,2685,1294,514,28986
LGA17850,10,3,12,4,0,0,34,0,3,0,12,3,11,0,0,35,13,41,44,39,44,24,8,0,214,6,21,35,34,39,42,8,0,191,38,69,69,85,83,64,14,3,431,11,3,8,9,7,0,0,0,41,0,6,5,21,18,8,3,0,60,53,77,89,116,108,73,20,3,531,3,0,5,4,3,3,3,0,22,37,38,41,42,58,95,52,47,407,110,188,219,249,264,251,95,53,1434
LGA17900,5,12,13,3,0,0,48,0,9,7,12,8,6,0,0,38,17,105,75,53,58,29,11,0,335,11,56,70,57,55,33,13,3,304,62,102,94,103,138,100,40,9,646,11,10,14,9,10,9,0,0,67,0,9,17,13,16,11,3,0,79,72,124,122,124,169,126,44,12,788,0,0,3,3,9,3,3,0,24,110,115,105,123,153,152,93,13,864,207,428,382,390,455,352,159,22,2400
LGA17950,0,6,0,3,0,0,19,0,0,7,4,3,4,0,0,23,15,58,46,29,19,17,8,0,192,9,20,24,35,34,13,6,0,141,24,74,53,57,57,31,11,3,316,0,0,7,8,3,7,0,0,27,9,7,10,12,13,7,0,3,57,34,86,70,76,75,39,8,6,396,0,3,3,0,3,0,0,0,18,40,37,36,45,52,54,43,14,317,91,204,191,198,190,127,65,23,1093
LGA18020,14,19,27,12,0,0,93,0,5,15,19,21,8,3,0,74,12,117,116,107,98,79,22,5,552,6,41,58,115,127,59,36,15,451,102,165,210,256,241,193,73,21,1269,25,18,31,24,16,10,0,0,133,11,17,25,35,36,28,14,4,165,138,203,269,316,297,232,91,28,1566,0,3,5,8,15,14,7,5,56,141,88,118,184,226,248,178,65,1264,302,471,601,767,814,648,332,119,4052
LGA18050,1883,1137,688,369,96,36,6170,10,351,391,285,199,107,32,10,1383,907,6573,4539,2607,1506,861,322,116,17425,258,1340,1246,936,696,444,215,74,5205,270,1061,689,623,462,419,243,112,3865,29,63,47,63,28,14,9,3,250,65,169,150,196,151,147,64,45,995,362,1294,886,882,640,580,318,158,5114,33,187,115,105,92,92,56,29,704,672,2167,1318,902,661,627,550,438,7342,2310,13817,10382,6857,4476,3075,1575,863,43351
LGA18100,3,10,11,3,3,0,31,0,3,5,6,7,4,0,3,27,5,42,75,39,31,32,3,3,231,4,17,38,41,53,36,7,0,205,32,79,83,97,108,82,29,13,521,4,8,12,8,7,6,8,0,61,5,7,5,17,16,17,3,0,67,40,91,97,120,133,110,41,12,648,0,0,4,0,3,8,3,0,20,42,26,37,60,81,91,73,36,439,95,184,259,274,317,286,125,53,1595
LGA18200,11,13,11,14,0,0,54,0,10,11,11,20,5,3,0,58,25,72,108,72,55,45,9,3,392,8,60,70,70,78,54,17,0,366,115,207,181,219,180,88,40,9,1040,13,11,14,14,9,3,0,0,69,11,9,14,21,22,9,8,0,95,138,233,213,256,216,107,50,9,1207,3,4,3,3,3,5,3,0,22,127,117,98,128,143,157,80,46,891,302,492,513,563,523,380,165,57,2994
LGA18230,208,155,126,60,14,3,804,10,118,133,116,147,46,4,0,574,209,1204,966,699,576,273,94,42,4056,152,515,544,621,576,295,121,37,2853,919,1752,1471,1504,1200,655,268,75,7839,133,129,100,122,88,36,13,0,624,68,96,123,175,203,127,48,16,854,1119,1975,1695,1808,1489,819,326,87,9319,7,37,29,50,62,52,27,5,271,788,906,700,702,716,695,554,262,5315,2283,4984,4265,4144,3691,2231,1141,439,23179
LGA18250,2707,1685,997,546,190,40,8349,21,274,469,395,292,157,58,13,1680,1172,4873,5086,3443,2141,1205,478,214,18612,323,946,1098,1164,915,607,313,167,5536,248,569,574,636,472,347,199,108,3145,34,46,46,72,57,28,14,7,309,42,90,125,190,257,180,107,73,1061,324,710,752,893,786,558,316,186,4522,38,102,133,134,116,113,76,38,753,474,750,669,532,466,422,300,253,3865,2456,9739,10907,8255,5706,3612,1738,909,43319
LGA18350,314,324,405,393,152,22,1771,9,67,111,179,248,180,51,6,854,123,649,992,996,1029,1012,465,111,5388,133,371,616,788,793,842,396,112,4059,623,1180,1193,1410,1205,900,458,110,7072,73,60,68,96,80,68,24,3,484,43,72,127,199,256,317,158,46,1221,743,1314,1395,1704,1542,1288,643,157,8781,12,27,22,42,77,96,47,32,352,395,317,414,559,598,779,591,349,3989,1421,2894,3859,4602,4695,4590,2345,791,25195
LGA18400,225,204,174,73,12,7,933,13,85,92,111,115,45,8,0,468,218,781,865,623,530,262,68,19,3371,247,624,778,791,652,285,84,23,3485,976,1861,1986,1827,1388,735,316,51,9144,95,103,93,93,95,37,8,4,527,70,98,200,208,220,130,37,7,966,1135,2064,2280,2130,1699,900,367,64,10640,14,34,50,60,73,44,21,10,305,502,369,431,483,513,439,350,202,3299,2161,4161,4732,4401,3762,2046,907,317,22487
LGA18450,2030,1633,1362,715,189,42,8108,79,645,686,596,728,297,83,18,3131,2213,6096,5165,3535,2865,1492,529,145,22048,1118,2721,3210,3258,2557,1440,514,163,14989,3204,5984,5591,5944,4753,2921,1564,505,30466,463,363,385,367,295,151,49,20,2094,278,366,635,823,888,657,290,104,4043,3944,6720,6610,7128,5938,3731,1901,629,36609,117,189,200,221,278,254,145,48,1451,1886,1696,1507,1789,1954,2053,1980,1106,13964,9476,20096,19404,18155,15680,9988,5342,2153,100292
LGA18500,1471,1257,889,728,243,62,5966,8,280,280,229,228,154,64,7,1262,869,4565,3171,2446,1897,1413,561,236,15161,132,685,728,710,613,576,273,130,3840,149,441,336,364,271,294,154,74,2069,19,29,45,27,29,23,13,0,182,31,100,110,133,156,163,69,51,816,198,572,487,519,452,481,236,132,3071,21,64,67,69,105,121,54,30,534,516,1009,740,693,605,711,530,327,5140,1808,8421,6938,5936,4790,4188,1962,930,34973
LGA18710,172,178,157,92,33,9,691,5,27,90,101,92,53,12,0,380,66,306,473,452,339,228,64,10,1938,38,140,271,304,239,143,46,8,1188,185,377,450,496,343,190,86,20,2149,28,21,21,31,14,6,4,0,134,22,16,44,68,60,50,16,4,282,237,417,513,598,420,251,106,23,2560,3,4,13,16,12,12,0,3,60,174,97,189,182,225,188,159,133,1348,524,1048,1717,1826,1483,962,421,186,8167
LGA19399,4,3,3,0,0,0,13,0,0,3,0,0,0,0,0,7,0,21,22,13,21,3,3,0,77,0,6,15,10,21,6,3,3,62,17,45,44,33,24,15,4,0,184,0,0,3,0,0,0,0,0,9,0,0,6,9,5,6,0,0,28,19,43,54,39,27,26,7,0,219,0,0,0,0,0,0,0,0,6,14,24,22,10,14,12,6,8,117,36,98,122,75,92,50,18,13,499
LGA19499,85,39,31,20,12,0,365,3,31,23,23,26,11,0,0,120,199,494,197,146,110,88,16,4,1247,75,146,99,99,128,100,14,3,663,154,314,226,252,265,169,18,3,1416,42,23,22,12,15,11,0,0,126,33,33,29,26,49,23,4,0,195,232,363,277,290,333,205,23,7,1738,11,21,14,13,10,15,5,0,83,448,798,701,670,495,283,90,29,3513,989,2023,1392,1284,1142,722,150,41,7741
LGA19799,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,4,0,6,5,3,7,3,0,3,35,0,8,0,3,6,13,3,0,31,4,4,9,11,8,20,3,3,61,0,0,0,0,0,3,0,0,3,3,0,0,3,4,0,0,0,8,5,4,7,11,11,23,3,3,74,0,0,0,0,0,0,0,0,3,7,7,6,6,13,21,14,0,69,8,30,15,24,43,60,25,3,212
