LGA_CODE_2016,Ireland_2011,Ireland_2012,Ireland_2013,Ireland_2014,Ireland_2015,Ireland_2016,Ireland_Yr_arrival_NS,Ireland_Tot,Italy_Before_1946,Italy_1946_1955,Italy_1956_1965,Italy_1966_1975,Italy_1976_1985,Italy_1986_1995,Italy_1996_2005,Italy_2006_2010,Italy_2011,Italy_2012,Italy_2013,Italy_2014,Italy_2015,Italy_2016,Italy_Yr_arrival_NS,Italy_Tot,Japan_Before_1946,Japan_1946_1955,Japan_1956_1965,Japan_1966_1975,Japan_1976_1985,Japan_1986_1995,Japan_1996_2005,Japan_2006_2010,Japan_2011,Japan_2012,Japan_2013,Japan_2014,Japan_2015,Japan_2016,Japan_Yr_arrival_NS,Japan_Tot,Korea_Rep_Sth_Before_1946,Korea_Rep_Sth_1946_1955,Korea_Rep_Sth_1956_1965,Korea_Rep_Sth_1966_1975,Korea_Rep_Sth_1976_1985,Korea_Rep_Sth_1986_1995,Korea_Rep_Sth_1996_2005,Korea_Rep_Sth_2006_2010,Korea_Republic_South_2011,Korea_Republic_South_2012,Korea_Republic_South_2013,Korea_Republic_South_2014,Korea_Republic_South_2015,Korea_Republic_South_2016,Korea_Repub_Sth_arrival_ns,Korea_Republic_South_Tot,Lebanon_Before_1946,Lebanon_1946_1955,Lebanon_1956_1965,Lebanon_1966_1975,Lebanon_1976_1985,Lebanon_1986_1995,Lebanon_1996_2005,Lebanon_2006_2010,Lebanon_2011,Lebanon_2012,Lebanon_2013,Lebanon_2014,Lebanon_2015,Lebanon_2016,Lebanon_Yr_arrival_NS,Lebanon_Tot,Malaysia_Before_1946,Malaysia_1946_1955,Malaysia_1956_1965,Malaysia_1966_1975,Malaysia_1976_1985,Malaysia_1986_1995,Malaysia_1996_2005,Malaysia_2006_2010,Malaysia_2011,Malaysia_2012,Malaysia_2013,Malaysia_2014,Malaysia_2015,Malaysia_2016,Malaysia_Yr_arrival_ns,Malaysia_Tot,Malta_Before_1946,Malta_1946_1955,Malta_1956_1965,Malta_1966_1975,Malta_1976_1985,Malta_1986_1995,Malta_1996_2005,Malta_2006_2010,Malta_2011,Malta_2012,Malta_2013,Malta_2014,Malta_2015,Malta_2016,Malta_Yr_arrival_NS,Malta_Tot,Netherlands_Before_1946,Netherlands_1946_1955,Netherlands_1956_1965,Netherlands_1966_1975,Netherlands_1976_1985,Netherlands_1986_1995,Netherlands_1996_2005,Netherlands_2006_2010,Netherlands_2011,Netherlands_2012,Netherlands_2013,Netherlands_2014,Netherlands_2015,Netherlands_2016,Netherlands_Yr_arrival_ns,Netherlands_Tot,New_Zealand_Before_1946,New_Zealand_1946_1955,New_Zealand_1956_1965,New_Zealand_1966_1975,New_Zealand_1976_1985,New_Zealand_1986_1995,New_Zealand_1996_2005,New_Zealand_2006_2010,New_Zealand_2011,New_Zealand_2012,New_Zealand_2013,New_Zealand_2014,New_Zealand_2015,New_Zealand_2016,New_Zealand_Yr_arrival_ns,New_Zealand_Tot,Pakistan_Before_1946,Pakistan_1946_1955,Pakistan_1956_1965,Pakistan_1966_1975,Pakistan_1976_1985,Pakistan_1986_1995,Pakistan_1996_2005,Pakistan_2006_2010,Pakistan_2011,Pakistan_2012,Pakistan_2013,Pakistan_2014,Pakistan_2015,Pakistan_2016,Pakistan_Yr_arrival_NS,Pakistan_Tot,Philippines_Before_1946,Philippines_1946_1955,Philippines_1956_1965,Philippines_1966_1975,Philippines_1976_1985,Philippines_1986_1995,Philippines_1996_2005,Philippines_2006_2010,Philippines_2011,Philippines_2012,Philippines_2013,Philippines_2014,Philippines_2015,Philippines_2016,Philippines_Yr_arrival_ns,Philippines_Tot,Poland_Before_1946,Poland_1946_1955,Poland_1956_1965,Poland_1966_1975,Poland_1976_1985,Poland_1986_1995,Poland_1996_2005,Poland_2006_2010,Poland_2011,Poland_2012,Poland_2013,Poland_2014,Poland_2015,Poland_2016,Poland_Yr_arrival_NS,Poland_Tot,Singapore_Before_1946,Singapore_1946_1955,Singapore_1956_1965,Singapore_1966_1975,Singapore_1976_1985,Singapore_1986_1995,Singapore_1996_2005,Singapore_2006_2010,Singapore_2011,Singapore_2012,Singapore_2013,Singapore_2014,Singapore_2015,Singapore_2016,Singapore_Yr_arrival_ns,Singapore_Tot
LGA10850,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9,0,4,0,3,0,0,0,0,0,0,0,0,0,19,0,3,0,17,18,8,12,7,0,8,0,0,0,0,3,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,0,0,0,0,0,0,0,13,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA10900,3,3,3,0,0,0,13,283,0,36,56,42,8,5,0,8,0,0,0,0,0,0,12,174,0,3,4,9,10,28,22,17,3,0,0,6,0,0,7,106,0,0,0,0,12,15,18,14,0,5,0,0,13,9,5,93,0,0,4,13,6,9,10,3,0,0,4,0,0,0,0,51,0,0,9,36,35,37,14,7,3,3,0,0,4,8,4,158,0,34,25,16,5,3,3,0,0,0,0,0,0,0,0,87,0,113,105,42,39,14,18,7,5,3,3,3,0,0,6,359,7,18,56,159,322,237,188,61,12,8,0,4,10,0,38,1121,0,0,0,9,3,3,3,0,0,0,0,0,0,0,3,26,0,0,0,12,45,72,37,38,0,4,7,19,7,9,3,258,0,8,10,22,69,42,19,3,0,0,0,0,0,0,0,179,0,0,3,9,8,4,17,3,0,3,0,0,3,5,0,67
LGA10950,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,3,3,3,0,0,0,0,0,0,18,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA11100,63,46,25,31,21,13,15,463,3,42,129,72,27,14,8,14,3,5,8,12,7,0,16,352,0,0,0,7,9,29,38,23,5,9,10,6,3,0,3,147,0,0,0,0,9,40,59,36,7,7,3,8,13,4,8,200,0,3,8,86,33,22,13,7,0,0,0,0,3,0,3,174,0,0,7,18,48,105,80,63,12,19,22,28,19,20,16,454,0,72,59,32,14,0,0,0,0,0,0,0,0,0,11,191,0,11,3,3,6,9,8,7,0,0,0,0,0,0,0,54,0,0,9,71,154,158,197,112,23,26,35,19,20,17,37,878,0,0,3,3,7,26,25,19,5,13,9,12,11,8,6,150,0,0,0,47,119,300,178,179,31,36,37,56,35,16,43,1080,0,3,3,4,44,28,16,17,0,3,7,3,14,0,7,143,0,0,3,11,9,14,36,18,6,7,0,6,6,3,0,133
LGA11150,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA11200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA11250,0,0,0,0,0,0,0,12,3,12,9,3,0,0,0,0,0,0,0,0,0,0,3,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,11,13,8,16,8,3,3,3,4,0,0,3,72,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,12,17,11,13,6,23,15,4,7,4,9,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA11300,11,6,6,9,3,0,4,168,0,174,412,277,22,12,16,12,3,10,16,16,12,3,53,1023,0,0,0,4,6,12,28,11,3,4,3,8,11,3,7,102,0,0,0,8,100,191,282,218,51,60,87,60,79,39,75,1238,0,15,62,196,92,92,50,20,7,3,6,0,12,0,33,589,0,0,6,13,43,56,44,36,11,9,17,22,23,17,30,312,0,10,21,3,3,0,0,0,0,0,0,0,0,0,5,43,0,4,3,3,0,0,0,0,0,0,0,0,0,0,0,15,0,4,8,21,52,64,93,33,19,14,9,10,12,4,13,358,0,0,0,3,5,3,20,16,7,3,8,3,16,10,0,87,0,0,3,9,61,89,71,57,21,13,28,33,37,21,7,438,0,9,7,9,28,12,14,3,0,5,0,6,9,0,8,113,0,0,0,6,6,31,15,19,3,9,0,9,5,6,0,115
LGA11350,0,0,0,0,0,3,5,76,0,14,21,8,3,10,16,16,7,8,5,11,4,3,11,135,0,4,0,0,5,21,34,26,0,4,10,5,14,7,8,142,0,0,0,0,3,0,3,3,0,0,0,0,0,5,0,15,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,6,3,5,0,3,0,0,0,0,0,0,0,27,0,5,7,0,0,4,3,0,0,0,0,0,0,0,0,17,0,30,33,9,18,9,23,3,0,4,0,0,0,3,6,150,4,4,36,89,174,110,128,76,9,21,9,19,12,17,47,752,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,4,5,5,14,3,0,4,0,4,3,0,7,57,0,0,3,0,8,4,3,0,3,0,0,3,0,0,5,31,0,0,0,9,3,0,0,0,0,0,0,0,0,0,0,15
LGA11400,0,0,0,0,0,0,0,13,0,5,5,3,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,8,3,0,0,0,3,0,0,0,0,0,0,0,3,16,0,0,9,15,21,26,21,8,0,3,3,0,0,3,11,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,3,11,0,3,0,0,3,0,3,36,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA11450,24,23,5,12,6,8,4,260,0,104,178,157,27,10,4,0,0,0,0,3,8,4,26,523,0,0,0,0,0,3,7,0,3,0,0,0,0,0,3,21,0,0,0,0,3,5,13,9,9,0,0,0,0,3,0,50,0,0,21,67,59,51,43,11,0,0,0,0,0,0,14,267,0,3,5,4,26,37,13,10,3,0,0,0,6,3,4,119,0,89,107,34,25,17,0,6,5,0,0,0,0,0,26,315,0,45,44,17,19,9,8,0,0,0,0,0,0,0,9,154,7,5,22,59,200,227,262,101,25,28,35,33,27,8,41,1069,0,0,0,4,9,31,49,33,3,6,3,6,0,7,0,153,0,0,0,11,66,201,102,57,8,18,11,25,21,6,15,543,0,7,7,12,42,37,19,9,0,0,0,0,0,0,4,146,0,0,0,11,6,5,13,7,0,0,0,6,0,0,0,63
LGA11500,11,16,7,0,0,6,16,328,0,98,142,149,23,14,14,15,0,0,6,3,0,0,21,481,0,8,3,0,3,15,29,13,0,5,4,0,0,3,0,84,0,0,0,0,11,35,42,35,3,4,0,3,6,3,4,153,0,4,17,273,205,259,178,89,9,20,15,10,3,7,44,1135,0,0,17,49,67,120,71,56,6,6,6,4,19,7,9,429,3,93,86,48,14,8,0,3,3,0,0,0,0,0,8,271,3,63,106,23,29,6,9,5,3,0,0,0,0,0,9,252,4,6,32,150,451,788,1238,528,172,135,201,119,115,69,228,4247,0,0,0,6,17,165,295,239,53,55,53,60,93,35,32,1099,0,0,0,70,395,1439,973,573,103,104,100,103,102,54,94,4111,0,17,17,6,227,123,46,23,0,5,0,5,0,0,5,477,0,0,0,19,14,20,27,17,0,7,0,0,3,8,0,123
LGA11520,48,35,25,9,13,5,14,530,21,625,1573,896,113,52,60,43,9,33,41,42,29,15,109,3668,0,0,0,4,23,33,52,37,6,11,14,16,10,6,5,216,0,0,0,19,211,386,759,645,130,180,165,152,233,112,139,3125,0,22,42,154,90,56,21,20,9,0,3,3,0,4,11,436,0,3,20,57,154,156,106,82,13,32,27,12,32,19,16,724,3,50,36,23,7,0,0,0,0,0,0,0,0,0,3,130,0,22,18,4,13,11,19,8,0,3,5,3,0,3,3,109,7,14,38,104,225,187,312,158,42,47,31,16,25,10,30,1251,0,0,0,3,10,17,16,31,14,13,4,20,8,7,8,156,0,0,0,24,102,212,99,93,16,19,46,27,30,24,29,712,0,19,17,9,50,32,17,19,3,3,10,7,0,0,3,182,0,0,9,19,39,24,58,36,8,3,3,22,19,7,3,245
