LGA_CODE_2016,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
LGA14550,17,0,35,17,7,3,7,20,3,106,0,0,0,0,0,0,0,0,0,7,4,3,0,3,0,0,0,5,0,11,26,5,6,9,3,5,7,16,10,82,376,426,266,253,191,71,80,219,36,1915
LGA14600,11,0,20,14,9,10,3,5,0,74,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,22,10,18,5,6,3,15,15,8,99,350,269,194,147,119,67,82,84,18,1336
LGA14650,294,97,1156,424,353,313,153,285,29,3107,0,3,0,8,5,14,3,13,0,43,63,95,88,61,81,32,62,46,28,560,91,114,227,164,140,131,131,190,177,1357,6374,15966,11012,6706,7425,3109,2718,3090,768,57170
LGA14700,80,31,148,55,54,40,5,26,10,437,3,3,0,3,6,4,0,0,0,17,33,80,9,20,32,20,4,3,4,206,22,45,11,11,16,12,3,4,43,177,3130,7547,946,869,1864,864,157,259,237,15866
LGA14750,24,0,55,30,17,9,4,35,3,175,0,0,0,3,0,0,0,0,0,5,4,4,3,0,4,0,4,6,0,30,33,17,15,13,15,11,26,40,11,174,413,582,513,254,300,113,175,305,53,2697
LGA14850,64,16,280,119,51,53,13,103,7,707,0,3,0,3,0,0,0,10,0,18,14,25,16,12,11,10,13,8,3,124,35,25,43,34,32,48,29,68,39,346,1394,3422,1919,1703,1500,732,477,908,142,12194
LGA14870,24,7,106,52,52,19,30,32,4,326,0,0,4,0,0,0,3,7,0,13,5,5,6,5,5,3,13,4,0,45,16,9,42,23,26,16,31,28,16,210,510,875,1074,652,619,233,508,346,74,4889
LGA14900,251,69,809,415,349,242,158,227,23,2540,10,8,19,9,14,13,19,22,7,112,87,98,117,92,123,40,91,70,27,745,112,119,243,139,219,153,210,234,332,1772,5745,12835,8711,5592,8059,3229,3375,3046,1145,51731
LGA14920,11,0,30,20,10,8,9,15,3,103,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,6,3,0,18,10,9,7,11,13,5,15,19,4,106,340,313,258,199,181,75,166,157,22,1720
LGA14950,9,0,16,4,0,0,0,4,0,41,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,3,0,3,11,0,5,8,0,0,3,5,5,3,27,237,154,102,79,80,32,45,55,14,806
