LGA_CODE_2016,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
LGA10050,115,20,377,170,92,125,52,94,8,1058,3,6,0,5,4,3,0,4,0,28,25,31,14,18,21,10,22,17,0,165,29,28,58,42,27,46,37,77,48,388,1848,4172,2690,1948,1880,917,734,898,188,15285
LGA10130,41,9,151,58,40,40,19,47,3,411,0,0,3,3,0,4,0,3,0,9,19,19,8,11,9,3,8,4,0,82,38,47,21,23,18,22,15,45,18,244,1218,2698,1052,956,1023,432,214,610,103,8299
LGA10250,88,18,284,142,71,81,21,60,13,777,3,0,0,0,3,0,0,0,0,13,24,28,11,15,15,7,6,13,4,124,24,24,64,41,28,33,24,58,50,340,1627,3646,1915,1549,1322,708,348,756,187,12065
LGA10300,7,0,13,0,3,0,3,4,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,7,0,6,7,3,0,5,8,3,41,78,79,79,56,45,6,27,65,3,440
LGA10470,82,23,269,118,59,53,30,79,7,727,0,4,0,0,4,3,0,4,0,19,17,15,16,18,24,7,21,8,12,129,34,22,59,33,34,27,29,65,44,339,1576,3194,2113,1663,1429,688,555,846,165,12216
LGA10550,82,15,242,89,55,67,18,98,9,664,0,0,0,0,0,0,0,4,0,8,27,19,14,19,17,5,5,17,0,116,47,32,59,38,28,40,21,58,22,352,1188,1979,1589,1116,874,555,322,769,104,8492
LGA10600,29,4,77,17,18,17,12,19,3,195,0,0,0,0,0,0,0,0,0,4,8,11,3,5,5,0,4,3,3,46,12,7,23,11,16,14,9,20,8,123,471,987,534,431,338,177,141,240,52,3367
LGA10650,25,3,45,21,12,12,3,21,0,153,0,0,0,0,0,0,0,0,0,3,11,0,3,3,0,0,4,3,0,26,20,6,20,14,11,10,13,14,6,121,413,368,309,260,188,90,115,181,25,1954
LGA10750,432,127,1413,612,554,469,454,442,73,4578,19,8,14,16,18,14,33,43,6,177,148,215,183,176,266,125,259,173,56,1602,183,200,359,266,312,188,426,403,478,2813,10817,26152,14660,10673,15473,6055,7260,6110,1815,99021
LGA10800,20,0,22,15,3,3,6,8,0,78,0,0,0,0,0,0,0,0,0,0,3,0,5,3,0,0,0,0,0,11,29,3,11,5,3,10,14,11,10,89,364,254,248,123,142,69,115,112,24,1442
LGA10850,21,0,46,12,7,7,7,11,0,113,0,0,0,0,0,0,0,0,0,0,4,5,3,3,0,0,3,0,0,22,18,5,5,8,9,3,11,8,3,79,366,443,369,215,234,101,141,155,32,2047
LGA10900,132,39,401,219,143,96,42,87,9,1165,8,8,0,7,0,3,0,7,0,37,54,120,29,50,53,24,19,22,19,378,49,74,71,64,63,32,50,60,74,540,3544,9567,3699,3073,3135,1247,777,1255,346,26646
LGA10950,6,3,12,3,3,0,5,4,0,33,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,7,9,7,7,3,4,3,4,4,5,47,146,108,106,72,49,22,60,59,11,626
LGA11100,115,37,300,107,90,69,43,68,6,835,0,0,5,7,0,9,3,7,0,29,40,39,17,27,26,21,19,15,10,217,31,46,46,53,51,32,46,52,67,409,2269,4654,2122,1625,2204,1180,702,860,255,15876
LGA11150,3,0,15,3,4,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,6,5,3,0,5,0,0,0,8,3,28,113,136,75,129,54,20,19,39,8,586
LGA11200,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,3,0,0,3,4,3,0,3,6,3,29,63,69,22,51,20,6,10,30,8,284
LGA11250,22,9,103,54,18,13,15,16,3,255,0,0,0,3,0,0,3,0,0,4,6,3,4,11,6,3,10,4,0,48,16,12,21,30,20,28,19,30,14,190,402,1006,818,693,464,193,284,222,58,4133
LGA11300,52,8,266,81,32,38,16,49,11,560,0,6,9,7,5,4,3,12,0,48,19,36,17,17,27,19,6,14,15,172,24,36,30,26,29,19,13,38,57,270,1515,4508,1315,1107,1659,1032,309,734,263,12438
LGA11350,75,22,254,108,37,62,22,70,5,663,5,3,3,3,0,0,0,0,4,22,28,40,24,23,19,12,8,16,4,168,47,41,51,56,35,47,16,44,29,363,1469,3056,1486,1241,855,613,233,679,152,9793
LGA11400,18,3,51,27,23,15,11,26,3,175,0,0,0,0,0,0,0,0,0,0,7,3,3,6,3,0,0,7,0,34,37,3,29,3,18,7,19,18,15,157,855,929,652,392,469,178,197,282,55,4007
LGA11450,135,41,383,205,233,130,77,86,16,1307,3,3,3,4,5,3,3,3,0,25,39,36,53,34,38,16,33,17,12,281,67,42,107,56,93,65,71,58,87,641,3574,6444,4664,2848,3635,1588,1367,1124,403,25654
LGA11500,193,56,657,319,269,213,191,235,28,2152,3,7,12,7,4,6,17,10,3,66,51,80,78,71,93,38,122,76,21,622,82,89,178,142,147,130,235,213,184,1387,3973,9421,7112,5335,6292,2748,3336,2914,729,41873
LGA11520,218,59,448,191,158,130,32,62,11,1308,4,7,5,9,0,10,0,11,3,49,94,139,21,29,80,42,7,21,25,459,73,96,71,46,69,57,25,55,107,601,6724,13640,3023,2129,4597,2343,536,946,569,34503
LGA11570,451,94,1538,746,526,425,286,349,75,4497,14,17,36,28,22,21,21,60,15,229,143,220,146,139,197,86,136,116,51,1240,173,229,373,275,290,241,283,353,535,2762,9995,23615,13163,9517,12587,6469,5162,5462,1794,87765
LGA11600,11,0,5,0,3,0,7,6,0,29,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,11,11,0,5,3,4,4,3,28,4,63,248,93,85,58,69,14,56,103,13,738
LGA11650,605,177,1969,950,635,612,220,497,45,5698,5,9,6,12,16,11,9,14,0,91,132,178,135,116,119,55,111,68,37,959,217,209,436,322,293,271,240,396,365,2747,11126,23469,16491,11892,11401,5844,3531,5500,1432,90690
LGA11700,3,0,0,8,3,0,0,3,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,3,13,3,0,0,3,7,40,72,51,16,60,17,8,8,34,10,283
LGA11720,107,21,398,187,84,101,106,104,10,1116,0,0,3,4,3,4,6,5,0,22,13,17,23,13,11,3,28,9,5,116,36,35,81,47,45,46,76,94,51,504,1369,2208,3129,1654,1466,811,1323,1039,201,13185
LGA11730,59,16,304,125,62,66,31,75,8,737,0,0,0,4,0,0,0,6,0,14,22,22,13,17,16,11,21,17,3,134,52,30,62,57,43,69,54,98,41,496,1326,2525,1905,1717,1331,752,560,893,169,11181
LGA11750,3,0,13,8,4,3,12,0,0,50,0,0,0,0,0,0,0,0,0,4,3,4,0,3,0,0,3,0,0,9,6,4,9,4,4,3,18,13,6,62,166,224,295,117,106,41,141,72,20,1182
LGA11800,147,42,495,189,132,124,39,145,10,1328,7,3,3,3,3,0,0,11,0,27,38,32,31,19,26,11,19,20,10,208,54,48,75,70,48,66,37,90,78,560,2370,5213,3165,2557,2501,1288,704,1502,300,19609
LGA12000,4,3,18,11,7,4,3,6,0,54,0,0,0,0,0,0,0,0,0,0,3,3,3,0,3,0,0,0,0,17,18,3,4,6,4,4,4,9,4,58,218,216,176,135,107,48,52,88,21,1063
LGA12150,12,0,7,7,5,0,0,7,0,43,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,11,13,4,7,3,7,6,5,13,4,62,211,162,99,106,88,40,24,64,23,817
LGA12350,22,3,56,24,16,15,8,19,0,167,0,0,0,0,0,0,0,0,0,0,3,7,3,5,3,3,3,3,0,34,23,17,21,19,6,17,11,23,14,142,524,600,488,375,273,185,129,261,40,2875
LGA12380,212,63,916,361,285,230,182,225,39,2499,10,7,32,19,17,11,25,47,7,172,68,109,95,86,112,72,96,79,28,754,99,118,302,146,176,113,168,258,399,1788,5680,14957,8164,5858,8028,3833,3258,4105,1334,55209
LGA12700,16,0,37,18,11,9,13,18,0,127,0,0,0,0,0,0,0,0,0,3,3,9,3,4,0,0,0,0,0,25,15,12,26,4,13,3,12,14,4,105,402,515,560,267,323,115,166,195,34,2562
LGA12730,10,3,48,21,14,14,4,23,0,131,0,0,0,0,0,0,0,4,0,8,4,3,3,4,6,0,0,4,0,20,15,7,10,10,13,18,16,27,17,133,416,496,356,287,246,111,119,243,42,2324
LGA12750,65,16,254,97,54,77,24,76,7,672,0,0,0,0,0,0,0,0,0,4,13,15,9,8,10,4,9,12,5,89,31,27,55,35,27,42,11,51,40,322,1100,1925,1644,1180,951,601,328,637,146,8514
LGA12850,167,49,644,472,252,215,117,198,30,2140,8,10,12,17,9,17,13,32,6,117,37,69,75,35,74,38,73,62,27,484,97,98,261,135,138,131,218,230,267,1570,3409,8655,6722,4323,5796,2485,2661,2769,902,37727
LGA12870,31,3,61,32,15,17,4,37,3,202,0,0,0,0,0,0,0,0,0,10,6,6,3,4,0,0,7,5,0,32,24,13,31,17,14,9,18,26,3,157,514,515,564,346,268,146,183,319,43,2898
