LGA_CODE_2016,MOL_SAL_Oth_SOLSE_NWorNAA,MOL_SAL_Oth_SOLSE_Tot,MOL_SAL_Oth_NS,MOL_SAL_Oth_Tot,MOL_SAL_Tot_SEO,MOL_SAL_Tot_SOLSE_VWorW,MOL_SAL_Tot_SOLSE_NWorNAA,MOL_SAL_Tot_SOLSE_Tot,MOL_SAL_Tot_NS,MOL_SAL_Tot_Tot,MOL_Spanish_SEO,MOL_Spanish_SOLSE_VWorW,MOL_Spanish_SOLSE_NWorNAA,MOL_Spanish_SOLSE_Tot,MOL_Spanish_NS,MOL_Spanish_Tot,MOL_Tamil_SEO,MOL_Tamil_SOLSE_VWorW,MOL_Tamil_SOLSE_NWorNAA,MOL_Tamil_SOLSE_Tot,MOL_Tamil_NS,MOL_Tamil_Tot,MOL_Thai_SEO,MOL_Thai_SOLSE_VWorW,MOL_Thai_SOLSE_NWorNAA,MOL_Thai_SOLSE_Tot,MOL_Thai_NS,MOL_Thai_Tot,MOL_Turkish_SEO,MOL_Turkish_SOLSE_VWorW,MOL_Turkish_SOLSE_NWorNAA,MOL_Turkish_SOLSE_Tot,MOL_Turkish_NS,MOL_Turkish_Tot,MOL_Vietnamese_SEO,MOL_Vietnamese_SOLSE_VWorW,MOL_Vietnamese_SOLSE_NWorNAA,MOL_Vietnamese_SOLSE_Tot,MOL_Vietnamese_NS,MOL_Vietnamese_Tot,MOL_Oth_SEO,MOL_Oth_SOLSE_VWorW,MOL_Oth_SOLSE_NWorNAA,MOL_Oth_SOLSE_Tot,MOL_Oth_NS,MOL_Oth_Tot,MOL_Tot_SEO,MOL_Tot_SOLSE_VWorW,MOL_Tot_SOLSE_NWorNAA,MOL_Tot_SOLSE_Tot,MOL_Tot_NS,MOL_Tot_Tot,M_LSatH_NS_SEO,M_LSatH_NS_SOLSE_VWorW,M_LSatH_NS_SOLSE_NWorNAA,M_LSatH_NS_SOLSE_Tot,M_LSatH_NS_NS,M_LSatH_NS_Tot,M_Tot_SEO,M_Tot_SOLSE_VWorW,M_Tot_SOLSE_NWorNAA,M_Tot_SOLSE_Tot,M_Tot_NS,M_Tot_Tot,FSEO_SEO,FSEO_SOLSE_VWorW,FSEO_SOLSE_NWorNAA,FSEO_SOLSE_Tot,FSEO_NS,FSEO_Tot,FOL_Afrikaans_SEO,FOL_Afrikaans_SOLSE_VWorW,FOL_Afrikaans_SOLSE_NWorNAA,FOL_Afrikaans_SOLSE_Tot,FOL_Afrikaans_NS,FOL_Afrikaans_Tot,FOL_Arabic_SEO,FOL_Arabic_SOLSE_VWorW,FOL_Arabic_SOLSE_NWorNAA,FOL_Arabic_SOLSE_Tot,FOL_Arabic_NS,FOL_Arabic_Tot,FOL_AIndLng_SEO,FOL_AIndLng_SOLSE_VWorW,FOL_AIndLng_SOLSE_NWorNAA,FOL_AIndLng_SOLSE_Tot,FOL_AIndLng_NS,FOL_AIndLng_Tot,FOL_CL_Cantones_SEO,FOL_CL_Cantones_SOLSE_VWorW,FOL_CL_Cantones_SOLSE_NWorNAA,FOL_CL_Cantones_SOLSE_Tot,FOL_CL_Cantones_NS,FOL_CL_Cantones_Tot,FOL_CL_Mandarin_SEO,FOL_CL_Mandarin_SOLSE_VWorW,FOL_CL_Mandarin_SOLSE_NWorNAA,FOL_CL_Mandarin_SOLSE_Tot,FOL_CL_Mandarin_NS,FOL_CL_Mandarin_Tot,FOL_CL_Oth_SEO,FOL_CL_Oth_SOLSE_VWorW,FOL_CL_Oth_SOLSE_NWorNAA,FOL_CL_Oth_SOLSE_Tot,FOL_CL_Oth_NS,FOL_CL_Oth_Tot,FOL_CL_Tot_SEO,FOL_CL_Tot_SOLSE_VWorW,FOL_CL_Tot_SOLSE_NWorNAA,FOL_CL_Tot_SOLSE_Tot,FOL_CL_Tot_NS,FOL_CL_Tot_Tot,FOL_Croatian_SEO,FOL_Croatian_SOLSE_VWorW,FOL_Croatian_SOLSE_NWorNAA,FOL_Croatian_SOLSE_Tot,FOL_Croatian_NS,FOL_Croatian_Tot,FOL_Dutch_SEO,FOL_Dutch_SOLSE_VWorW,FOL_Dutch_SOLSE_NWorNAA,FOL_Dutch_SOLSE_Tot,FOL_Dutch_NS,FOL_Dutch_Tot,FOL_French_SEO,FOL_French_SOLSE_VWorW,FOL_French_SOLSE_NWorNAA,FOL_French_SOLSE_Tot,FOL_French_NS,FOL_French_Tot,FOL_German_SEO,FOL_German_SOLSE_VWorW,FOL_German_SOLSE_NWorNAA,FOL_German_SOLSE_Tot,FOL_German_NS,FOL_German_Tot,FOL_Greek_SEO,FOL_Greek_SOLSE_VWorW,FOL_Greek_SOLSE_NWorNAA,FOL_Greek_SOLSE_Tot,FOL_Greek_NS,FOL_Greek_Tot,FOL_IAL_Bengali_SEO,FOL_IAL_Bengali_SOLSE_VWorW,FOL_IAL_Bengali_SOLSE_NWorNAA,FOL_IAL_Bengali_SOLSE_Tot,FOL_IAL_Bengali_NS,FOL_IAL_Bengali_Tot,FOL_IAL_Hindi_SEO,FOL_IAL_Hindi_SOLSE_VWorW,FOL_IAL_Hindi_SOLSE_NWorNAA,FOL_IAL_Hindi_SOLSE_Tot,FOL_IAL_Hindi_NS,FOL_IAL_Hindi_Tot,FOL_IAL_Punjabi_SEO,FOL_IAL_Punjabi_SOLSE_VWorW,FOL_IAL_Punjabi_SOLSE_NWorNAA,FOL_IAL_Punjabi_SOLSE_Tot,FOL_IAL_Punjabi_NS,FOL_IAL_Punjabi_Tot,FOL_IAL_Sinhalese_SEO,FOL_IAL_Sinhalese_SOLSE_VWorW,FOL_IAL_Sinhale_SOLSE_NWorNAA,FOL_IAL_Sinhalese_SOLSE_Tot,FOL_IAL_Sinhalese_NS,FOL_IAL_Sinhalese_Tot,FOL_IAL_Urdu_SEO,FOL_IAL_Urdu_SOLSE_VWorW,FOL_IAL_Urdu_SOLSE_NWorNAA,FOL_IAL_Urdu_SOLSE_Tot,FOL_IAL_Urdu_NS,FOL_IAL_Urdu_Tot,FOL_IAL_Oth_SEO,FOL_IAL_Oth_SOLSE_VWorW,FOL_IAL_Oth_SOLSE_NWorNAA,FOL_IAL_Oth_SOLSE_Tot,FOL_IAL_Oth_NS,FOL_IAL_Oth_Tot,FOL_IAL_Tot_SEO,FOL_IAL_Tot_SOLSE_VWorW,FOL_IAL_Tot_SOLSE_NWorNAA,FOL_IAL_Tot_SOLSE_Tot,FOL_IAL_Tot_NS,FOL_IAL_Tot_Tot,FOL_Italian_SEO,FOL_Italian_SOLSE_VWorW,FOL_Italian_SOLSE_NWorNAA,FOL_Italian_SOLSE_Tot,FOL_Italian_NS,FOL_Italian_Tot,FOL_Japanese_SEO,FOL_Japanese_SOLSE_VWorW,FOL_Japanese_SOLSE_NWorNAA,FOL_Japanese_SOLSE_Tot,FOL_Japanese_NS,FOL_Japanese_Tot,FOL_Korean_SEO,FOL_Korean_SOLSE_VWorW,FOL_Korean_SOLSE_NWorNAA,FOL_Korean_SOLSE_Tot
LGA13550,0,0,0,0,..,13,0,13,0,13,..,0,0,0,0,0,..,4,4,7,0,7,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,4,0,4,..,20,0,24,0,24,..,105,24,124,0,124,..,14,0,14,460,477,5501,118,24,143,460,6105,5496,..,..,..,..,5496,..,20,0,20,0,20,..,0,0,0,0,0,..,0,0,0,0,0,..,6,3,5,0,5,..,12,7,18,0,18,..,0,0,0,0,0,..,20,12,28,0,28,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,14,0,14,0,14,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,5,0,8,0,8,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0
LGA13660,0,0,0,0,..,3,0,3,0,3,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,5,3,10,0,6,..,29,5,34,0,35,..,3,0,3,274,272,2352,31,5,36,274,2657,2327,..,..,..,..,2327,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,8,0,8,0,8,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0
LGA13800,0,3,0,3,..,54,4,59,0,59,..,73,10,79,0,79,..,7,0,7,0,7,..,18,8,28,0,28,..,10,0,10,0,10,..,19,9,28,0,28,..,163,41,205,10,218,..,1612,213,1822,26,1846,..,77,3,82,1790,1870,28235,1688,211,1900,1818,31952,28772,..,..,..,..,28772,..,36,0,36,0,36,..,83,10,88,0,88,..,6,0,6,0,11,..,62,48,110,0,110,..,77,22,106,0,107,..,6,0,10,0,10,..,151,73,223,0,224,..,57,6,63,3,70,..,61,0,61,0,61,..,57,0,55,0,55,..,100,0,104,0,100,..,63,11,68,0,68,..,0,0,0,0,0,..,23,0,27,0,27,..,16,3,14,0,14,..,6,0,6,0,6,..,25,4,33,0,33,..,3,0,3,0,3,..,74,8,79,0,79,..,136,11,146,4,148,..,10,0,17,0,17,..,19,6,25
LGA13850,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,22,3,21,0,22,..,47,9,56,3,56,..,6,4,9,172,181,1244,51,9,62,179,1480,1236,..,..,..,..,1236,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,3,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,6,0,6,0,6,..,14,3,14,0,11,..,0,0,0,0,0,..,0,0,0
LGA13910,0,0,0,0,..,20,0,23,0,23,..,9,0,9,0,9,..,0,0,0,0,0,..,0,0,0,0,0,..,8,0,8,0,8,..,0,0,0,0,0,..,27,7,32,5,30,..,282,39,317,7,321,..,26,3,31,589,615,8150,305,42,346,589,9088,8473,..,..,..,..,8473,..,8,0,11,0,11,..,76,16,93,3,95,..,0,0,0,0,0,..,8,3,11,0,11,..,10,6,19,0,19,..,0,0,0,0,0,..,15,13,26,0,26,..,5,0,5,0,5,..,8,0,8,0,8,..,7,0,7,0,7,..,5,0,5,0,5,..,0,0,0,0,0,..,3,0,3,0,3,..,3,0,3,0,3,..,7,0,7,0,7,..,0,4,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,16,4,18,0,18,..,12,0,13,0,13,..,0,0,0,0,0,..,3,0,4
LGA14000,0,52,0,52,..,872,26,897,5,905,..,558,41,598,6,603,..,542,12,556,3,560,..,90,32,120,0,124,..,54,0,59,0,59,..,201,53,256,0,252,..,1538,215,1745,45,1790,..,18064,2715,20780,172,20952,..,124,21,151,2277,2426,46258,18190,2741,20925,2454,69634,46905,..,..,..,..,46905,..,280,0,280,0,281,..,685,72,757,8,766,..,0,0,3,0,3,..,2399,609,3006,18,3017,..,4083,1450,5532,27,5558,..,223,46,270,0,273,..,6705,2105,8810,45,8853,..,76,5,79,0,79,..,125,3,122,0,122,..,190,4,195,3,196,..,278,8,285,0,289,..,170,18,191,3,190,..,160,9,165,0,169,..,1108,48,1160,9,1171,..,255,24,277,0,275,..,538,19,556,3,557,..,248,22,267,0,269,..,859,58,915,3,926,..,3167,176,3341,21,3368,..,445,54,497,12,513,..,369,56,428,0,428,..,1183,522,1703
LGA14100,0,3,0,3,..,24,0,24,0,24,..,33,4,44,0,44,..,5,0,5,0,5,..,7,0,5,0,5,..,11,0,12,0,12,..,19,3,18,0,18,..,109,11,118,0,122,..,1043,182,1225,10,1236,..,37,3,44,331,378,5370,1082,183,1268,344,6987,5160,..,..,..,..,5160,..,13,0,13,0,13,..,54,3,59,0,61,..,0,0,0,0,0,..,129,48,174,0,174,..,175,67,244,0,245,..,18,5,20,0,20,..,313,121,438,0,436,..,13,0,13,0,13,..,16,0,19,0,19,..,34,0,34,4,39,..,28,0,26,0,26,..,115,9,126,0,126,..,0,0,0,0,0,..,25,0,24,0,24,..,4,0,4,0,4,..,4,0,4,0,4,..,5,0,5,0,5,..,4,0,4,0,4,..,51,0,49,0,49,..,141,16,150,0,152,..,12,11,21,0,21,..,28,23,51
LGA14170,3,79,0,79,..,1011,48,1060,9,1066,..,1112,145,1262,17,1279,..,135,7,141,0,141,..,404,193,591,0,597,..,237,50,293,0,293,..,1273,490,1763,12,1770,..,2213,525,2739,53,2791,..,20022,4157,24181,222,24401,..,179,27,210,6414,6628,57710,20205,4185,24391,6641,88736,59576,..,..,..,..,59576,..,61,4,66,0,66,..,980,234,1217,9,1232,..,31,0,31,0,31,..,1310,613,1927,12,1937,..,2595,968,3558,26,3580,..,178,100,277,0,278,..,4088,1678,5760,36,5796,..,227,39,264,3,266,..,152,7,153,0,160,..,548,28,576,11,579,..,406,16,416,4,420,..,1921,943,2860,21,2885,..,225,28,250,3,251,..,420,28,453,3,451,..,50,9,64,0,64,..,50,0,50,0,50,..,43,3,42,0,43,..,1120,87,1206,7,1211,..,1909,157,2063,13,2074,..,2050,589,2646,22,2663,..,386,48,434,6,436,..,315,157,472
LGA14200,0,0,0,0,..,61,6,63,5,68,..,4,0,4,0,4,..,0,0,0,0,0,..,3,0,4,0,4,..,0,0,0,0,0,..,3,4,6,0,6,..,43,7,53,5,58,..,198,33,238,9,241,..,22,0,22,621,642,7177,220,33,253,629,8061,7479,..,..,..,..,7479,..,8,0,8,0,7,..,4,0,4,0,4,..,6,0,6,0,6,..,3,0,3,0,3,..,11,3,14,0,14,..,0,0,0,0,0,..,15,9,17,0,17,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,20,0,20,0,18,..,0,0,0,0,0,..,0,0,0,0,0,..,8,0,8,0,8,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,11,0,11,0,11,..,11,0,11,0,11,..,5,0,5,0,5,..,4,3,11
LGA14300,0,0,0,0,..,9,0,9,0,9,..,5,0,5,0,5,..,0,3,6,0,6,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,5,3,12,0,12,..,63,46,116,0,116,..,6,0,6,1094,1101,2359,69,51,116,1094,3574,2398,..,..,..,..,2398,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,10,26,37,0,37,..,3,3,4,0,4,..,18,25,44,0,44,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,6,0,6,0,6,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,3,0,3,..,8,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,0,3,3
LGA14350,0,3,0,3,..,14,0,14,0,14,..,7,3,12,0,12,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,4,0,4,0,4,..,53,10,62,3,68,..,233,49,276,8,283,..,39,3,45,1633,1677,12489,270,52,320,1634,14447,12766,..,..,..,..,12766,..,3,0,3,0,3,..,6,0,6,0,6,..,28,0,28,0,32,..,3,5,7,0,7,..,16,15,31,0,31,..,0,0,4,0,4,..,19,20,35,0,35,..,0,0,0,0,0,..,12,0,12,0,12,..,11,0,13,0,13,..,39,0,41,0,41,..,8,5,8,0,8,..,3,0,3,0,3,..,9,0,9,0,9,..,3,0,3,0,3,..,5,0,3,0,3,..,3,0,3,0,3,..,3,0,5,0,5,..,25,3,27,0,27,..,11,0,11,0,11,..,3,0,3,0,3,..,3,0,3
LGA14400,0,3,0,3,..,10,0,9,0,9,..,27,0,27,0,27,..,0,0,0,0,0,..,18,3,19,0,19,..,3,0,3,0,3,..,0,0,0,0,0,..,53,14,63,5,65,..,376,48,421,10,435,..,17,0,22,617,639,9455,398,45,442,624,10528,9753,..,..,..,..,9753,..,10,0,10,0,14,..,7,0,11,0,11,..,0,0,0,3,3,..,14,4,16,0,16,..,20,3,24,0,24,..,4,3,5,0,5,..,33,12,48,0,48,..,12,0,12,0,12,..,22,0,21,0,21,..,33,0,33,0,33,..,44,0,52,0,52,..,27,0,26,0,26,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,3,0,3,..,7,0,8,0,8,..,47,3,54,0,51,..,10,0,10,0,10,..,4,0,4
LGA14500,0,21,0,21,..,308,16,323,0,325,..,334,13,344,3,347,..,121,0,124,0,124,..,57,18,73,0,73,..,46,0,46,0,46,..,117,13,127,0,127,..,874,117,992,30,1020,..,12879,1973,14853,106,14957,..,116,12,131,1842,1973,39729,12992,1987,14980,1949,56657,41346,..,..,..,..,41346,..,252,4,258,0,258,..,154,14,166,0,170,..,0,0,0,0,3,..,2692,468,3160,17,3177,..,4168,1488,5652,23,5674,..,164,48,210,0,212,..,7030,1997,9028,38,9066,..,46,4,49,0,51,..,156,3,157,0,159,..,256,3,259,3,262,..,370,8,371,3,376,..,203,11,210,0,210,..,47,0,47,0,47,..,423,13,435,0,439,..,165,10,175,0,175,..,145,0,145,0,145,..,73,3,77,0,77,..,210,13,225,0,225,..,1065,38,1103,0,1106,..,295,21,320,0,316,..,444,88,537,8,538,..,1150,427,1574
LGA14550,0,0,0,0,..,3,0,3,0,3,..,4,0,4,0,4,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,21,4,30,3,32,..,93,8,102,4,106,..,15,0,15,427,447,3979,108,8,121,433,4529,3896,..,..,..,..,3896,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,4,0,3,0,3,..,3,0,4,0,4,..,6,0,6,0,6,..,8,3,13,0,13,..,0,0,0,0,0,..,5,0,5,0,5,..,5,3,4,0,4,..,22,0,22,0,22,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,6,0,6,0,6,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,13,0,13,0,13,..,5,0,5,0,5,..,11,0,11,0,11,..,0,0,0
LGA14600,0,0,0,0,..,11,0,11,0,11,..,0,0,3,0,3,..,3,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,8,0,8,..,54,7,62,0,63,..,11,0,14,356,369,2663,64,6,74,359,3100,2702,..,..,..,..,2702,..,0,0,0,0,0,..,5,0,5,0,5,..,9,0,9,0,6,..,5,0,4,0,4,..,0,0,3,0,3,..,0,0,0,0,0,..,6,3,11,0,11,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,8,0,8,0,8,..,0,0,0,0,0,..,3,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,5,0,11,0,11,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0
LGA14650,0,16,0,16,..,165,7,169,6,172,..,160,18,180,0,180,..,56,8,64,0,68,..,65,23,94,0,90,..,8,3,15,0,15,..,47,12,57,0,57,..,577,141,718,25,743,..,3501,469,3970,75,4041,..,229,8,239,3874,4107,88140,3729,481,4205,3946,96294,91960,..,..,..,..,91960,..,82,3,89,0,89,..,87,6,94,3,97,..,23,0,23,0,23,..,143,47,198,0,198,..,269,65,330,3,334,..,24,9,26,0,28,..,438,118,552,3,559,..,55,9,61,0,61,..,121,3,128,0,132,..,108,3,114,0,114,..,226,4,235,7,238,..,135,10,144,3,148,..,37,5,40,0,45,..,102,8,111,0,116,..,41,3,48,0,43,..,39,3,42,0,43,..,37,3,41,0,41,..,56,6,66,0,67,..,312,37,347,4,355,..,240,28,265,6,270,..,60,10,67,0,67,..,71,20,97
LGA14700,0,6,0,6,..,171,3,179,3,179,..,195,21,217,0,217,..,41,0,43,0,43,..,38,9,48,0,48,..,23,0,24,0,24,..,49,9,60,0,60,..,488,85,568,18,589,..,3835,521,4353,44,4401,..,38,4,43,798,843,12498,3877,525,4402,840,17733,12403,..,..,..,..,12403,..,37,0,37,0,37,..,39,10,45,0,45,..,3,0,3,0,3,..,506,113,616,3,624,..,750,198,947,9,956,..,55,10,70,0,70,..,1310,319,1628,15,1645,..,50,3,52,3,53,..,31,0,31,0,31,..,109,3,111,0,111,..,94,0,94,3,98,..,122,9,136,0,136,..,54,6,57,0,63,..,155,3,160,0,162,..,28,0,30,0,33,..,25,0,25,0,25,..,26,9,36,0,36,..,188,13,199,0,205,..,478,35,516,5,518,..,139,9,147,3,152,..,190,59,252,0,252,..,145,47,191
LGA14750,0,11,0,8,..,39,0,41,0,44,..,3,0,3,0,3,..,9,0,13,0,13,..,0,3,0,0,0,..,0,0,0,0,0,..,6,0,6,0,6,..,42,33,78,3,80,..,356,70,427,11,435,..,12,0,17,466,484,4615,366,71,443,471,5530,4753,..,..,..,..,4753,..,4,0,4,0,4,..,4,0,4,0,4,..,3,0,3,0,6,..,0,3,3,0,7,..,9,0,13,0,13,..,0,0,0,0,0,..,14,4,19,0,19,..,3,0,3,0,3,..,3,0,3,0,3,..,4,0,4,0,4,..,3,0,3,0,3,..,0,0,0,0,5,..,3,0,3,0,3,..,0,0,0,0,0,..,40,8,50,0,50,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,42,8,56,0,56,..,135,29,161,0,162,..,3,0,3,0,3,..,0,0,0
LGA14850,0,5,0,8,..,40,0,40,0,43,..,41,3,39,0,39,..,4,0,4,0,4,..,17,0,20,0,20,..,3,0,3,0,3,..,14,11,22,0,22,..,145,36,181,7,192,..,793,106,900,10,911,..,70,13,87,1578,1657,18405,867,123,984,1585,20975,19353,..,..,..,..,19353,..,14,3,15,0,15,..,6,0,6,0,6,..,32,0,35,3,38,..,14,0,14,0,14,..,35,14,46,0,46,..,3,0,3,0,4,..,57,16,67,0,69,..,3,0,3,0,3,..,34,0,35,0,35,..,52,0,52,0,52,..,108,3,104,4,109,..,10,0,10,0,10,..,5,0,5,0,5,..,15,0,17,0,17,..,31,3,33,0,36,..,3,0,3,0,3,..,15,4,15,0,15,..,6,0,6,0,6,..,76,12,88,0,83,..,144,27,168,5,171,..,35,4,39,0,39,..,8,4,7
LGA14870,0,3,0,3,..,21,0,21,4,23,..,6,0,10,0,10,..,3,0,3,0,3,..,5,0,3,0,3,..,3,0,3,0,3,..,12,3,12,0,16,..,64,8,65,0,67,..,286,44,331,10,342,..,27,4,29,1387,1419,8929,312,51,363,1402,10689,8976,..,..,..,..,8976,..,0,0,0,0,0,..,19,3,25,0,25,..,3,0,3,0,3,..,14,6,23,0,28,..,11,6,13,0,13,..,0,0,0,0,0,..,28,12,40,0,41,..,6,3,8,0,8,..,8,0,8,0,8,..,7,0,12,0,12,..,22,0,22,0,22,..,3,0,3,0,7,..,3,0,3,0,3,..,9,0,9,0,9,..,7,3,9,0,9,..,6,0,6,0,6,..,3,0,3,0,3,..,0,0,3,0,3,..,30,4,32,0,32,..,22,3,25,0,25,..,3,0,7,0,7,..,0,0,0
LGA14900,15,112,3,116,..,1912,89,2001,16,2016,..,2071,342,2413,26,2440,..,433,26,460,4,467,..,152,51,199,0,199,..,719,100,822,0,821,..,3470,1241,4707,22,4734,..,7074,1401,8476,151,8628,..,42806,8173,50977,558,51535,..,303,102,409,6525,6931,42886,43111,8276,51384,7078,101351,41627,..,..,..,..,41627,..,39,0,39,0,39,..,8667,2692,11358,126,11485,..,14,0,14,0,11,..,887,484,1371,9,1374,..,881,527,1406,7,1409,..,266,109,372,3,373,..,2027,1116,3146,19,3162,..,672,113,792,5,801,..,38,0,38,0,43,..,236,16,255,0,252,..,148,8,158,0,158,..,1303,213,1511,14,1524,..,400,45,449,3,448,..,3980,248,4236,46,4279,..,372,59,432,3,437,..,153,6,156,0,159,..,867,71,937,11,946,..,904,101,1000,8,1007,..,6675,530,7204,65,7273,..,1946,394,2342,29,2368,..,58,8,64,0,64,..,79,39,117
LGA14920,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,12,0,12,0,12,..,43,0,40,0,45,..,11,0,11,327,340,3488,57,0,56,329,3870,3422,..,..,..,..,3422,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,7,0,7,0,6,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,6,0,6,0,6,..,3,0,3,0,3,..,3,0,3,0,3,..,3,0,3
LGA14950,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,3,0,3,..,3,0,3,0,3,..,15,3,14,0,14,..,3,0,4,112,119,1408,15,3,22,112,1537,1411,..,..,..,..,1411,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,5,3,3,0,8,..,0,0,0,0,0,..,0,0,0,0,0,..,7,3,10,0,12,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0
LGA15050,0,7,0,7,..,93,0,93,0,93,..,62,4,63,0,63,..,19,0,19,0,19,..,12,5,19,0,19,..,4,0,4,0,4,..,27,6,38,0,38,..,287,64,353,6,356,..,1220,175,1392,20,1413,..,73,12,82,1845,1931,34388,1285,191,1475,1872,37736,36002,..,..,..,..,36002,..,62,0,66,0,66,..,45,9,52,3,52,..,4,0,4,0,4,..,52,31,84,0,84,..,66,37,99,0,99,..,0,4,4,0,4,..,120,70,189,0,189,..,7,0,4,3,5,..,15,0,15,0,15,..,43,0,43,0,43,..,73,3,73,0,76,..,20,0,24,0,24,..,21,3,23,0,23,..,48,3,51,0,51,..,58,10,69,0,69,..,9,0,10,0,10,..,25,0,31,0,31,..,33,6,32,0,32,..,199,17,214,0,214,..,38,6,44,0,47,..,14,0,14,0,14,..,14,7,18
LGA15240,0,5,0,5,..,54,3,57,0,57,..,38,6,45,0,45,..,3,0,4,0,4,..,15,4,19,4,21,..,3,0,3,0,3,..,13,0,13,0,13,..,169,26,201,11,214,..,959,94,1055,29,1081,..,120,4,128,2974,3098,39904,1084,99,1179,3002,44091,41746,..,..,..,..,41746,..,26,0,26,0,26,..,21,0,23,3,27,..,28,0,28,3,32,..,37,19,52,0,58,..,45,16,58,0,58,..,0,0,3,0,0,..,85,35,117,3,119,..,17,0,17,0,17,..,62,0,62,0,62,..,39,4,38,0,38,..,131,5,137,9,142,..,33,0,30,0,31,..,4,0,4,0,4,..,16,0,18,0,18,..,20,0,24,0,24,..,4,0,3,0,3,..,5,0,5,0,5,..,16,3,19,0,19,..,68,8,73,0,73,..,65,5,68,0,70,..,25,3,30,0,30,..,15,5,18
