LGA_CODE_2016,M_Emp_FullT_15_19,M_Emp_FullT_20_24,M_Emp_FullT_25_34,M_Emp_FullT_35_44,M_Emp_FullT_45_54,M_Emp_FullT_55_64,M_Emp_FullT_65_74,M_Emp_FullT_75_84,M_Emp_FullT_85ov,M_Emp_FullT_Tot,M_Emp_PartT_15_19,M_Emp_PartT_20_24,M_Emp_PartT_25_34,M_Emp_PartT_35_44,M_Emp_PartT_45_54,M_Emp_PartT_55_64,M_Emp_PartT_65_74,M_Emp_PartT_75_84,M_Emp_PartT_85ov,M_Emp_PartT_Tot,M_Emp_awy_f_wrk_15_19,M_Emp_awy_f_wrk_20_24,M_Emp_awy_f_wrk_25_34,M_Emp_awy_f_wrk_35_44,M_Emp_awy_f_wrk_45_54,M_Emp_awy_f_wrk_55_64,M_Emp_awy_f_wrk_65_74,M_Emp_awy_f_wrk_75_84,M_Emp_awy_f_wrk_85ov,M_Emp_awy_f_wrk_Tot,M_Hours_wkd_NS_15_19,M_Hours_wkd_NS_20_24,M_Hours_wkd_NS_25_34,M_Hours_wkd_NS_35_44,M_Hours_wkd_NS_45_54,M_Hours_wkd_NS_55_64,M_Hours_wkd_NS_65_74,M_Hours_wkd_NS_75_84,M_Hours_wkd_NS_85ov,M_Hours_wkd_NS_Tot,M_Tot_Emp_15_19,M_Tot_Emp_20_24,M_Tot_Emp_25_34,M_Tot_Emp_35_44,M_Tot_Emp_45_54,M_Tot_Emp_55_64,M_Tot_Emp_65_74,M_Tot_Emp_75_84,M_Tot_Emp_85ov,M_Tot_Emp_Tot,M_Unem_look_FTW_15_19,M_Unem_look_FTW_20_24,M_Unem_look_FTW_25_34,M_Unem_look_FTW_35_44,M_Unem_look_FTW_45_54,M_Unem_look_FTW_55_64,M_Unem_look_FTW_65_74,M_Unem_look_FTW_75_84,M_Unem_look_FTW_85ov,M_Unem_look_FTW_Tot,M_Unem_look_PTW_15_19,M_Unem_look_PTW_20_24,M_Unem_look_PTW_25_34,M_Unem_look_PTW_35_44,M_Unem_look_PTW_45_54,M_Unem_look_PTW_55_64,M_Unem_look_PTW_65_74,M_Unem_look_PTW_75_84,M_Unem_look_PTW_85ov,M_Unem_look_PTW_Tot,M_Tot_Unemp_15_19,M_Tot_Unemp_20_24,M_Tot_Unemp_25_34,M_Tot_Unemp_35_44,M_Tot_Unemp_45_54,M_Tot_Unemp_55_64,M_Tot_Unemp_65_74,M_Tot_Unemp_75_84,M_Tot_Unemp_85ov,M_Tot_Unemp_Tot,M_Tot_LF_15_19,M_Tot_LF_20_24,M_Tot_LF_25_34,M_Tot_LF_35_44,M_Tot_LF_45_54,M_Tot_LF_55_64,M_Tot_LF_65_74,M_Tot_LF_75_84,M_Tot_LF_85ov,M_Tot_LF_Tot,M_Not_in_LF_15_19,M_Not_in_LF_20_24,M_Not_in_LF_25_34,M_Not_in_LF_35_44,M_Not_in_LF_45_54,M_Not_in_LF_55_64,M_Not_in_LF_65_74,M_Not_in_LF_75_84,M_Not_in_LF_85ov,M_Not_in_LF_Tot,M_LFS_NS_15_19,M_LFS_NS_20_24,M_LFS_NS_25_34,M_LFS_NS_35_44,M_LFS_NS_45_54,M_LFS_NS_55_64,M_LFS_NS_65_74,M_LFS_NS_75_84,M_LFS_NS_85ov,M_LFS_NS_Tot,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Emp_FullT_15_19,F_Emp_FullT_20_24,F_Emp_FullT_25_34,F_Emp_FullT_35_44,F_Emp_FullT_45_54,F_Emp_FullT_55_64,F_Emp_FullT_65_74,F_Emp_FullT_75_84,F_Emp_FullT_85ov,F_Emp_FullT_Tot,F_Emp_PartT_15_19,F_Emp_PartT_20_24,F_Emp_PartT_25_34,F_Emp_PartT_35_44,F_Emp_PartT_45_54,F_Emp_PartT_55_64,F_Emp_PartT_65_74,F_Emp_PartT_75_84,F_Emp_PartT_85ov,F_Emp_PartT_Tot,F_Emp_awy_f_wrk_15_19,F_Emp_awy_f_wrk_20_24,F_Emp_awy_f_wrk_25_34,F_Emp_awy_f_wrk_35_44,F_Emp_awy_f_wrk_45_54,F_Emp_awy_f_wrk_55_64,F_Emp_awy_f_wrk_65_74,F_Emp_awy_f_wrk_75_84,F_Emp_awy_f_wrk_85ov,F_Emp_awy_f_wrk_Tot,F_Hours_wkd_NS_15_19,F_Hours_wkd_NS_20_24,F_Hours_wkd_NS_25_34,F_Hours_wkd_NS_35_44,F_Hours_wkd_NS_45_54,F_Hours_wkd_NS_55_64,F_Hours_wkd_NS_65_74,F_Hours_wkd_NS_75_84,F_Hours_wkd_NS_85ov,F_Hours_wkd_NS_Tot,F_Tot_Emp_15_19,F_Tot_Emp_20_24,F_Tot_Emp_25_34,F_Tot_Emp_35_44,F_Tot_Emp_45_54,F_Tot_Emp_55_64,F_Tot_Emp_65_74,F_Tot_Emp_75_84,F_Tot_Emp_85ov,F_Tot_Emp_Tot,F_Unem_look_FTW_15_19,F_Unem_look_FTW_20_24,F_Unem_look_FTW_25_34,F_Unem_look_FTW_35_44,F_Unem_look_FTW_45_54,F_Unem_look_FTW_55_64,F_Unem_look_FTW_65_74,F_Unem_look_FTW_75_84,F_Unem_look_FTW_85ov,F_Unem_look_FTW_Tot,F_Unem_look_PTW_15_19,F_Unem_look_PTW_20_24,F_Unem_look_PTW_25_34,F_Unem_look_PTW_35_44,F_Unem_look_PTW_45_54,F_Unem_look_PTW_55_64,F_Unem_look_PTW_65_74,F_Unem_look_PTW_75_84,F_Unem_look_PTW_85ov,F_Unem_look_PTW_Tot,F_Tot_Unemp_15_19,F_Tot_Unemp_20_24,F_Tot_Unemp_25_34,F_Tot_Unemp_35_44,F_Tot_Unemp_45_54,F_Tot_Unemp_55_64,F_Tot_Unemp_65_74,F_Tot_Unemp_75_84,F_Tot_Unemp_85ov,F_Tot_Unemp_Tot
LGA13450,183,440,1171,1062,1097,832,188,18,7,4996,196,111,136,113,124,155,127,35,4,1002,14,5,26,23,37,21,35,3,0,172,14,19,28,16,24,23,10,4,0,130,414,576,1363,1213,1282,1033,347,56,13,6302,17,36,61,50,47,24,3,0,0,240,25,18,15,15,8,18,5,0,0,100,45,51,73,63,63,41,4,0,0,337,455,629,1441,1277,1345,1070,357,54,9,6637,349,86,144,157,166,321,504,496,176,2400,69,83,172,127,146,158,113,108,62,1039,877,794,1755,1560,1655,1551,974,660,244,10081,86,299,636,442,659,399,60,4,0,2585,270,144,452,559,529,404,118,14,0,2494,21,16,64,39,21,31,20,4,0,215,17,15,26,15,19,20,13,0,0,117,390,472,1178,1052,1226,858,210,27,3,5419,16,31,36,21,24,7,0,0,0,134,30,19,29,12,12,13,0,0,0,118,43,47,63,35,35,24,0,0,0,249
LGA13510,65,139,286,329,419,359,86,30,0,1711,55,46,45,64,77,92,64,24,0,470,4,3,3,19,18,14,6,0,0,68,0,5,17,15,13,10,5,3,0,75,129,189,350,424,529,477,166,53,3,2318,7,14,22,22,23,22,0,0,0,101,5,6,8,4,3,5,0,0,0,34,17,20,26,26,27,27,0,0,0,134,144,207,378,448,555,503,166,55,3,2454,156,22,54,67,85,267,517,353,122,1650,15,16,32,42,56,55,55,49,14,335,320,245,463,554,691,826,743,454,137,4438,39,82,160,181,248,183,30,3,0,917,92,60,138,226,224,208,57,12,0,1012,5,5,21,13,15,16,10,0,0,90,3,3,4,11,3,7,7,6,0,44,143,148,318,429,492,411,100,20,3,2059,8,9,15,17,14,5,0,3,0,69,7,9,7,10,14,5,3,0,0,55,17,21,22,20,21,17,5,3,0,117
LGA13550,85,196,536,481,488,439,94,19,4,2340,85,33,50,44,72,90,59,11,3,453,4,9,21,17,12,13,7,3,0,82,3,7,8,7,12,14,6,3,3,75,181,241,622,557,590,562,163,42,4,2949,23,17,23,17,21,24,0,0,0,133,8,3,3,3,3,6,0,0,0,31,26,24,28,21,25,33,3,0,0,163,205,266,645,576,617,600,162,42,4,3114,142,39,51,58,81,166,373,288,93,1295,23,35,48,65,63,54,54,38,11,393,364,331,748,703,761,820,596,366,107,4799,24,102,244,236,265,212,38,7,0,1133,111,84,218,212,246,200,58,10,0,1138,9,13,31,20,19,13,3,3,0,118,3,0,14,7,12,12,0,3,0,48,144,204,504,475,539,435,103,18,8,2428,13,8,22,19,13,7,0,0,0,78,14,14,14,10,11,9,0,0,0,73,30,20,33,31,27,14,0,0,0,152
LGA13660,26,67,141,169,226,171,67,12,0,886,18,8,13,21,30,34,44,10,4,182,0,0,4,3,9,10,7,3,0,36,3,0,0,4,7,7,4,3,0,22,50,82,163,194,266,229,119,35,4,1129,0,7,4,4,0,10,0,0,0,30,3,3,0,0,4,3,0,0,0,20,5,12,4,6,3,15,0,0,0,48,55,90,168,202,266,244,119,34,4,1178,61,15,25,29,63,96,239,163,34,729,11,11,29,25,29,53,39,32,7,236,129,117,215,253,364,396,389,225,53,2143,10,37,51,73,137,90,35,9,0,433,26,25,75,96,108,75,34,8,0,442,0,0,15,5,9,11,3,3,0,51,0,0,0,4,0,4,4,0,0,18,34,60,136,180,255,185,78,20,3,947,3,4,7,9,11,3,0,0,0,36,9,5,3,3,0,3,0,0,0,30,7,5,10,11,13,8,0,0,0,64
LGA13800,557,1274,2840,2923,3388,2140,397,34,0,13559,486,424,353,345,383,451,335,62,3,2845,41,32,60,69,73,90,33,4,0,392,30,44,93,69,62,54,15,3,0,381,1114,1772,3346,3404,3901,2735,782,107,3,17178,66,100,106,55,68,66,6,0,0,474,93,37,22,11,16,22,7,0,0,208,161,132,127,72,83,92,17,0,0,689,1270,1912,3479,3482,3986,2827,802,109,3,17859,966,191,258,264,367,841,1707,1004,324,5925,123,117,227,213,293,222,203,99,43,1543,2356,2216,3969,3960,4647,3895,2714,1206,373,25325,217,836,1518,1568,2027,1186,155,25,0,7535,752,676,1142,1389,1502,1022,291,24,3,6803,31,45,176,99,85,81,32,5,0,558,22,50,49,38,45,35,6,12,0,254,1023,1612,2890,3096,3662,2323,489,56,4,15154,60,56,56,60,67,34,0,0,0,335,128,49,67,65,58,41,10,0,0,425,183,105,125,125,123,76,10,0,0,759
LGA13850,23,57,89,81,142,120,30,5,0,547,19,12,13,9,19,24,17,4,0,116,0,0,3,3,4,4,8,0,0,24,0,0,3,0,9,4,7,0,0,31,42,64,104,100,173,155,56,11,0,714,3,0,5,7,3,3,0,0,0,29,0,3,0,3,3,0,0,0,0,10,3,3,7,7,6,3,0,0,0,38,46,72,116,101,182,161,62,16,0,753,40,6,8,14,22,38,94,77,22,320,4,12,23,8,33,23,22,23,7,156,90,83,153,127,234,218,176,118,27,1220,5,24,39,39,87,52,6,8,0,260,23,18,39,65,64,56,11,5,0,281,3,0,3,3,6,9,3,0,0,30,0,0,6,0,0,4,0,0,0,11,39,42,80,101,155,123,27,7,0,578,3,0,3,0,0,0,0,0,0,5,0,3,7,5,4,0,0,0,0,17,4,3,10,5,4,5,0,0,0,22
LGA13910,107,232,507,644,707,564,199,36,9,2999,99,58,108,100,129,172,91,33,0,790,3,6,10,19,30,32,15,0,0,121,12,11,22,15,20,19,7,9,0,117,222,313,647,781,884,781,317,73,13,4027,24,24,32,43,29,34,3,0,0,187,15,7,10,4,3,10,3,0,0,54,38,36,41,51,34,39,3,0,0,244,258,347,685,832,913,822,318,73,13,4271,286,52,52,118,169,364,792,444,134,2421,29,25,50,51,79,94,102,67,36,535,565,426,794,1005,1166,1288,1212,591,178,7230,46,152,266,291,432,278,75,15,0,1549,160,112,228,376,411,340,108,16,4,1760,12,10,32,21,26,42,9,0,0,147,7,8,9,11,18,3,7,3,0,74,227,285,533,699,886,661,200,41,3,3533,8,18,19,25,18,12,0,0,0,101,22,13,17,18,13,14,0,0,0,95,33,26,38,48,30,22,0,0,0,201
LGA14000,350,1592,5065,7778,7672,4782,882,82,7,28218,1209,1472,906,824,893,1167,817,149,15,7445,79,61,101,113,135,128,65,15,3,698,40,68,123,109,109,73,26,8,0,565,1677,3196,6192,8825,8812,6150,1793,246,27,36924,60,127,192,210,254,191,28,3,3,1063,279,178,71,37,48,85,39,3,0,743,340,303,258,252,300,278,65,8,3,1804,2017,3499,6452,9075,9113,6433,1854,254,27,38727,2816,698,464,462,707,1658,3725,2729,1135,14394,109,121,291,357,307,247,225,231,220,2110,4942,4315,7208,9894,10117,8336,5807,3217,1389,55227,148,1260,3381,4055,4692,2764,384,19,6,16707,1614,1671,1686,3506,3607,2449,833,78,7,15442,97,87,396,335,157,167,71,3,0,1312,29,46,84,90,90,51,12,9,3,416,1883,3060,5546,7991,8548,5425,1303,108,11,33872,24,80,163,199,164,71,3,0,0,709,281,120,135,229,158,107,21,3,0,1058,307,204,306,427,317,183,22,8,0,1765
LGA14100,17,101,388,620,718,428,156,18,3,2445,98,128,51,41,62,111,130,28,4,654,20,14,6,13,14,12,14,0,0,90,12,6,8,3,17,3,0,5,0,53,139,248,454,680,802,555,301,52,14,3242,0,12,6,11,21,15,0,0,0,66,22,8,3,3,5,3,4,0,0,47,21,20,12,14,21,24,7,0,0,122,164,273,468,693,824,571,301,51,14,3360,622,67,39,52,82,155,349,299,224,1895,23,23,42,43,52,45,40,23,9,291,809,360,545,788,955,780,691,380,249,5549,5,84,316,362,439,264,46,3,0,1523,111,153,100,280,305,226,118,18,0,1307,6,6,24,34,13,26,9,3,0,128,3,3,8,11,7,8,6,0,0,40,122,238,449,680,767,517,182,27,3,2995,0,0,3,4,8,12,0,0,0,33,9,8,11,14,15,8,0,0,0,69,9,8,20,22,26,17,0,0,0,108
LGA14170,179,1896,11389,11042,8160,4241,819,57,8,37794,789,2003,2590,1489,1311,1230,653,100,5,10167,32,82,255,239,181,145,54,8,0,996,39,100,266,201,130,92,26,12,0,854,1035,4078,14514,12967,9776,5713,1546,171,20,49811,44,176,413,332,347,245,29,0,0,1591,183,277,206,81,89,108,46,12,0,1015,230,458,627,414,436,350,72,10,0,2605,1269,4532,15134,13380,10215,6066,1625,178,17,52415,2008,1105,1178,930,1282,2129,3749,2636,1043,16054,216,471,1570,1218,965,688,444,276,106,5949,3484,6107,17881,15531,12466,8879,5819,3087,1168,74421,130,2038,10210,7457,6283,3380,489,33,9,30019,937,2319,3759,4263,3085,2090,713,58,4,17222,60,118,663,610,212,159,52,3,0,1881,25,88,216,137,87,65,16,11,0,643,1142,4559,14839,12466,9664,5697,1279,102,15,49760,19,135,344,220,262,126,5,0,0,1113,211,232,247,215,208,162,21,3,0,1304,239,358,591,441,471,294,30,8,0,2420
LGA14200,84,204,464,490,555,458,127,28,3,2415,112,80,107,93,131,133,73,27,6,751,7,12,21,14,15,20,4,3,3,94,9,10,17,10,24,12,6,3,3,97,207,308,605,613,720,616,210,61,14,3353,24,29,45,42,33,29,0,0,0,206,11,11,15,15,9,16,0,0,0,74,38,40,61,54,43,39,3,0,0,283,244,351,665,668,765,661,211,61,14,3632,278,62,102,96,163,323,652,424,112,2212,49,30,70,64,70,94,100,61,16,546,574,444,838,824,995,1077,961,552,139,6398,35,107,241,263,397,270,51,13,4,1383,142,114,226,297,286,257,90,10,4,1431,11,11,29,22,25,20,0,3,0,136,6,10,4,22,14,10,11,12,3,93,197,242,503,598,730,562,157,37,12,3039,19,13,22,32,22,10,0,0,0,122,20,22,22,15,14,12,3,0,0,106,34,35,44,43,36,27,3,0,0,227
LGA14300,39,66,201,178,237,180,60,6,0,963,26,29,30,19,26,47,21,3,3,215,0,0,10,6,3,8,0,0,0,37,3,0,6,5,4,7,0,0,0,28,72,99,238,214,269,244,85,12,5,1240,5,9,6,17,3,5,0,0,0,51,0,5,0,0,3,4,0,0,0,7,7,16,6,17,9,9,0,0,0,57,75,117,246,226,277,253,89,12,5,1297,84,125,295,296,163,177,199,110,27,1474,18,21,18,31,29,48,31,14,9,221,179,259,562,554,474,473,310,139,40,2993,15,42,117,98,146,101,20,0,0,528,30,46,71,104,89,97,24,3,0,479,0,5,17,11,6,11,4,0,0,55,4,0,4,0,3,3,0,0,3,20,51,88,210,205,247,212,55,6,6,1076,3,9,3,10,5,3,0,0,0,32,8,0,5,0,3,3,0,0,0,24,10,10,14,11,6,7,0,0,0,55
LGA14350,76,233,540,646,780,620,153,21,3,3067,180,106,153,181,235,311,152,21,5,1337,19,19,32,27,36,57,22,4,0,216,17,13,37,32,33,31,17,8,0,181,292,379,754,890,1076,1021,338,46,8,4806,42,53,84,49,62,65,4,0,0,366,34,9,20,8,22,51,4,0,0,150,73,69,105,56,83,116,10,0,0,518,366,444,855,943,1164,1141,349,50,8,5321,431,223,413,361,507,982,1563,809,252,5551,67,44,100,114,159,211,184,130,61,1079,864,716,1377,1422,1833,2326,2096,991,324,11942,37,112,251,376,542,404,69,6,4,1804,238,162,345,460,582,541,129,14,3,2476,13,15,49,26,48,70,15,0,0,237,16,16,18,23,32,20,14,4,0,137,300,306,668,891,1197,1039,222,27,4,4660,31,26,46,40,36,18,0,0,0,199,20,17,31,31,32,34,3,0,0,176,52,39,75,73,68,48,5,0,0,368
LGA14400,92,257,644,829,924,705,99,12,3,3576,181,153,106,105,146,275,133,25,0,1134,9,11,17,29,43,48,14,3,0,173,6,4,10,16,17,12,3,3,0,73,285,431,782,974,1139,1039,248,45,3,4953,16,23,27,20,32,29,4,0,0,142,41,17,11,3,0,18,9,0,0,99,58,38,32,24,31,45,15,0,0,243,340,467,812,1000,1170,1089,262,46,3,5189,283,85,51,75,102,503,1029,588,201,2927,28,32,55,56,85,94,85,43,39,533,658,589,921,1131,1361,1685,1379,684,249,8649,19,148,343,341,519,392,48,4,0,1815,229,202,288,529,561,500,99,8,0,2417,8,16,67,50,39,56,9,0,0,248,7,7,3,8,14,9,7,0,0,64,268,372,702,926,1136,949,161,13,0,4534,7,8,21,10,17,11,0,0,0,76,33,8,19,23,19,12,0,0,0,120,38,17,42,35,35,22,0,0,0,196
LGA14500,145,923,3167,5554,6758,3866,903,101,11,21431,1006,1240,559,488,659,939,894,271,37,6083,47,72,74,81,88,95,69,18,3,549,20,53,57,69,92,56,13,8,0,380,1216,2283,3860,6191,7593,4957,1889,393,55,28441,26,84,129,139,251,137,32,0,0,798,258,158,40,35,46,65,33,4,0,650,283,242,170,178,295,206,68,10,0,1445,1497,2524,4031,6368,7885,5162,1956,404,55,29883,3094,687,355,319,519,1173,2798,2585,1276,12811,172,89,194,214,291,206,184,156,163,1669,4762,3304,4578,6899,8698,6548,4938,3143,1492,44363,91,853,2589,3044,3852,2059,364,15,0,12877,1360,1474,1016,2514,3104,1911,862,140,16,12398,72,78,222,216,109,110,60,13,3,884,19,41,55,65,67,41,20,12,0,323,1548,2448,3881,5845,7132,4121,1306,179,18,26485,10,48,86,121,117,52,5,0,0,438,202,123,77,160,169,75,16,0,0,819,208,170,161,283,280,133,18,3,3,1263
LGA14550,30,82,145,188,304,311,80,28,3,1171,43,26,42,65,95,117,57,11,5,458,0,3,3,18,8,23,11,0,0,65,3,3,4,5,11,10,0,4,0,46,78,112,202,281,411,461,150,43,10,1742,17,24,14,31,23,25,0,0,0,132,8,3,5,0,3,20,0,0,0,50,20,24,25,31,29,53,3,0,0,181,96,135,223,308,435,510,153,49,10,1924,131,36,51,82,153,322,442,212,65,1498,29,16,21,33,78,92,59,41,9,373,253,186,295,428,669,930,650,292,84,3790,9,32,70,109,177,161,35,11,0,603,68,43,92,111,213,217,50,8,0,801,4,0,10,13,11,18,0,0,0,55,5,0,4,4,8,3,3,3,0,31,78,72,177,243,407,401,89,16,4,1491,5,11,9,19,22,14,0,0,0,69,8,5,8,8,10,9,0,0,0,62,10,12,20,31,29,26,0,0,0,127
LGA14600,27,88,217,207,202,224,77,28,4,1066,11,16,31,23,34,40,29,14,3,189,0,0,5,5,10,12,3,0,0,42,3,4,15,6,3,13,3,3,0,52,41,115,262,240,245,282,114,42,8,1347,11,17,9,16,10,3,0,0,0,63,4,7,3,4,6,5,0,0,0,27,19,19,16,20,13,11,0,0,0,98,60,135,276,258,258,296,114,48,8,1447,70,21,34,29,43,92,172,153,51,667,15,22,33,33,42,47,52,37,12,290,148,179,341,325,340,436,334,232,66,2397,12,48,90,97,112,95,31,11,0,500,23,34,107,95,111,102,37,10,0,523,3,7,14,9,11,18,0,0,0,61,7,5,13,9,0,7,0,0,0,43,48,99,231,209,237,214,68,15,0,1119,6,8,4,9,15,3,0,0,0,53,5,3,13,5,6,0,0,0,0,31,9,13,23,14,16,6,0,0,0,79
LGA14650,831,2443,7031,7951,8317,5407,696,39,6,32717,1617,1314,1281,1054,1262,1517,804,116,8,8979,97,120,247,193,250,341,79,7,0,1336,52,90,155,152,152,89,33,13,3,744,2599,3968,8713,9349,9978,7353,1605,181,21,43772,300,465,463,405,430,376,26,0,0,2455,497,188,110,74,95,155,44,0,0,1151,797,650,566,476,520,526,69,3,0,3614,3398,4616,9282,9821,10499,7880,1670,185,21,47385,2761,789,931,1098,1680,4167,8361,5092,1822,26694,194,204,431,459,530,552,588,411,267,3647,6350,5610,10645,11380,12709,12605,10626,5692,2111,77721,377,1534,3767,3757,4798,3002,274,17,3,17525,2295,1921,3498,4835,4649,3458,777,56,9,21497,86,173,657,351,253,296,59,6,0,1892,52,79,108,102,101,89,29,19,0,579,2813,3715,8038,9050,9800,6842,1129,94,12,41490,201,222,239,202,205,90,9,0,0,1169,493,185,240,230,218,150,8,6,0,1521,697,407,479,433,417,240,13,3,0,2687
LGA14700,32,324,2278,2204,1672,1019,249,20,7,7808,199,358,300,219,203,235,224,50,10,1790,13,20,28,43,26,24,10,3,0,171,10,16,43,38,19,15,3,4,0,138,247,722,2656,2496,1918,1287,495,69,11,9905,3,17,64,72,75,30,5,0,0,265,56,43,19,23,8,18,16,0,0,179,56,66,85,88,80,48,20,0,0,441,305,784,2736,2584,1998,1336,512,71,11,10345,830,164,149,121,140,322,732,532,229,3237,34,44,204,152,101,75,59,28,19,711,1167,994,3090,2854,2249,1739,1303,631,265,14294,18,357,1847,1353,1111,667,124,6,0,5479,241,375,519,787,710,525,220,31,0,3414,14,25,139,116,32,33,26,3,0,382,5,15,39,23,9,9,9,0,0,109,273,768,2541,2279,1862,1239,376,47,0,9389,3,10,49,52,38,23,0,0,0,178,52,36,45,51,44,27,11,0,0,261,55,48,95,105,82,50,8,0,0,442
LGA14750,80,177,395,422,505,378,78,13,0,2044,60,26,46,44,63,69,46,18,0,368,10,11,11,6,12,29,3,0,0,89,5,7,23,6,16,12,3,4,0,75,159,219,467,483,594,487,132,33,3,2578,12,13,26,22,9,19,3,0,0,94,10,3,5,5,7,7,3,0,0,33,23,23,30,28,9,23,6,0,0,132,180,236,493,510,609,508,132,33,3,2704,247,33,52,43,77,141,330,259,72,1261,34,30,55,51,73,68,65,40,6,421,464,300,594,607,757,711,528,337,84,4388,27,114,192,203,281,211,35,5,0,1074,89,65,143,193,210,172,40,8,0,918,4,3,26,20,16,20,3,0,0,91,9,8,3,0,7,7,3,0,0,44,134,181,376,416,518,408,81,13,0,2131,12,8,9,11,14,7,0,0,0,58,19,11,16,12,4,8,0,0,0,72,26,21,26,24,18,11,0,0,0,132
LGA14850,148,410,1081,1314,1517,1248,241,45,4,6010,323,274,330,372,470,542,269,31,7,2613,13,18,28,29,46,60,30,5,0,235,16,28,35,37,36,23,5,11,0,188,504,730,1481,1743,2069,1866,546,92,13,9043,50,97,101,102,107,91,3,0,0,553,84,54,50,39,36,52,9,0,0,329,133,157,152,144,144,135,12,0,0,884,640,882,1632,1884,2215,2005,558,92,13,9922,652,215,297,320,528,1032,1462,821,336,5660,107,136,171,178,208,291,192,98,50,1424,1397,1227,2103,2377,2946,3330,2219,1013,398,17014,61,290,573,829,1165,850,114,7,0,3893,507,382,734,924,989,914,238,21,3,4721,23,32,84,60,60,80,23,3,0,362,15,14,25,30,33,17,16,5,3,154,608,718,1411,1841,2249,1861,396,43,6,9126,32,51,54,48,54,37,0,0,0,274,72,58,59,64,47,61,9,0,0,377,99,106,110,117,101,101,11,0,0,651
LGA14870,99,280,591,619,794,581,100,8,3,3084,115,72,105,99,116,179,81,18,3,789,11,6,22,23,28,45,12,0,0,140,8,7,30,12,18,14,3,0,3,97,232,367,752,750,952,821,197,31,7,4108,24,47,65,68,57,51,3,0,0,311,12,13,6,4,11,16,5,0,0,75,38,61,77,72,74,65,5,0,0,390,270,429,828,824,1018,880,204,38,10,4495,319,132,257,241,288,529,1060,534,158,3519,37,50,108,102,137,138,157,82,20,842,626,607,1193,1168,1449,1547,1426,650,190,8849,35,138,247,328,425,309,51,3,3,1544,166,121,317,367,443,366,96,9,0,1886,15,14,57,28,26,32,8,3,0,186,9,10,10,12,17,10,0,0,0,71,220,282,634,741,914,721,157,20,7,3692,24,14,27,32,22,16,0,0,0,140,12,14,37,21,29,14,3,0,0,124,39,34,59,49,55,29,3,0,0,266
LGA14900,735,2778,8664,9096,8292,4799,810,43,6,35220,1211,1539,1527,1459,1325,1047,396,55,3,8567,71,96,178,177,189,164,30,5,0,917,85,208,345,293,270,156,34,4,0,1400,2102,4628,10716,11025,10074,6165,1268,108,8,46103,191,441,605,485,355,274,16,0,0,2368,392,273,130,133,111,139,24,0,0,1204,582,716,739,618,468,410,39,3,0,3572,2691,5342,11453,11643,10540,6579,1307,111,8,49675,4617,1429,1762,1818,2148,2931,4392,2518,725,22349,437,558,1157,1018,912,699,479,267,85,5623,7740,7331,14376,14481,13598,10216,6177,2895,827,77640,306,2107,5439,4913,4935,2553,281,7,0,20547,1610,2011,2770,3643,2921,1636,375,24,0,14987,78,145,536,260,183,149,29,3,0,1379,73,140,213,179,157,89,23,9,0,889,2068,4402,8957,8994,8201,4426,711,45,5,37806,111,255,352,286,247,128,0,0,0,1388,474,250,315,328,261,165,14,0,0,1808,582,510,666,607,507,297,17,0,0,3194
LGA14920,23,78,241,257,292,270,85,19,3,1258,26,25,34,30,44,62,43,16,5,281,0,0,5,9,17,11,8,0,0,49,4,8,5,11,7,13,6,0,0,54,52,108,287,303,354,359,144,31,6,1644,18,12,17,17,14,24,0,0,0,100,3,3,5,3,0,7,0,0,0,25,19,16,18,17,15,33,0,0,0,123,72,129,305,325,369,392,145,32,6,1766,135,30,34,56,87,154,300,205,68,1063,11,21,35,29,40,58,47,31,3,274,210,173,376,404,493,603,494,267,78,3107,12,44,95,109,175,136,36,3,0,611,44,33,102,126,155,139,45,3,4,658,3,3,18,12,9,13,4,0,0,62,4,0,3,8,4,4,3,0,0,37,63,86,222,256,347,301,91,13,4,1369,5,12,10,12,9,8,0,0,0,58,8,7,9,19,4,11,0,0,0,58,6,17,22,35,13,23,0,0,0,114
LGA14950,23,34,82,104,147,121,52,7,0,567,7,3,5,11,22,25,18,3,0,106,0,0,0,0,4,3,0,0,0,15,0,0,0,0,0,4,4,0,0,9,31,43,91,119,173,154,69,18,0,701,8,6,0,3,4,5,0,0,0,25,0,0,3,0,0,3,0,0,0,9,4,6,3,4,4,9,0,0,0,35,38,47,93,127,178,163,69,18,0,730,59,8,14,15,19,73,110,84,38,414,12,5,7,10,17,18,13,16,9,98,107,57,114,151,216,259,193,117,46,1253,7,19,31,51,72,50,20,0,0,246,11,19,36,56,74,69,25,3,0,300,0,3,10,3,4,13,4,0,0,35,0,0,3,0,5,5,0,0,0,15,20,34,83,114,157,137,48,5,3,592,0,0,7,0,0,0,0,0,0,8,3,3,3,3,0,0,0,0,0,12,0,5,9,3,0,0,0,0,0,20
