LGA_CODE_2016,F_Mauritius_0_4,F_Mauritius_5_14,F_Mauritius_15_24,F_Mauritius_25_44,F_Mauritius_45_54,F_Mauritius_55_64,F_Mauritius_65_74,F_Mauritius_75_84,F_Mauritius_85ov,F_Mauritius_Tot,F_Myanmar_0_4,F_Myanmar_5_14,F_Myanmar_15_24,F_Myanmar_25_44,F_Myanmar_45_54,F_Myanmar_55_64,F_Myanmar_65_74,F_Myanmar_75_84,F_Myanmar_85ov,F_Myanmar_Tot,F_Nepal_0_4,F_Nepal_5_14,F_Nepal_15_24,F_Nepal_25_44,F_Nepal_45_54,F_Nepal_55_64,F_Nepal_65_74,F_Nepal_75_84,F_Nepal_85ov,F_Nepal_Tot,F_Netherlands_0_4,F_Netherlands_5_14,F_Netherlands_15_24,F_Netherlands_25_44,F_Netherlands_45_54,F_Netherlands_55_64,F_Netherlands_65_74,F_Netherlands_75_84,F_Netherlands_85ov,F_Netherlands_Tot,F_New_Zealand_0_4,F_New_Zealand_5_14,F_New_Zealand_15_24,F_New_Zealand_25_44,F_New_Zealand_45_54,F_New_Zealand_55_64,F_New_Zealand_65_74,F_New_Zealand_75_84,F_New_Zealand_85ov,F_New_Zealand_Tot,F_Nthern_Ireland_0_4,F_Nthern_Ireland_5_14,F_Nthern_Ireland_15_24,F_Nthern_Ireland_25_44,F_Nthern_Ireland_45_54,F_Nthern_Ireland_55_64,F_Nthern_Ireland_65_74,F_Nthern_Ireland_75_84,F_Nthern_Ireland_85ov,F_Nthern_Ireland_Tot,F_Pakistan_0_4,F_Pakistan_5_14,F_Pakistan_15_24,F_Pakistan_25_44,F_Pakistan_45_54,F_Pakistan_55_64,F_Pakistan_65_74,F_Pakistan_75_84,F_Pakistan_85ov,F_Pakistan_Tot,F_PNG_0_4,F_PNG_5_14,F_PNG_15_24,F_PNG_25_44,F_PNG_45_54,F_PNG_55_64,F_PNG_65_74,F_PNG_75_84,F_PNG_85ov,F_PNG_Tot,F_Philippines_0_4,F_Philippines_5_14,F_Philippines_15_24,F_Philippines_25_44,F_Philippines_45_54,F_Philippines_55_64,F_Philippines_65_74,F_Philippines_75_84,F_Philippines_85ov,F_Philippines_Tot,F_Poland_0_4,F_Poland_5_14,F_Poland_15_24,F_Poland_25_44,F_Poland_45_54,F_Poland_55_64,F_Poland_65_74,F_Poland_75_84,F_Poland_85ov,F_Poland_Tot,F_Scotland_0_4,F_Scotland_5_14,F_Scotland_15_24,F_Scotland_25_44,F_Scotland_45_54,F_Scotland_55_64,F_Scotland_65_74,F_Scotland_75_84,F_Scotland_85ov,F_Scotland_Tot,F_Singapore_0_4,F_Singapore_5_14,F_Singapore_15_24,F_Singapore_25_44,F_Singapore_45_54,F_Singapore_55_64,F_Singapore_65_74,F_Singapore_75_84,F_Singapore_85ov,F_Singapore_Tot,F_South_Africa_0_4,F_South_Africa_5_14,F_South_Africa_15_24,F_South_Africa_25_44,F_South_Africa_45_54,F_South_Africa_55_64,F_South_Africa_65_74,F_South_Africa_75_84,F_South_Africa_85ov,F_South_Africa_Tot,F_SE_Europe_nfd_0_4,F_SE_Europe_nfd_5_14,F_SE_Europe_nfd_15_24,F_SE_Europe_nfd_25_44,F_SE_Europe_nfd_45_54,F_SE_Europe_nfd_55_64,F_SE_Europe_nfd_65_74,F_SE_Europe_nfd_75_84,F_SE_Europe_nfd_85ov,F_SE_Europe_nfd_Tot,F_Sri_Lanka_0_4,F_Sri_Lanka_5_14,F_Sri_Lanka_15_24,F_Sri_Lanka_25_44,F_Sri_Lanka_45_54,F_Sri_Lanka_55_64,F_Sri_Lanka_65_74,F_Sri_Lanka_75_84,F_Sri_Lanka_85ov,F_Sri_Lanka_Tot,F_Taiwan_0_4,F_Taiwan_5_14,F_Taiwan_15_24,F_Taiwan_25_44,F_Taiwan_45_54,F_Taiwan_55_64,F_Taiwan_65_74,F_Taiwan_75_84,F_Taiwan_85ov,F_Taiwan_Tot,F_Thailand_0_4,F_Thailand_5_14,F_Thailand_15_24,F_Thailand_25_44,F_Thailand_45_54,F_Thailand_55_64,F_Thailand_65_74,F_Thailand_75_84,F_Thailand_85ov,F_Thailand_Tot,F_FYROM_0_4,F_FYROM_5_14,F_FYROM_15_24,F_FYROM_25_44,F_FYROM_45_54,F_FYROM_55_64,F_FYROM_65_74,F_FYROM_75_84,F_FYROM_85ov,F_FYROM_Tot,F_Turkey_0_4,F_Turkey_5_14,F_Turkey_15_24,F_Turkey_25_44,F_Turkey_45_54,F_Turkey_55_64,F_Turkey_65_74,F_Turkey_75_84,F_Turkey_85ov,F_Turkey_Tot,F_USA_0_4,F_USA_5_14,F_USA_15_24,F_USA_25_44,F_USA_45_54,F_USA_55_64,F_USA_65_74,F_USA_75_84,F_USA_85ov,F_USA_Tot
LGA16490,0,0,0,6,0,0,0,0,0,10,0,0,0,8,0,3,4,0,0,15,0,4,16,47,0,0,0,0,0,69,0,0,0,3,12,11,18,4,3,58,0,10,27,119,81,77,32,9,0,362,0,0,4,6,4,0,3,0,0,14,0,0,3,24,3,3,0,0,0,36,0,0,0,14,18,3,0,0,0,34,0,32,27,108,51,54,9,7,0,289,0,0,0,10,3,18,13,3,12,57,0,5,0,14,19,32,22,10,7,108,0,3,0,3,9,8,0,0,0,27,0,4,19,34,29,11,0,3,0,102,0,0,0,5,10,5,18,10,3,51,0,3,5,23,10,9,3,0,0,52,0,0,0,5,0,3,0,0,0,14,0,7,3,35,10,6,3,0,0,61,0,3,16,55,54,63,30,20,10,245,0,0,0,3,6,0,0,0,0,11,3,20,11,50,30,24,16,4,0,146
LGA16550,0,0,0,23,10,17,9,0,0,57,0,0,30,9,0,3,0,4,0,52,0,5,11,50,3,0,0,0,0,69,3,10,18,52,9,7,15,19,12,149,6,41,93,573,228,202,116,37,8,1312,0,0,16,65,16,9,22,7,3,136,0,3,9,31,8,3,3,0,0,54,0,3,0,18,22,16,8,4,3,77,0,23,62,346,122,106,53,25,4,740,0,5,4,125,29,60,43,19,36,321,4,3,26,158,56,59,36,36,11,385,11,20,122,120,32,42,26,13,9,385,0,29,74,338,199,83,79,43,22,882,0,0,0,14,13,19,16,10,4,71,0,0,36,61,15,17,17,5,3,154,3,6,41,115,30,32,13,3,0,239,4,14,63,209,72,46,15,3,4,435,0,0,0,6,3,3,0,0,0,13,0,0,3,22,27,20,11,3,0,79,8,49,67,295,87,39,19,5,3,581
LGA16610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,5,3,0,24,0,8,5,27,18,32,19,5,4,122,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,7,0,0,0,11,0,5,9,34,25,16,3,3,0,97,0,0,0,3,0,0,0,0,0,5,0,0,0,0,3,7,15,3,3,30,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,8,0,8,0,0,0,20
LGA16650,0,0,0,18,4,5,5,10,3,49,0,0,0,11,3,6,7,0,0,32,5,41,415,1140,28,19,3,0,0,1658,0,0,0,19,7,3,14,8,4,47,11,53,100,300,147,132,48,13,3,810,0,0,0,7,6,0,3,4,0,24,0,10,10,51,9,6,0,0,0,84,0,0,4,17,4,10,0,0,0,31,11,37,87,562,211,182,79,27,4,1209,0,4,7,82,10,21,6,12,6,143,0,0,0,30,22,22,27,11,14,126,0,5,24,51,15,22,12,0,0,126,0,4,16,55,28,18,21,4,4,150,0,0,0,13,17,40,24,16,7,123,0,0,3,27,9,6,3,0,0,51,0,0,18,101,25,18,8,0,0,164,3,4,42,371,57,43,14,3,0,541,3,18,28,204,238,343,313,197,58,1409,0,3,3,54,37,26,29,8,3,160,5,19,26,37,15,9,3,3,0,123
LGA16700,0,0,15,14,9,4,11,3,4,60,0,0,23,38,15,14,10,4,0,106,3,0,34,158,10,0,0,0,0,207,0,0,0,10,8,8,19,15,7,72,9,44,77,215,135,112,69,22,11,698,0,0,0,7,3,3,3,4,3,19,11,18,11,102,10,9,3,0,0,160,0,0,0,12,17,8,7,7,3,54,9,70,67,614,182,165,68,17,15,1202,0,0,0,56,23,36,17,8,9,150,0,3,7,31,16,33,29,23,12,153,17,21,28,103,36,43,26,8,4,294,5,7,29,108,53,39,33,19,5,289,0,0,0,11,14,22,17,12,4,68,3,17,28,179,83,74,51,39,11,492,5,3,47,230,50,37,15,6,0,377,3,5,38,239,44,26,12,4,6,373,0,0,3,8,9,18,12,8,0,62,0,0,0,37,11,19,11,6,3,88,10,27,46,91,24,17,17,6,0,236
LGA16900,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,3,7,0,33,45,39,23,147,3,18,20,95,62,61,33,8,6,302,0,0,0,0,3,11,3,6,0,28,0,3,3,11,4,0,3,0,0,21,0,0,0,4,5,0,0,0,0,15,0,10,23,70,45,58,24,3,4,224,0,0,0,11,8,19,17,5,3,63,0,0,0,13,60,89,47,51,21,281,0,3,4,7,0,5,0,0,0,27,0,14,19,31,16,13,14,3,5,107,0,0,0,0,14,19,16,15,4,61,0,0,4,6,4,3,0,0,0,15,0,0,0,8,0,0,0,0,0,9,0,6,10,45,18,3,4,0,0,90,0,3,0,39,82,134,89,40,14,396,0,0,0,25,26,10,11,5,3,79,0,0,8,20,17,9,4,0,0,61
LGA16950,0,0,0,0,3,3,7,3,0,17,0,0,0,3,0,0,0,0,0,8,0,0,3,9,3,0,0,0,0,19,0,0,0,8,11,40,79,53,22,208,3,29,17,136,111,140,113,39,10,596,0,0,0,5,8,7,27,4,3,52,0,3,0,3,0,3,0,0,0,7,0,0,0,7,8,8,4,5,0,35,3,14,19,80,67,67,30,4,0,286,0,0,0,13,4,14,12,10,3,58,0,4,3,13,36,65,82,61,20,284,0,0,0,3,6,3,8,4,0,25,0,5,4,29,18,21,36,10,0,128,0,0,0,0,3,16,3,9,0,31,0,4,0,6,5,3,5,0,0,26,0,0,0,3,0,0,0,0,0,3,4,8,3,44,23,11,8,0,0,95,0,0,0,3,0,8,9,0,0,13,0,0,0,0,0,0,3,0,0,3,6,11,14,48,20,27,31,6,0,155
LGA17000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,0,3,22,0,13,19,62,63,33,20,5,0,221,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,4,3,0,0,0,0,6,0,5,4,37,13,14,5,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,7,5,3,0,27,0,0,0,3,0,0,0,0,0,8,0,8,9,25,20,0,3,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,11,0,0,0,11,0,0,0,0,0,14,0,0,0,11,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,10,5,0,4,0,0,28
LGA17040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,11,17,8,3,47,0,6,3,32,35,26,19,5,0,134,0,0,0,0,0,3,4,0,0,8,0,3,0,0,0,0,0,0,0,3,0,0,0,6,8,0,0,0,0,10,0,0,0,9,4,10,4,0,0,26,0,0,0,8,0,8,0,0,3,18,0,0,0,6,4,7,18,3,3,45,0,0,0,0,3,4,0,0,0,5,0,0,5,6,4,4,0,0,0,25,0,0,0,0,0,0,0,3,0,8,0,0,0,4,4,0,0,0,0,8,0,0,11,23,0,0,0,0,0,36,0,0,0,18,7,4,3,0,0,32,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,8,0,0,3,14,5,12,3,0,0,37
LGA17080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,15,0,4,12,30,18,18,11,3,0,89,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,3,15,6,9,0,0,0,32,0,0,0,0,0,0,0,0,0,8,0,0,0,4,0,7,9,3,0,31,0,0,0,0,0,3,0,0,0,3,0,9,14,20,11,3,0,0,0,49,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,20,0,0,0,0,0,24,0,0,0,8,3,0,3,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,13
