LGA_CODE_2016,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
LGA17400,53,1079,454,180,1015,0.7,767,2.1
LGA17420,38,2500,827,562,2464,0.8,2363,3.2
LGA17550,47,1733,539,340,1332,0.8,1064,2.4
LGA17620,41,1688,630,220,1589,0.8,1242,2.4
LGA17640,48,1400,609,190,1498,0.7,1161,2.4
LGA17650,46,1346,552,190,1342,0.8,1058,2.4
LGA17750,35,1517,696,265,1682,0.8,1354,2.5
LGA17850,48,1083,577,148,1329,0.7,1054,2.3
LGA17900,43,750,464,145,1039,0.9,806,2.3
LGA17950,43,899,649,144,1468,0.7,1104,2.4
LGA18020,49,923,479,160,1103,0.7,878,2.3
LGA18050,35,3000,1151,622,2917,1,2308,2.4
LGA18100,51,910,492,135,1193,0.7,904,2.2
LGA18200,44,1200,555,160,1308,0.8,1052,2.4
LGA18230,37,1500,660,250,1525,0.8,1272,2.5
LGA18250,37,2877,946,580,2671,1,2271,2.7
LGA18350,47,1842,645,350,1639,0.7,1335,2.4
LGA18400,37,2167,738,365,2032,0.8,1871,3
LGA18450,39,1950,584,320,1710,0.9,1339,2.6
LGA18500,39,3200,1365,650,3626,0.9,2687,2.3
LGA18710,42,2000,869,300,2214,0.8,1879,2.7
LGA19399,41,1083,717,110,1427,0.8,1270,2.5
LGA19499,39,0,405,0,0,0,0,0
LGA19799,58,0,540,0,0,0,0,0
