LGA_CODE_2016,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
LGA18200,119,16,135,932,452,24,1414,3385,720,5519
LGA18230,887,176,1081,7734,3108,371,11208,23879,4613,39702
LGA18250,1496,203,1731,14362,3159,331,17847,38536,3516,59899
LGA18350,1139,274,1428,7146,3120,323,10591,25495,3390,39473
LGA18400,480,156,652,8870,3269,339,12476,22555,2805,37840
LGA18450,4408,769,5253,32352,14564,1477,48393,107426,11254,167073
LGA18500,1280,285,1599,8181,3118,188,11488,29555,4721,45764
LGA18710,185,110,296,2786,1102,121,4007,7542,1192,12744
LGA19399,16,3,22,158,50,9,216,544,112,869
LGA19499,49,28,78,847,475,45,1373,6811,3361,11545
LGA19799,6,0,10,39,37,0,79,226,76,374
