LGA_CODE_2016,MSEO_SEO,MSEO_SOLSE_VWorW,MSEO_SOLSE_NWorNAA,MSEO_SOLSE_Tot,MSEO_NS,MSEO_Tot,MOL_Afrikaans_SEO,MOL_Afrikaans_SOLSE_VWorW,MOL_Afrikaans_SOLSE_NWorNAA,MOL_Afrikaans_SOLSE_Tot,MOL_Afrikaans_NS,MOL_Afrikaans_Tot,MOL_Arabic_SEO,MOL_Arabic_SOLSE_VWorW,MOL_Arabic_SOLSE_NWorNAA,MOL_Arabic_SOLSE_Tot,MOL_Arabic_NS,MOL_Arabic_Tot,MOL_AIndLng_SEO,MOL_AIndLng_SOLSE_VWorW,MOL_AIndLng_SOLSE_NWorNAA,MOL_AIndLng_SOLSE_Tot,MOL_AIndLng_NS,MOL_AIndLng_Tot,MOL_CL_Canton_SEO,MOL_CL_Canton_SOLSE_VWorW,MOL_CL_Canton_SOLSE_NWorNAA,MOL_CL_Canton_SOLSE_Tot,MOL_CL_Canton_NS,MOL_CL_Canton_Tot,MOL_CL_Mandarin_SEO,MOL_CL_Mandarin_SOLSE_VWorW,MOL_CL_Mandarin_SOLSE_NWorNAA,MOL_CL_Mandarin_SOLSE_Tot,MOL_CL_Mandarin_NS,MOL_CL_Mandarin_Tot,MOL_CL_Oth_SEO,MOL_CL_Oth_SOLSE_VWorW,MOL_CL_Oth_SOLSE_NWorNAA,MOL_CL_Oth_SOLSE_Tot,MOL_CL_Oth_NS,MOL_CL_Oth_Tot,MOL_CL_Tot_SEO,MOL_CL_Tot_SOLSE_VWorW,MOL_CL_Tot_SOLSE_NWorNAA,MOL_CL_Tot_SOLSE_Tot,MOL_CL_Tot_NS,MOL_CL_Tot_Tot,MOL_Croatian_SEO,MOL_Croatian_SOLSE_VWorW,MOL_Croatian_SOLSE_NWorNAA,MOL_Croatian_SOLSE_Tot,MOL_Croatian_NS,MOL_Croatian_Tot,MOL_Dutch_SEO,MOL_Dutch_SOLSE_VWorW,MOL_Dutch_SOLSE_NWorNAA,MOL_Dutch_SOLSE_Tot,MOL_Dutch_NS,MOL_Dutch_Tot,MOL_French_SEO,MOL_French_SOLSE_VWorW,MOL_French_SOLSE_NWorNAA,MOL_French_SOLSE_Tot,MOL_French_NS,MOL_French_Tot,MOL_German_SEO,MOL_German_SOLSE_VWorW,MOL_German_SOLSE_NWorNAA,MOL_German_SOLSE_Tot,MOL_German_NS,MOL_German_Tot,MOL_Greek_SEO,MOL_Greek_SOLSE_VWorW,MOL_Greek_SOLSE_NWorNAA,MOL_Greek_SOLSE_Tot,MOL_Greek_NS,MOL_Greek_Tot,MOL_IAL_Bengali_SEO,MOL_IAL_Bengali_SOLSE_VWorW,MOL_IAL_Bengali_SOLSE_NWorNAA,MOL_IAL_Bengali_SOLSE_Tot,MOL_IAL_Bengali_NS,MOL_IAL_Bengali_Tot,MOL_IAL_Hindi_SEO,MOL_IAL_Hindi_SOLSE_VWorW,MOL_IAL_Hindi_SOLSE_NWorNAA,MOL_IAL_Hindi_SOLSE_Tot,MOL_IAL_Hindi_NS,MOL_IAL_Hindi_Tot,MOL_IAL_Punjabi_SEO,MOL_IAL_Punjabi_SOLSE_VWorW,MOL_IAL_Punjabi_SOLSE_NWorNAA,MOL_IAL_Punjabi_SOLSE_Tot,MOL_IAL_Punjabi_NS,MOL_IAL_Punjabi_Tot,MOL_IAL_Sinhal_SEO,MOL_IAL_Sinhal_SOLSE_VWorW,MOL_IAL_Sinhal_SOLSE_NWorNAA,MOL_IAL_Sinhal_SOLSE_Tot,MOL_IAL_Sinhal_NS,MOL_IAL_Sinhal_Tot,MOL_IAL_Urdu_SEO,MOL_IAL_Urdu_SOLSE_VWorW,MOL_IAL_Urdu_SOLSE_NWorNAA,MOL_IAL_Urdu_SOLSE_Tot,MOL_IAL_Urdu_NS,MOL_IAL_Urdu_Tot,MOL_IAL_Oth_SEO,MOL_IAL_Oth_SOLSE_VWorW,MOL_IAL_Oth_SOLSE_NWorNAA,MOL_IAL_Oth_SOLSE_Tot,MOL_IAL_Oth_NS,MOL_IAL_Oth_Tot,MOL_IAL_Tot_SEO,MOL_IAL_Tot_SOLSE_VWorW,MOL_IAL_Tot_SOLSE_NWorNAA,MOL_IAL_Tot_SOLSE_Tot,MOL_IAL_Tot_NS,MOL_IAL_Tot_Tot,MOL_Italian_SEO,MOL_Italian_SOLSE_VWorW,MOL_Italian_SOLSE_NWorNAA,MOL_Italian_SOLSE_Tot,MOL_Italian_NS,MOL_Italian_Tot,MOL_Japan_SEO,MOL_Japan_SOLSE_VWorW,MOL_Japan_SOLSE_NWorNAA,MOL_Japan_SOLSE_Tot,MOL_Japan_NS,MOL_Japan_Tot,MOL_Korean_SEO,MOL_Korean_SOLSE_VWorW,MOL_Korean_SOLSE_NWorNAA,MOL_Korean_SOLSE_Tot,MOL_Korean_NS,MOL_Korean_Tot,MOL_Macedon_SEO,MOL_Macedon_SOLSE_VWorW,MOL_Macedon_SOLSE_NWorNAA,MOL_Macedon_SOLSE_Tot,MOL_Macedon_NS,MOL_Macedon_Tot,MOL_Maltese_SEO,MOL_Maltese_SOLSE_VWorW,MOL_Maltese_SOLSE_NWorNAA,MOL_Maltese_SOLSE_Tot,MOL_Maltese_NS,MOL_Maltese_Tot,MOL_Persian_ED_SEO,MOL_Persian_ED_SOLSE_VWorW,MOL_Persian_ED_SOLSE_NWorNAA,MOL_Persian_ED_SOLSE_Tot,MOL_Persian_ED_NS,MOL_Persian_ED_Tot,MOL_Polish_SEO,MOL_Polish_SOLSE_VWorW,MOL_Polish_SOLSE_NWorNAA,MOL_Polish_SOLSE_Tot,MOL_Polish_NS,MOL_Polish_Tot,MOL_Russian_SEO,MOL_Russian_SOLSE_VWorW,MOL_Russian_SOLSE_NWorNAA,MOL_Russian_SOLSE_Tot,MOL_Russian_NS,MOL_Russian_Tot,MOL_Samoan_SEO,MOL_Samoan_SOLSE_VWorW,MOL_Samoan_SOLSE_NWorNAA,MOL_Samoan_SOLSE_Tot,MOL_Samoan_NS,MOL_Samoan_Tot,MOL_Serbian_SEO,MOL_Serbian_SOLSE_VWorW,MOL_Serbian_SOLSE_NWorNAA,MOL_Serbian_SOLSE_Tot,MOL_Serbian_NS,MOL_Serbian_Tot,MOL_SAL_Filipin_SEO,MOL_SAL_Filipin_SOLSE_VWorW,MOL_SAL_Filipin_SOLSE_NWorNAA,MOL_SAL_Filipin_SOLSE_Tot,MOL_SAL_Filipin_NS,MOL_SAL_Filipin_Tot,MOL_SAL_Indon_SEO,MOL_SAL_Indon_SOLSE_VWorW,MOL_SAL_Indon_SOLSE_NWorNAA,MOL_SAL_Indon_SOLSE_Tot,MOL_SAL_Indon_NS,MOL_SAL_Indon_Tot,MOL_SAL_Tagalog_SEO,MOL_SAL_Tagalog_SOLSE_VWorW,MOL_SAL_Tagalog_SOLSE_NWorNAA,MOL_SAL_Tagalog_SOLSE_Tot,MOL_SAL_Tagalog_NS,MOL_SAL_Tagalog_Tot,MOL_SAL_Oth_SEO,MOL_SAL_Oth_SOLSE_VWorW
LGA15700,8483,..,..,..,..,8483,..,0,0,0,0,0,..,7,0,7,0,7,..,17,0,20,0,20,..,3,0,3,0,3,..,6,0,6,0,6,..,0,0,0,0,0,..,9,0,6,0,6,..,0,0,4,0,4,..,8,0,8,0,8,..,16,0,18,0,18,..,11,0,11,0,11,..,0,0,0,0,0,..,3,0,3,0,3,..,4,0,4,0,4,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,16,0,16,0,16,..,11,4,8,0,8,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,3,0,3,0,3,..,3,0,3,0,3,..,0
LGA15750,5711,..,..,..,..,5711,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,3,0,3,..,6,3,10,0,10,..,7,0,8,0,4,..,0,0,0,0,0,..,12,9,21,0,17,..,0,0,0,0,0,..,0,0,0,0,0,..,7,0,7,0,7,..,4,0,3,0,3,..,0,0,0,0,0,..,3,0,5,0,5,..,5,0,4,0,4,..,0,0,0,0,0,..,6,0,6,0,6,..,0,0,0,0,0,..,4,0,10,0,10,..,24,4,25,0,25,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,5,0,5,0,5,..,0
LGA15800,2518,..,..,..,..,2518,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,3,0,3,..,3,0,6,0,6,..,0,0,0,0,0,..,3,4,4,0,4,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,3,0,3,..,7,0,7,0,7,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,3,0,3,0,3,..,8,0,8,0,8,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,0
LGA15850,2879,..,..,..,..,2879,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,3,0,3,..,3,0,3,0,3,..,0,0,0,0,0,..,7,0,6,0,6,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,5,0,5,..,6,0,9,0,9,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0
LGA15900,65165,..,..,..,..,65165,..,50,0,50,0,57,..,280,106,381,3,381,..,21,0,19,4,19,..,226,65,289,0,293,..,702,180,880,3,886,..,74,37,111,0,111,..,1004,280,1280,3,1288,..,91,15,101,0,101,..,50,0,50,0,50,..,143,10,152,0,153,..,156,5,158,8,167,..,318,37,356,3,355,..,100,4,105,0,105,..,144,8,154,3,153,..,108,5,118,0,118,..,64,9,70,0,70,..,158,13,166,0,172,..,124,9,134,0,134,..,705,45,745,8,753,..,333,42,375,6,381,..,61,9,68,0,68,..,140,58,203,0,202,..,494,75,563,3,568,..,12,0,12,0,12,..,123,15,137,0,137,..,106,5,109,0,115,..,38,0,37,0,37,..,66,3,69,0,69,..,104,17,121,0,121,..,66,0,67,0,66,..,63,0,64,0,64,..,91,0,91,0,91,..,49
LGA15950,22717,..,..,..,..,22717,..,84,0,84,0,84,..,99,10,106,0,106,..,3,0,3,0,3,..,627,78,709,0,711,..,778,161,936,0,941,..,41,7,45,0,45,..,1447,244,1688,7,1696,..,36,0,36,0,36,..,61,3,60,0,60,..,342,11,352,3,361,..,221,6,229,0,229,..,88,9,96,0,95,..,63,0,62,0,62,..,274,9,278,0,278,..,30,0,35,0,31,..,35,0,34,0,34,..,43,0,44,0,45,..,255,3,260,0,260,..,703,15,717,5,721,..,241,17,250,0,250,..,413,91,504,3,510,..,122,28,156,0,153,..,25,0,25,0,29,..,5,0,5,0,5,..,146,6,152,3,155,..,101,6,105,0,105,..,144,19,160,0,166,..,3,0,3,0,3,..,42,4,47,0,47,..,65,0,65,0,65,..,61,3,64,0,64,..,103,0,104,0,103,..,11
LGA15990,99645,..,..,..,..,99645,..,253,5,261,0,263,..,223,17,242,3,248,..,9,0,9,0,9,..,643,158,802,4,811,..,1100,330,1435,11,1442,..,46,22,72,0,71,..,1795,513,2306,14,2323,..,302,27,333,4,338,..,413,18,428,7,440,..,1042,39,1081,4,1082,..,1008,13,1024,5,1030,..,409,29,435,5,442,..,68,0,72,3,74,..,250,7,252,0,258,..,312,25,340,0,337,..,31,0,29,0,29,..,52,0,48,0,48,..,372,18,387,3,390,..,1081,52,1131,8,1136,..,1488,145,1639,19,1656,..,387,58,440,8,451,..,266,105,370,9,378,..,63,8,64,0,64,..,13,0,13,0,13,..,287,27,305,4,312,..,178,13,194,0,194,..,218,29,255,0,255,..,39,0,39,0,39,..,471,87,554,0,554,..,134,6,140,0,142,..,184,21,200,3,206,..,305,10,317,3,319,..,34
LGA16100,2262,..,..,..,..,2262,..,4,0,4,0,4,..,4,0,4,0,4,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,9,0,9,0,10,..,3,0,3,0,3,..,0,0,0,0,0,..,3,0,3,0,3,..,5,0,5,0,5,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,8,0,8,0,8,..,5,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,3,0,3,..,0,0,0,0,0,..,3,0,4,0,4,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,7,0,7,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0
LGA16150,17181,..,..,..,..,17181,..,31,0,31,0,31,..,50,3,50,0,50,..,10,0,10,0,10,..,36,20,54,0,54,..,54,16,65,0,65,..,3,0,4,0,4,..,85,31,119,0,119,..,17,0,19,3,21,..,10,0,10,0,10,..,17,0,17,0,17,..,28,0,30,0,30,..,31,4,31,0,35,..,8,0,8,0,8,..,29,3,33,0,33,..,24,8,34,0,34,..,3,0,3,0,3,..,15,0,15,0,15,..,58,7,63,0,63,..,143,15,163,0,163,..,57,8,63,0,63,..,3,0,3,0,3,..,18,14,30,0,30,..,0,0,0,0,0,..,3,0,3,0,3,..,13,0,13,0,16,..,7,0,7,0,7,..,36,4,40,0,40,..,4,0,4,0,4,..,3,0,8,0,8,..,19,0,19,0,19,..,7,0,7,0,7,..,19,0,19,3,24,..,10
LGA16200,6354,..,..,..,..,6354,..,18,0,18,0,18,..,16,0,18,0,18,..,7,0,7,0,7,..,7,3,15,3,19,..,11,3,16,0,16,..,0,0,3,0,3,..,23,11,30,3,38,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,5,0,5,0,5,..,19,0,19,0,19,..,5,0,5,0,5,..,0,0,3,0,3,..,7,0,3,0,3,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,3,0,3,0,3,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,8,..,6,0,13,0,13,..,12,0,12,0,12,..,0
LGA16260,47422,..,..,..,..,47422,..,63,0,63,0,66,..,3246,431,3675,30,3709,..,3,0,3,0,3,..,5470,1437,6911,26,6940,..,8069,2974,11037,58,11100,..,360,126,490,3,491,..,13897,4540,18438,93,18533,..,191,20,219,0,219,..,80,6,88,0,88,..,217,6,227,3,230,..,202,3,209,3,210,..,565,74,637,9,652,..,855,41,897,9,906,..,4113,129,4245,28,4272,..,1583,99,1673,11,1688,..,641,16,662,5,665,..,907,59,966,8,975,..,3726,240,3965,18,3982,..,11811,589,12405,82,12487,..,626,64,696,5,699,..,176,30,204,0,204,..,3844,1602,5445,47,5489,..,40,3,43,0,44,..,92,6,104,0,104,..,1176,380,1557,9,1567,..,227,28,254,4,258,..,289,26,320,0,320,..,100,15,115,4,112,..,208,26,233,0,232,..,445,20,465,0,469,..,556,45,603,4,611,..,739,21,761,3,760,..,80
LGA16350,74940,..,..,..,..,74940,..,48,0,48,0,55,..,1451,135,1580,20,1607,..,15,0,15,0,15,..,205,84,291,4,295,..,439,157,591,7,592,..,43,13,55,0,55,..,683,257,934,7,943,..,435,45,476,3,483,..,93,4,101,0,98,..,155,4,160,0,161,..,160,7,167,3,174,..,496,64,557,4,566,..,203,3,207,0,207,..,796,21,824,9,825,..,800,71,871,7,871,..,213,12,223,0,223,..,394,30,418,7,425,..,433,38,472,7,478,..,2837,172,3012,30,3036,..,607,64,672,6,677,..,45,0,46,0,46,..,114,67,177,3,181,..,78,13,92,0,92,..,657,49,710,10,717,..,173,27,197,0,201,..,177,13,191,0,196,..,87,12,95,0,95,..,469,38,508,13,518,..,168,21,191,0,193,..,428,14,439,9,448,..,95,3,98,0,98,..,882,24,904,16,923,..,61
LGA16380,34182,..,..,..,..,34182,..,30,0,30,0,30,..,31,0,31,0,31,..,15,0,15,0,15,..,19,16,36,3,47,..,40,16,62,0,59,..,12,0,12,0,12,..,70,37,111,9,115,..,10,3,12,0,12,..,59,0,59,0,59,..,69,0,65,0,71,..,74,0,76,0,81,..,27,3,29,0,29,..,10,0,5,0,5,..,24,0,24,0,24,..,8,0,12,0,12,..,4,0,4,0,4,..,3,0,3,0,3,..,35,3,35,0,37,..,84,4,91,0,89,..,55,4,56,3,59,..,23,0,23,0,23,..,4,5,12,0,12,..,3,0,3,0,3,..,9,0,9,0,9,..,8,0,8,0,8,..,11,0,11,0,11,..,9,0,6,0,6,..,4,0,4,0,4,..,5,0,7,0,7,..,17,0,21,0,21,..,4,0,4,0,4,..,16,0,18,0,18,..,4
LGA16400,30751,..,..,..,..,30751,..,40,0,37,3,41,..,26,0,26,3,28,..,12,0,16,0,16,..,27,5,33,0,40,..,34,13,48,3,50,..,3,3,3,0,3,..,63,21,88,3,95,..,43,3,51,0,51,..,41,0,41,0,41,..,46,3,50,0,50,..,80,3,83,0,82,..,63,0,67,3,69,..,5,0,5,0,5,..,14,0,14,0,14,..,19,0,15,0,15,..,0,0,0,0,0,..,6,0,6,0,6,..,8,0,8,0,8,..,52,0,56,0,56,..,98,0,96,3,99,..,18,0,15,0,15,..,15,5,26,0,26,..,13,0,13,0,13,..,16,0,16,0,20,..,0,0,3,0,3,..,18,0,22,0,22,..,10,0,13,0,13,..,11,3,17,0,17,..,8,0,8,0,8,..,12,0,12,0,12,..,3,0,3,0,3,..,28,0,25,0,25,..,4
LGA16490,22736,..,..,..,..,22736,..,22,0,22,0,22,..,64,9,74,0,78,..,8,0,8,0,9,..,39,17,49,0,54,..,88,23,107,0,107,..,0,4,3,0,3,..,121,39,164,0,167,..,109,12,118,3,123,..,27,0,27,0,27,..,69,0,70,0,70,..,73,0,74,0,77,..,104,12,110,0,110,..,94,7,100,0,99,..,118,4,123,0,123,..,219,16,239,4,239,..,35,0,35,0,35,..,75,3,77,0,77,..,116,10,127,0,127,..,654,39,692,5,699,..,287,31,320,3,322,..,15,3,19,0,19,..,14,6,22,0,22,..,393,73,469,3,475,..,22,3,25,0,26,..,14,0,17,0,17,..,34,0,35,0,34,..,25,3,34,0,29,..,32,0,33,0,35,..,121,15,137,4,137,..,48,0,48,0,48,..,26,3,30,0,30,..,82,0,83,0,87,..,6
LGA16550,41174,..,..,..,..,41174,..,61,0,66,0,66,..,569,61,634,3,635,..,15,0,16,3,18,..,1675,303,1976,9,1981,..,4092,791,4884,20,4905,..,354,120,470,3,471,..,6115,1218,7328,28,7354,..,113,14,124,0,124,..,109,9,117,0,117,..,872,37,909,4,909,..,420,9,430,5,433,..,1843,214,2058,19,2078,..,213,16,227,0,230,..,274,3,272,0,273,..,59,3,63,0,63,..,80,0,80,0,80,..,129,0,129,0,129,..,158,7,165,5,171,..,915,27,940,4,945,..,748,51,801,13,810,..,174,25,192,0,192,..,220,50,269,3,270,..,19,0,18,0,18,..,93,5,92,3,100,..,199,8,216,6,215,..,200,18,222,0,224,..,629,145,773,6,772,..,20,0,19,0,19,..,122,12,138,0,140,..,97,3,103,0,103,..,1041,84,1125,11,1136,..,161,3,165,3,170,..,226
LGA16610,10252,..,..,..,..,10252,..,0,0,0,0,0,..,3,0,3,0,3,..,8,0,8,0,8,..,0,3,6,0,6,..,6,7,10,0,10,..,0,0,0,0,0,..,6,8,12,0,14,..,0,0,0,0,0,..,12,0,10,0,10,..,0,0,0,0,0,..,17,0,17,0,17,..,3,0,3,0,3,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,4,0,4,..,3,0,3,0,3,..,3,0,3,0,3,..,0,0,0,0,0,..,10,0,9,0,9,..,24,0,22,0,24,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,10,0,10,0,10,..,0
LGA16650,20739,..,..,..,..,20739,..,17,0,17,0,17,..,3831,341,4171,44,4211,..,5,0,5,0,5,..,1572,592,2160,10,2174,..,2676,837,3514,13,3524,..,178,61,244,3,247,..,4429,1488,5920,27,5948,..,213,21,239,3,242,..,22,0,22,0,26,..,151,3,153,0,156,..,86,8,98,3,99,..,3650,535,4180,35,4221,..,1358,74,1438,6,1443,..,531,22,552,3,559,..,77,6,81,0,81,..,24,0,24,0,29,..,169,9,169,0,172,..,2306,91,2401,16,2419,..,4463,205,4672,32,4703,..,742,107,846,14,865,..,125,28,151,4,155,..,113,41,158,0,159,..,1879,386,2259,26,2290,..,111,4,117,0,117,..,108,4,118,0,120,..,134,11,147,0,147,..,260,28,289,0,294,..,56,3,56,0,56,..,306,42,345,4,343,..,225,4,228,0,228,..,418,50,476,4,475,..,469,20,487,4,492,..,52
LGA16700,27639,..,..,..,..,27639,..,52,3,53,0,55,..,896,94,997,10,1002,..,0,0,0,0,0,..,3033,765,3797,15,3813,..,5103,1527,6633,39,6672,..,264,78,343,7,341,..,8401,2367,10772,61,10829,..,187,21,210,3,212,..,37,0,37,0,37,..,191,5,198,5,199,..,159,4,160,0,160,..,513,61,571,4,576,..,250,10,264,3,266,..,861,27,887,0,889,..,218,17,240,0,240,..,227,3,232,0,234,..,232,4,236,0,237,..,553,19,573,4,572,..,2348,76,2423,12,2433,..,1111,116,1226,13,1239,..,280,57,336,0,341,..,1858,746,2609,27,2634,..,73,6,74,0,80,..,31,3,33,0,33,..,519,97,619,3,627,..,131,14,141,0,141,..,182,15,199,0,199,..,7,0,7,0,7,..,139,15,153,0,154,..,263,4,262,3,267,..,498,31,532,0,532,..,418,7,429,5,432,..,64
LGA16900,28396,..,..,..,..,28396,..,23,0,23,0,23,..,81,15,92,0,92,..,3,0,3,0,3,..,28,17,44,0,44,..,59,11,71,0,77,..,8,3,7,0,7,..,94,31,122,0,123,..,100,10,109,0,109,..,32,0,36,0,36,..,23,3,28,0,28,..,135,6,139,3,143,..,132,16,148,3,144,..,4,0,4,0,4,..,23,0,21,0,21,..,12,3,14,3,12,..,13,0,13,0,13,..,28,0,28,0,28,..,9,0,9,0,9,..,84,0,87,3,91,..,260,25,279,3,288,..,19,0,21,0,21,..,6,13,21,0,21,..,675,93,765,9,781,..,80,13,91,3,98,..,10,3,15,0,13,..,38,3,42,0,42,..,9,3,14,0,14,..,12,0,12,0,12,..,120,15,133,0,133,..,11,0,11,0,14,..,8,0,8,0,8,..,35,0,34,0,34,..,10
LGA16950,43345,..,..,..,..,43345,..,21,0,21,0,21,..,36,6,49,0,47,..,15,0,17,0,23,..,39,20,59,0,59,..,62,22,82,0,87,..,6,0,6,0,6,..,108,37,154,0,153,..,73,13,88,0,87,..,48,0,48,0,48,..,41,8,46,0,46,..,109,3,111,0,116,..,139,12,151,4,153,..,9,0,10,0,10,..,29,0,29,0,29,..,19,0,22,0,22,..,12,0,12,0,12,..,8,0,8,0,8,..,44,0,45,0,45,..,125,0,131,4,130,..,180,24,202,3,206,..,21,3,25,0,25,..,8,8,16,0,17,..,21,3,23,0,23,..,56,0,56,0,56,..,11,0,11,0,12,..,33,0,34,0,37,..,18,3,22,0,22,..,5,0,5,0,5,..,18,0,25,3,26,..,7,0,7,0,7,..,29,0,29,0,29,..,30,5,34,0,34,..,18
LGA17000,10492,..,..,..,..,10492,..,37,0,37,0,37,..,11,3,15,0,15,..,5,0,4,0,4,..,14,3,18,0,18,..,13,5,20,0,22,..,0,0,0,0,0,..,29,9,40,0,39,..,0,0,0,0,0,..,6,0,6,0,6,..,7,0,7,0,7,..,19,0,20,0,20,..,5,0,5,0,5,..,3,3,7,0,7,..,8,0,8,0,8,..,4,0,4,0,4,..,3,3,3,0,3,..,6,0,6,0,6,..,3,0,3,0,3,..,25,6,32,0,32,..,14,0,19,0,19,..,3,0,3,0,3,..,0,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,6,0,6,0,6,..,3,0,3,0,3,..,3,0,3,0,3,..,16,0,16,0,16,..,4,0,4,0,4,..,10,0,10,0,10,..,5
LGA17040,8900,..,..,..,..,8900,..,7,0,3,0,3,..,24,0,24,0,24,..,0,0,0,0,0,..,14,7,16,0,20,..,15,13,23,0,25,..,6,0,6,0,6,..,26,19,51,3,53,..,8,0,5,0,5,..,18,0,18,0,18,..,26,0,26,0,26,..,88,3,92,4,89,..,22,0,23,0,23,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,6,0,6,0,6,..,3,0,3,0,3,..,3,0,3,0,3,..,17,0,17,0,17,..,49,3,51,0,51,..,4,0,4,0,4,..,6,6,11,0,11,..,4,0,11,0,11,..,0,0,0,0,0,..,0,0,0,0,0,..,9,0,9,0,9,..,10,0,10,0,10,..,0,0,0,0,0,..,8,0,5,0,5,..,0,0,0,0,0,..,7,0,7,0,7,..,0,0,0,0,0,..,0
LGA17080,6250,..,..,..,..,6250,..,29,0,29,0,29,..,8,0,8,0,8,..,0,0,0,0,0,..,0,3,3,0,3,..,13,10,26,0,26,..,0,0,0,0,0,..,19,15,31,0,31,..,4,0,4,0,4,..,4,0,8,0,8,..,3,0,3,0,3,..,11,0,11,0,11,..,4,0,4,0,4,..,0,0,0,0,0,..,3,0,3,0,3,..,8,0,8,0,8,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,16,0,16,0,16,..,8,0,8,0,8,..,3,0,3,0,3,..,3,0,3,0,3,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,11,0,11,0,11,..,0,0,0,0,0,..,0,0,0,0,0,..,0
LGA17100,6164,..,..,..,..,6164,..,3,0,3,0,3,..,926,72,1004,6,1004,..,4,0,4,0,4,..,983,304,1288,8,1289,..,1262,543,1800,10,1813,..,81,30,107,0,107,..,2325,871,3197,15,3211,..,60,4,63,0,63,..,10,0,10,0,10,..,32,0,31,0,31,..,17,0,17,0,17,..,261,36,299,3,297,..,131,3,136,0,136,..,727,19,751,7,753,..,168,3,166,0,170,..,45,0,47,0,47,..,279,9,281,4,288,..,884,39,926,8,934,..,2231,79,2306,18,2324,..,306,42,341,3,348,..,27,4,36,0,36,..,1023,679,1705,15,1722,..,8,0,10,0,8,..,7,3,8,0,8,..,30,7,34,0,34,..,33,10,40,0,40,..,54,4,66,0,63,..,17,3,19,0,19,..,32,6,39,4,39,..,80,5,79,3,81,..,90,12,97,0,97,..,98,10,106,3,108,..,11
