LGA_CODE_2016,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4_m_sty_blk_Ds,OPDs_F_ap_I_4_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
LGA10050,15634,39601,2907,4658,416,675,3324,5334,293,447,52,82,29,35,3,4,376,570,24,39,41,66,0,0,25,60,96,169,68,136,19495,45803,2489,..,21984,45803
LGA10130,8689,22010,771,1404,144,240,910,1637,486,805,46,89,0,3,0,3,540,901,17,30,19,32,3,11,11,22,51,96,84,185,10276,24824,1588,..,11862,24824
LGA10250,11223,29084,2129,3930,1486,2824,3612,6757,579,1033,158,264,55,91,7,16,798,1399,165,252,285,423,3,3,27,55,483,732,105,225,16220,38194,1549,..,17770,38194
LGA10300,734,1907,15,23,3,3,22,24,34,52,0,0,0,0,0,0,34,52,14,20,0,0,0,0,7,10,19,32,3,7,807,2024,248,..,1059,2024
LGA10470,12166,32367,1137,1974,327,583,1460,2559,581,910,11,10,3,13,0,0,590,931,19,38,3,9,6,7,21,36,41,90,155,218,14411,36159,2029,..,16443,36159
LGA10550,10934,25770,834,1296,499,845,1336,2140,526,802,21,41,0,4,0,6,553,850,62,98,122,180,40,67,46,83,270,430,131,262,13222,29451,3048,..,16270,29451
LGA10600,4466,10684,184,339,53,112,233,449,125,175,11,14,0,0,0,0,136,192,53,86,26,42,3,3,3,12,90,139,47,114,4970,11567,669,..,5636,11567
LGA10650,2904,6728,107,139,0,0,107,139,118,164,3,4,0,0,0,0,126,170,30,45,50,82,0,4,40,81,120,211,6,24,3265,7265,643,..,3911,7265
LGA10750,78774,257809,6231,18356,10055,32142,16286,50499,1563,3226,687,1503,2951,7729,45,104,5247,12567,30,58,195,299,67,163,161,488,452,999,346,905,101107,322782,5099,..,106205,322782
LGA10800,2066,4970,9,12,0,0,9,12,56,67,0,0,0,0,0,0,56,67,3,5,0,0,0,0,10,24,13,26,36,82,2185,5159,453,..,2636,5159
LGA10850,2507,6378,30,52,4,13,34,56,52,62,0,0,0,0,0,0,58,68,0,0,3,3,4,20,16,42,27,68,29,36,2656,6607,350,..,3011,6607
LGA10900,26482,67820,811,1309,590,990,1404,2298,428,633,140,188,10,14,10,18,582,854,9,10,3,5,7,23,32,62,53,97,109,203,28630,71265,4196,..,32827,71265
LGA10950,883,2148,26,45,4,11,33,55,28,42,0,0,0,0,0,0,28,42,6,8,0,0,0,0,8,13,14,22,9,26,967,2290,194,..,1166,2290
LGA11100,5483,17092,1065,2777,1105,3169,2175,5946,1580,3732,2949,6961,4042,9843,8,10,8571,20552,0,0,0,3,5,16,114,280,118,304,76,171,16421,44065,1230,..,17649,44065
LGA11150,746,1962,16,22,0,0,16,22,34,43,0,0,0,0,0,0,34,43,12,23,3,4,4,7,6,18,25,46,14,31,831,2106,214,..,1040,2106
LGA11200,503,1353,0,0,5,4,5,4,10,28,24,37,0,0,0,0,36,65,0,3,0,8,3,6,5,5,8,20,4,3,553,1443,106,..,665,1443
LGA11250,6792,15192,152,239,16,30,164,268,182,232,0,0,0,0,0,3,184,233,8,21,3,8,3,5,3,5,18,44,23,52,7184,15783,1870,..,9056,15783
LGA11300,4711,15050,700,1882,1276,4108,1978,5995,857,1958,1812,4921,2428,6410,27,80,5123,13367,0,3,0,3,0,0,50,138,50,140,84,226,11957,34775,883,..,12835,34775
LGA11350,9266,23348,449,897,365,834,819,1726,627,1024,82,151,0,0,22,39,727,1225,164,273,144,241,23,27,61,106,389,645,171,338,11368,27276,2057,..,13423,27276
LGA11400,4510,11862,25,37,0,3,30,35,75,103,0,0,0,0,0,0,75,103,15,20,4,11,4,7,23,47,44,88,26,79,4686,12169,698,..,5384,12169
LGA11450,22310,70821,839,1542,593,1378,1432,2920,157,223,30,40,0,6,7,12,195,286,12,21,37,50,9,26,12,33,71,128,68,170,24084,74321,1160,..,25246,74321
LGA11500,39315,124196,3896,8794,4378,11430,8272,20229,1014,1880,359,697,805,1621,24,49,2202,4245,0,4,4,9,11,22,65,196,82,228,109,226,49981,149125,2800,..,52777,149125
LGA11520,12384,37695,1060,2662,1919,5002,2978,7669,3381,6764,3389,7331,9488,22186,19,43,16273,36327,0,0,6,12,0,0,304,697,306,709,159,358,32102,82753,2659,..,34759,82753
LGA11570,61550,202446,4124,10293,13185,42313,17305,52609,12804,31396,10017,25748,4945,12763,123,311,27889,70225,3,11,8,18,3,9,608,1762,617,1796,406,1131,107772,328207,7736,..,115506,328207
LGA11600,917,2281,0,0,0,0,0,0,29,41,0,0,0,0,0,0,29,41,8,7,14,43,0,0,0,7,26,53,9,24,986,2399,208,..,1191,2399
LGA11650,95068,258434,9379,15881,5647,11524,15026,27404,6059,10171,1522,2702,1606,2973,68,120,9260,15959,338,514,552,934,29,69,228,538,1150,2063,545,998,121048,304859,17224,..,138266,304859
LGA11700,548,1410,19,34,0,0,19,34,16,28,0,0,0,0,0,0,16,28,3,11,0,0,0,0,5,10,15,20,13,22,605,1513,289,..,895,1513
LGA11720,17418,46796,1260,2189,220,356,1482,2548,289,432,0,0,0,0,0,3,293,437,17,40,11,21,9,19,30,51,57,131,116,267,19368,50177,2047,..,21415,50177
LGA11730,16821,41226,710,1075,383,730,1093,1806,855,1304,77,136,10,9,3,9,947,1451,273,454,175,254,82,173,65,132,600,1020,145,311,19605,45815,3076,..,22680,45815
LGA11750,1481,3743,22,40,0,0,22,40,103,135,0,0,0,0,0,0,105,135,9,19,5,11,4,10,14,34,33,81,0,7,1640,4004,501,..,2145,4004
LGA11800,20092,53983,1958,3588,1354,2779,3315,6362,2095,3703,320,622,301,493,9,20,2729,4833,199,309,344,548,47,79,36,85,631,1020,280,583,27042,66776,2931,..,29974,66776
