LGA_CODE_2016,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4_m_sty_blk_Ds,OPDs_F_ap_I_4_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
LGA14300,1822,4651,36,58,4,19,43,74,33,43,6,6,0,0,0,0,40,49,0,3,0,3,0,0,0,5,4,12,9,25,1922,4810,235,..,2153,4810
LGA14350,9539,23622,372,547,56,96,430,645,381,620,34,62,13,17,5,7,429,696,72,105,12,17,10,13,26,61,119,201,136,293,10651,25465,1768,..,12423,25465
LGA14400,6065,16460,237,465,652,1317,885,1783,379,616,81,134,192,263,0,0,655,1012,27,58,7,14,0,0,25,61,54,131,65,100,7719,19487,1650,..,9370,19487
LGA14500,28271,90654,294,553,1257,2816,1556,3365,1486,2708,1591,3214,5464,12835,3,6,8538,18763,0,6,3,4,0,0,22,51,21,63,84,187,38476,113025,2799,..,41266,113025
LGA14550,3351,7745,18,24,4,3,18,23,62,94,0,0,0,0,0,0,63,96,19,27,16,25,8,15,24,43,62,108,26,50,3525,8019,606,..,4134,8019
LGA14600,2037,5016,12,16,0,0,13,12,62,98,0,0,0,0,0,0,65,97,7,10,0,0,0,0,16,26,20,37,70,182,2206,5346,409,..,2615,5346
LGA14650,62390,167301,4977,8039,2129,4205,7106,12243,2053,3182,260,401,427,741,45,85,2788,4410,98,177,413,571,21,54,100,214,630,1010,162,344,73075,185319,7031,..,80105,185319
LGA14700,5717,17770,205,551,542,1261,749,1816,961,1860,2660,5485,3320,6701,43,94,6986,14141,0,0,0,0,0,0,19,40,19,40,59,141,13534,33901,1352,..,14885,33901
LGA14750,3380,8794,175,285,21,29,197,315,207,340,7,11,0,0,0,0,214,351,15,19,9,11,4,16,8,14,35,62,37,92,3868,9609,510,..,4385,9609
LGA14850,13407,34349,1079,1707,464,792,1541,2497,665,1104,86,130,0,0,3,0,754,1238,156,215,54,108,40,87,143,398,399,809,91,187,16195,39087,1516,..,17703,39087
LGA14870,6766,16160,454,696,83,140,538,834,117,173,20,18,0,0,0,3,134,197,25,37,3,19,8,7,311,775,353,835,72,152,7862,18182,1051,..,8913,18182
LGA14900,44395,155288,1193,2804,4964,14233,6159,17040,1523,2861,3839,8811,2345,6269,65,157,7775,18096,32,39,3,5,9,30,80,227,125,302,325,693,58786,191415,2959,..,61741,191415
LGA14920,2772,6576,13,27,0,3,16,32,88,124,0,0,0,0,0,0,88,124,5,11,0,0,3,8,20,30,24,52,7,19,2916,6802,527,..,3443,6802
LGA14950,1085,2658,3,7,0,0,3,7,21,26,0,0,0,0,0,0,21,26,3,3,0,0,3,8,11,29,14,39,9,20,1129,2740,188,..,1318,2740
LGA15050,23848,66693,1904,3392,533,881,2435,4270,569,815,0,0,32,49,3,5,607,871,41,67,3,3,11,28,54,113,108,210,381,536,27374,72585,2078,..,29452,72585
LGA15240,29413,70607,2926,4757,507,992,3437,5747,1590,2462,392,606,410,709,7,7,2392,3793,165,270,405,679,36,56,132,270,738,1275,254,525,36233,81944,8415,..,44645,81944
LGA15270,8005,19872,319,521,17,29,337,548,211,330,10,9,0,0,0,0,219,339,48,57,36,62,9,29,27,56,129,198,78,168,8768,21123,1660,..,10426,21123
LGA15300,3758,9880,222,509,17,37,244,549,431,654,0,0,0,0,3,4,441,664,35,53,9,17,3,7,35,75,85,157,20,63,4545,11311,808,..,5355,11311
LGA15350,3901,12079,719,1868,620,1524,1337,3397,1468,2910,2611,4716,1579,2636,43,91,5699,10354,0,0,4,8,0,0,45,109,53,121,33,67,11022,26010,1372,..,12398,26010
LGA15520,3897,9402,173,252,7,13,177,265,243,370,0,0,0,0,0,0,243,370,20,39,58,98,4,13,35,81,116,231,30,64,4470,10335,932,..,5402,10335
LGA15560,1260,3131,3,3,0,3,0,7,60,89,0,0,0,0,0,0,60,89,4,15,7,4,0,3,10,14,23,43,6,17,1361,3293,361,..,1720,3293
LGA15650,5060,13363,424,715,154,255,576,968,49,75,4,14,0,0,0,0,58,83,13,19,3,4,3,3,3,11,21,40,48,106,5764,14558,1065,..,6831,14558
LGA15700,6519,15621,238,375,47,99,283,477,395,622,50,89,24,34,0,5,472,745,88,139,229,325,10,32,39,78,369,580,38,81,7684,17504,1089,..,8765,17504
LGA15750,4122,10712,139,212,25,38,157,249,248,353,0,0,0,0,0,0,248,353,38,62,10,17,3,15,19,47,69,136,30,73,4625,11521,736,..,5362,11521
LGA15800,2015,4826,38,69,0,0,38,69,61,85,7,5,0,0,0,0,69,90,10,16,0,0,0,3,3,13,16,33,15,36,2148,5056,382,..,2534,5056
LGA15850,2162,5433,27,45,0,3,30,50,84,111,0,0,5,7,0,0,90,116,4,8,0,3,0,0,7,11,10,17,22,49,2318,5666,319,..,2638,5666
