LGA_CODE_2016,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
LGA11450,43,69,454,393,173,797,76,529,45,2571,191,401,826,613,496,581,245,386,63,3796,1098,2190,1703,966,1575,708,698,588,200,9724,1566,2056,1350,899,1739,740,836,546,192,9938,1322,1424,970,759,1502,707,739,562,124,8109,735,821,579,361,929,368,530,373,72,4767,161,156,110,62,210,81,128,66,23,1006,17,21,13,0,4,3,9,8,7,81,8,4,0,0,0,3,0,0,3,23,5134,7139,6004,4051,6634,3991,3265,3061,738,40014
LGA11500,49,83,558,493,227,1176,153,744,70,3555,341,863,1346,1073,1008,1154,597,975,140,7505,1335,3220,2375,1858,2524,1436,1686,1464,360,16261,1551,2584,2005,1588,2433,1082,1847,1477,287,14857,1326,1927,1692,1566,2376,961,2087,1639,276,13855,1003,1511,1335,1013,2117,757,1514,1241,174,10662,166,307,250,177,390,139,272,230,58,1996,11,29,8,3,18,8,21,10,8,125,3,4,0,0,3,0,0,0,3,14,5781,10530,9575,7784,11103,6717,8178,7780,1378,68841
LGA11520,20,74,109,283,134,469,16,171,19,1291,218,746,426,669,455,635,69,235,79,3531,1895,4991,1165,883,1725,1071,207,445,256,12629,2574,3925,805,540,1434,719,191,293,184,10665,2051,2681,739,537,1426,601,238,368,148,8794,1136,1725,484,328,1082,398,227,309,102,5806,284,567,149,78,307,140,85,108,36,1744,25,72,13,7,28,25,8,8,11,207,4,9,0,0,3,4,0,0,4,26,8212,14788,3894,3328,6596,4058,1041,1937,837,44699
LGA11570,105,219,822,890,392,2093,146,863,143,5658,656,2261,1959,2274,1991,2733,638,1529,437,14478,3455,8681,4753,3604,4969,3186,2232,3025,941,34834,4058,6717,4526,3071,5018,2301,2632,2706,670,31707,3408,4820,4094,2745,4752,1991,3129,3291,612,28829,1792,2806,2676,1597,3080,1236,2422,2687,363,18654,393,585,483,303,608,256,428,505,108,3661,29,50,44,20,54,23,28,46,25,327,4,7,3,0,4,4,0,0,15,32,13901,26143,19353,14510,20862,13821,11649,14647,3307,138192
LGA11600,11,0,5,11,3,13,3,30,0,77,6,9,14,13,11,0,13,47,0,109,71,33,26,28,17,12,31,59,0,265,92,17,21,19,28,3,30,41,3,253,113,21,33,18,36,6,37,38,3,309,97,22,26,13,19,10,26,36,3,254,48,0,4,6,4,0,5,10,3,72,14,0,0,0,0,0,0,7,3,27,3,0,0,0,0,0,0,0,0,5,456,97,121,102,121,50,150,263,22,1384
LGA11650,122,162,1154,1454,341,3162,254,1834,134,8614,645,1225,2701,2433,1157,2173,523,1669,192,12714,2554,5708,5096,3332,3091,2289,1357,2375,416,26212,4167,6541,4681,3261,4249,2135,1724,2501,505,29776,4443,6263,4408,3819,5241,2543,2140,3178,532,32560,2878,4758,2993,2567,4016,2005,1873,2404,408,23909,707,1135,526,427,925,505,450,450,122,5250,109,107,43,18,60,35,31,38,63,496,13,16,7,3,10,4,5,8,21,72,15643,25902,21602,17315,19083,14852,8354,14463,2383,139593
LGA11700,0,0,0,3,0,0,0,8,0,15,4,6,0,11,3,0,3,16,3,36,13,16,3,18,9,0,3,26,4,96,27,10,4,16,9,4,7,12,4,95,49,18,5,24,3,0,8,23,0,122,62,14,8,14,10,8,11,14,0,145,20,0,3,3,0,0,3,5,3,45,7,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,182,58,27,91,34,15,32,101,17,564
LGA11720,25,20,203,215,52,456,53,328,24,1379,80,112,506,340,216,302,142,364,34,2104,342,583,1051,560,505,414,603,547,52,4668,464,571,869,492,564,351,725,575,76,4677,507,527,744,537,578,348,715,646,84,4681,387,498,459,328,407,257,495,467,57,3358,134,114,54,54,71,55,100,74,18,668,21,16,0,4,4,7,3,11,7,83,6,0,0,0,0,0,3,0,4,15,1962,2437,3892,2531,2402,2200,2838,3009,358,21626
LGA11730,17,10,135,148,34,427,18,266,20,1077,46,84,292,230,95,204,63,198,22,1242,188,430,482,357,269,247,179,309,33,2490,421,605,519,460,465,294,249,355,59,3416,513,682,548,643,623,342,367,538,62,4311,561,721,428,525,517,295,336,466,57,3901,230,148,84,64,130,58,85,110,25,934,71,20,5,6,14,14,4,9,16,165,11,7,0,0,0,0,0,3,8,30,2062,2705,2497,2421,2144,1886,1302,2255,299,17565
LGA11750,4,0,18,13,4,20,4,16,0,82,8,19,57,20,15,11,16,29,3,166,28,91,113,47,53,32,88,30,6,491,68,54,73,39,37,12,79,36,10,409,80,43,58,32,38,15,83,43,6,406,76,23,47,27,37,13,73,49,8,354,31,3,15,7,8,0,9,11,3,84,15,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,4,315,242,372,179,186,111,358,214,38,2014
LGA11800,25,19,198,310,81,756,48,439,26,1898,129,213,493,435,215,380,92,389,41,2385,585,1100,905,673,592,433,264,734,87,5375,794,1387,829,645,902,489,301,605,114,6077,1016,1371,820,856,1040,571,387,754,105,6916,751,1183,635,673,843,457,379,648,81,5645,205,249,109,80,182,108,113,122,33,1197,20,14,5,8,13,8,7,19,15,109,6,0,0,0,0,0,0,3,6,14,3534,5555,4006,3674,3865,3199,1590,3702,507,29620
LGA12000,6,5,9,15,3,31,0,15,0,88,11,15,40,23,12,15,3,21,5,146,35,43,47,28,24,17,14,28,3,241,72,49,55,42,32,18,24,27,6,321,120,67,39,40,61,24,39,43,11,433,87,44,34,27,33,18,37,44,3,328,64,15,6,4,7,8,16,6,0,117,26,0,0,3,0,0,0,0,8,32,8,0,0,0,0,0,0,0,0,7,426,237,234,179,170,128,132,190,30,1728
LGA12150,3,0,4,4,7,10,0,13,3,52,4,15,21,19,5,11,4,17,3,102,60,50,32,38,26,13,11,33,3,260,57,25,18,31,27,7,9,40,9,229,90,49,31,39,40,8,27,42,3,334,107,27,28,25,32,14,19,38,9,297,63,6,3,8,15,4,9,8,0,114,18,0,3,0,0,0,0,0,0,28,3,0,0,0,0,0,0,0,0,7,409,169,148,164,145,82,85,192,36,1419
LGA12350,11,4,46,38,7,103,9,86,10,316,28,42,74,58,38,54,20,103,4,419,87,126,123,97,62,68,34,121,13,725,135,132,127,96,122,68,53,105,27,867,211,164,121,124,126,99,102,148,17,1104,216,152,103,82,113,67,74,141,8,963,121,37,40,18,31,19,24,30,12,326,48,5,6,3,3,4,0,3,3,78,3,0,0,0,0,0,0,0,3,11,859,651,646,518,489,485,318,746,92,4811
LGA12380,35,127,483,388,240,1250,92,493,121,3231,419,1348,1462,1279,1206,1675,522,1425,373,9714,2300,6234,4140,2614,3532,2246,1820,2785,834,26505,2347,4628,3115,1728,2959,1196,1686,1780,524,19973,1607,2384,2397,1389,2505,953,1660,2124,372,15394,852,1448,1518,852,1576,629,1286,1603,239,10000,156,266,249,176,324,135,240,274,45,1872,8,14,13,3,24,16,17,16,12,123,3,0,0,0,0,0,8,0,15,25,7727,16449,13373,8435,12364,8099,7335,10503,2546,86838
LGA12700,8,3,46,31,3,59,5,45,0,198,15,15,69,40,13,35,14,50,0,251,68,97,146,69,65,45,48,68,9,599,88,108,156,71,102,44,82,84,15,754,156,135,169,88,155,53,111,98,22,983,155,151,96,63,111,33,80,103,9,807,85,42,24,4,30,7,21,16,3,231,36,3,3,0,0,3,0,7,7,63,0,0,0,0,0,0,0,0,0,3,608,550,699,358,488,280,363,471,64,3885
LGA12730,10,4,33,37,7,88,4,38,0,217,18,27,72,52,15,32,14,77,5,317,71,112,87,65,64,37,32,144,11,633,138,127,82,77,105,57,46,86,12,737,169,129,94,95,123,56,71,87,10,821,179,112,80,68,100,48,78,98,18,784,69,34,21,10,34,16,24,21,6,238,27,3,0,3,0,4,5,3,5,50,4,0,0,0,0,0,0,0,0,3,693,553,477,409,449,330,274,546,69,3812
LGA12750,9,9,117,143,36,310,16,159,11,816,33,33,207,139,88,136,39,121,10,811,169,268,394,276,184,175,85,189,25,1770,323,398,398,298,318,220,144,221,37,2367,416,547,489,421,450,301,164,360,45,3195,473,620,412,373,427,282,183,327,60,3154,128,158,68,65,101,76,70,81,12,760,22,24,6,0,8,5,4,9,10,93,4,0,3,0,0,0,0,0,5,14,1588,2065,2094,1717,1609,1515,708,1466,225,12976
LGA12850,59,121,410,419,231,1121,116,528,110,3104,365,1412,1228,1362,1336,1490,595,963,269,9025,1357,3739,2387,1728,2645,1309,1571,1716,548,17004,1376,2023,2244,1459,2177,1032,1800,2009,438,14556,1348,1395,2507,1332,1976,1074,2557,2863,409,15468,875,992,1676,823,1426,699,1822,2196,248,10750,189,223,299,115,268,119,274,318,54,1854,23,21,14,6,19,11,7,13,19,131,0,0,6,0,0,0,0,0,5,11,5589,9925,10767,7236,10080,6857,8736,10611,2088,71899
LGA12870,13,3,74,41,14,94,8,66,0,308,16,28,92,68,19,43,29,82,3,378,109,103,157,67,66,36,55,142,9,741,174,114,145,96,103,59,79,145,19,931,214,135,137,119,132,84,105,201,19,1157,208,141,95,85,126,87,123,184,12,1065,102,35,37,25,33,22,23,34,14,324,23,6,3,0,0,0,3,8,3,50,6,0,0,0,0,0,0,0,0,10,870,555,741,497,498,441,412,862,85,4970
LGA12900,3,3,33,30,4,81,0,67,3,232,19,33,89,41,17,49,22,49,14,334,88,154,103,86,68,62,61,87,8,731,140,133,105,70,84,54,62,85,6,735,179,123,104,86,118,65,75,97,24,869,188,87,88,59,89,51,68,87,10,729,86,20,10,10,26,10,27,32,15,230,38,0,5,3,4,4,3,7,10,69,11,0,0,0,0,0,0,0,5,15,758,560,549,382,398,379,322,508,90,3944
LGA12930,41,183,222,539,189,1007,60,418,51,2712,306,1187,874,1121,892,1310,240,802,149,6885,1853,5548,2058,1910,2544,1684,616,1414,391,18017,2295,4485,1656,1154,2461,1102,712,849,258,14972,2359,3411,1760,1206,2548,1098,972,1097,281,14732,1256,2213,1192,732,1715,659,790,927,172,9664,282,565,231,179,439,165,159,214,57,2287,33,68,26,10,37,21,13,15,16,246,6,9,0,0,9,4,0,3,3,31,8433,17669,8019,6848,10838,7050,3551,5736,1375,69537
LGA12950,3,0,9,11,3,19,5,27,3,77,18,16,27,21,10,7,14,26,0,137,44,60,45,43,9,19,14,33,3,282,74,48,44,39,25,19,23,28,3,302,111,48,38,47,43,17,43,50,3,402,124,34,37,41,40,23,28,50,4,383,74,6,5,10,8,7,6,20,3,143,36,0,3,0,0,0,0,0,0,44,7,0,3,0,0,0,0,0,0,10,487,216,208,223,138,119,128,241,25,1783
LGA13010,9,0,26,30,5,65,3,48,0,191,18,15,50,40,24,23,11,42,4,233,58,65,84,60,38,46,34,67,8,464,103,95,55,89,69,40,42,70,10,579,155,107,79,71,107,44,46,94,20,710,163,95,75,78,77,53,49,80,11,690,133,24,18,16,15,13,17,33,6,273,46,9,3,5,3,0,0,3,4,72,0,0,0,0,0,0,0,0,0,8,689,416,388,388,346,282,206,438,68,3224
LGA13310,9,15,121,131,40,295,19,162,7,795,59,70,276,204,89,162,56,178,16,1110,249,365,479,380,294,220,175,253,40,2453,317,385,336,416,328,198,243,251,34,2517,367,432,371,456,418,194,274,342,38,2908,304,448,207,309,296,148,241,262,48,2256,122,105,54,49,76,48,72,49,14,579,35,14,3,3,6,3,3,6,3,86,3,6,3,0,0,0,0,0,0,14,1468,1844,1845,1947,1550,1266,1088,1501,211,12722
LGA13340,14,3,59,42,8,77,5,74,5,284,17,20,78,49,17,21,11,52,3,283,86,114,145,67,68,48,42,73,4,640,187,152,106,71,101,59,70,75,11,829,265,148,138,115,157,62,105,139,18,1144,280,144,100,90,128,44,86,104,16,998,174,30,10,16,32,17,22,33,11,348,54,0,0,0,3,3,0,3,4,73,16,3,0,0,0,0,0,0,0,19,1088,615,640,442,522,339,346,554,72,4614
LGA13450,18,13,125,93,37,329,17,147,18,798,75,89,228,110,83,141,45,269,9,1044,269,422,420,258,254,201,134,556,41,2544,390,387,295,182,281,174,168,359,35,2269,451,349,286,231,375,195,194,395,42,2512,375,232,205,138,279,163,172,284,35,1889,178,49,46,20,66,38,64,73,21,557,43,0,3,0,7,0,3,16,4,86,7,0,3,0,0,0,0,0,0,14,1804,1547,1611,1036,1373,1240,800,2098,206,11713
LGA13510,9,0,42,44,5,73,7,79,7,266,20,32,76,50,24,28,14,84,6,334,82,106,102,74,66,45,46,135,12,672,119,140,119,99,104,69,45,142,15,849,189,127,124,106,113,76,95,179,12,1020,172,122,95,88,107,60,78,148,15,891,99,33,24,9,27,15,24,25,11,262,41,0,0,0,0,3,6,12,5,74,0,0,0,0,0,0,0,0,0,6,730,562,590,467,454,367,311,812,80,4382
LGA13550,3,6,55,39,9,104,14,92,3,322,23,46,106,52,38,52,54,72,3,439,105,196,187,94,110,63,222,127,20,1125,184,154,135,104,117,48,151,107,23,1029,199,146,125,120,125,78,176,141,22,1125,245,148,100,69,116,58,128,123,16,1000,101,19,14,15,22,13,29,30,13,264,42,0,3,0,0,0,0,4,6,60,3,0,0,0,0,3,0,0,0,8,905,717,726,500,539,426,780,689,101,5381
LGA13660,5,3,18,8,4,16,4,23,3,82,14,14,26,10,11,10,19,40,0,141,64,33,45,31,25,21,26,52,0,299,105,52,31,33,34,15,20,61,14,376,192,70,27,36,62,25,34,58,10,514,146,54,22,30,37,18,51,55,4,415,119,7,13,3,8,0,10,22,5,196,37,0,0,0,4,0,3,4,0,51,5,0,0,0,0,0,0,0,0,6,690,236,180,165,190,106,169,308,38,2083
LGA13800,27,55,520,340,128,542,71,422,26,2133,187,325,832,559,388,449,195,400,65,3387,622,1027,1459,650,893,440,508,529,112,6233,1009,1062,1140,547,1086,441,577,511,126,6499,1234,1167,1181,662,1320,505,708,660,126,7570,798,905,721,425,849,347,494,445,76,5054,225,217,149,78,208,106,136,130,30,1276,51,26,12,6,13,11,11,14,13,157,0,0,3,0,3,0,0,0,3,7,4152,4781,6018,3261,4894,2834,2698,3121,576,32329
LGA13850,0,0,20,20,0,11,4,22,0,76,6,3,27,10,10,13,10,27,0,108,31,25,31,19,16,15,19,33,3,188,43,22,23,23,28,13,20,27,4,202,71,42,33,28,37,20,40,54,10,333,61,20,28,19,27,27,41,42,9,275,31,7,6,3,6,5,18,7,0,87,12,0,0,0,3,5,0,0,0,22,0,0,0,0,0,0,0,0,0,0,253,126,179,124,130,108,152,207,27,1296
LGA13910,10,4,79,50,26,144,5,115,9,448,42,41,148,75,39,82,26,134,10,597,145,185,230,125,103,103,64,207,15,1183,321,216,210,144,162,117,87,212,11,1483,377,224,210,167,249,120,152,252,21,1770,372,176,136,127,180,117,120,200,24,1446,227,41,39,23,48,22,38,63,12,516,64,7,3,0,8,3,7,11,12,111,5,0,0,0,3,0,0,3,0,12,1557,903,1056,713,807,708,499,1203,110,7563
LGA14000,50,207,359,779,225,1216,60,610,58,3561,318,1313,781,1228,822,1129,141,447,87,6253,1354,4688,1297,1023,1498,899,254,517,202,11736,3147,6840,1549,1120,2251,843,310,513,245,16817,3563,5904,1576,1119,2857,889,459,754,224,17356,2064,3795,1050,770,2060,634,395,676,132,11582,461,1008,285,193,604,190,115,187,49,3093,51,103,26,22,57,31,13,36,19,355,9,14,5,0,6,3,3,3,7,38,11022,23871,6925,6254,10364,5835,1751,3751,1021,70798
LGA14100,3,17,16,84,23,86,4,18,11,262,37,89,38,129,74,96,3,20,5,491,162,384,60,67,112,67,8,23,19,901,408,516,71,51,184,78,17,15,20,1360,449,589,88,69,211,108,12,33,9,1570,269,413,53,57,174,63,13,19,19,1070,98,180,18,20,76,43,18,22,14,480,21,22,3,0,16,0,0,3,6,80,3,7,0,0,3,0,0,0,0,17,1456,2226,347,474,860,534,81,150,106,6240
LGA14170,35,126,170,567,157,736,25,320,46,2180,453,2028,807,1754,1206,1432,173,632,157,8636,3959,11909,2855,2683,3588,2047,485,1354,472,29355,5496,10591,1905,1474,3005,1281,492,789,394,25436,4144,7252,1520,1085,2715,989,607,806,318,19439,1850,4245,961,695,1654,601,555,700,145,11409,343,1154,211,173,414,150,113,232,40,2825,32,93,21,14,29,19,11,26,22,264,6,9,4,0,0,3,0,0,8,31,16318,37401,8446,8446,12773,7250,2467,4862,1608,99575
LGA14200,4,11,70,51,16,132,19,97,10,403,36,56,113,85,33,75,17,122,11,551,129,168,204,111,87,111,49,224,21,1110,191,210,141,151,138,91,69,192,17,1212,244,218,170,175,162,143,98,206,26,1445,247,177,127,135,121,93,87,161,21,1182,117,39,41,21,40,21,33,40,11,365,56,9,0,3,4,7,0,3,20,100,10,0,0,3,0,0,0,0,8,21,1044,895,864,744,607,662,375,1044,147,6393
LGA14300,0,0,27,22,4,21,0,33,0,120,14,6,34,33,12,28,14,53,0,189,46,63,70,52,41,29,25,118,7,450,77,69,36,50,56,24,38,60,9,425,108,62,56,75,71,27,49,71,3,515,100,58,42,50,67,25,54,58,7,455,68,7,15,11,8,3,17,14,0,136,17,0,0,0,0,4,0,0,0,16,5,0,0,0,0,0,0,0,4,13,431,270,273,292,256,156,201,411,32,2318
LGA14350,6,6,65,89,18,223,6,162,20,596,34,44,145,125,42,103,40,134,11,681,103,239,256,200,139,136,103,214,36,1419,229,279,231,268,221,149,127,246,34,1778,282,349,300,344,309,161,185,302,45,2277,255,373,253,316,245,152,158,258,45,2062,148,88,54,45,76,41,43,53,21,561,38,0,3,3,3,7,3,5,11,76,5,0,0,0,3,0,0,0,0,13,1100,1375,1308,1383,1054,974,666,1384,218,9463
LGA14400,4,11,96,157,19,145,18,102,3,556,39,103,200,176,65,103,33,78,6,801,154,467,273,170,139,94,81,81,27,1487,299,559,278,221,237,99,96,96,29,1905,403,607,309,237,327,136,113,106,35,2272,343,578,224,156,300,124,106,133,27,1992,101,100,38,24,60,26,26,29,6,411,12,23,4,3,8,3,3,3,3,57,4,0,0,0,0,0,0,0,0,4,1358,2434,1425,1145,1150,721,476,636,147,9488
LGA14500,29,248,128,795,223,908,54,352,31,2764,273,1150,340,1021,698,855,100,222,81,4737,1120,3527,538,525,1017,620,79,173,155,7746,3138,5363,600,435,1403,596,86,185,226,12038,4136,5910,615,655,1979,796,143,248,242,14723,2146,3784,422,399,1348,471,126,228,157,9082,624,1356,126,121,547,208,43,97,59,3196,102,223,25,15,100,49,3,30,28,574,17,31,4,0,9,4,0,0,8,71,11583,21592,2805,3962,7330,4502,639,1536,973,54920
LGA14550,4,0,21,19,5,57,11,33,4,156,17,11,48,28,14,13,11,45,0,183,35,64,56,47,35,25,29,76,3,375,84,83,69,55,50,27,41,98,12,524,155,119,83,80,94,51,90,123,13,818,203,151,81,105,108,48,57,115,15,863,105,29,14,14,21,7,15,28,3,238,44,0,0,0,0,0,0,3,7,63,12,0,0,0,0,0,0,0,0,11,663,460,381,346,323,230,255,513,64,3239
LGA14600,5,3,15,15,4,21,3,20,3,85,16,26,36,33,17,21,21,38,7,206,80,86,84,64,45,42,38,46,5,491,139,60,52,48,43,27,34,36,10,448,136,60,55,44,54,20,50,56,8,480,174,49,47,37,48,32,48,56,3,497,90,11,10,8,16,6,15,22,4,182,45,7,0,0,3,3,6,3,3,60,5,0,0,3,0,0,0,0,0,5,681,300,306,246,234,167,211,276,45,2472
LGA14650,69,141,787,910,217,1952,143,1141,57,5420,295,722,1724,1441,721,1356,316,1005,106,7675,1369,3973,3290,1904,2189,1312,1033,1442,233,16751,2243,4508,2872,1866,2758,1231,1210,1439,269,18401,2426,3913,2888,2150,3356,1443,1551,1758,283,19781,1672,3132,1848,1325,2396,1017,1279,1339,188,14196,341,662,255,199,480,262,218,248,72,2738,35,73,31,14,38,19,18,17,30,274,9,3,0,3,3,4,3,0,9,33,8453,17116,13704,9812,12170,8597,5768,8395,1253,85264
LGA14700,10,32,22,150,38,186,6,63,8,517,91,362,117,319,222,244,22,89,23,1484,771,2423,392,360,590,379,61,132,91,5193,1120,2192,273,218,563,198,46,79,78,4779,922,1596,213,177,485,201,61,77,57,3783,533,1072,127,119,373,161,63,58,28,2530,161,350,38,36,161,63,15,31,14,870,17,48,3,5,19,10,3,10,4,113,3,7,0,0,0,0,0,0,0,13,3632,8073,1187,1390,2456,1441,280,528,311,19292
LGA14750,12,3,54,29,8,88,14,77,4,293,20,40,83,51,32,32,34,99,11,396,94,141,158,52,73,51,66,202,11,842,137,150,129,84,95,41,91,156,17,902,211,150,131,81,161,69,114,180,26,1117,169,120,75,75,120,62,99,156,19,895,64,26,11,10,27,13,22,26,10,210,28,0,4,0,3,0,3,5,0,48,3,0,0,0,0,0,0,0,0,3,738,632,650,382,511,357,442,902,99,4705
LGA14850,25,20,117,118,49,457,28,276,19,1114,70,105,254,264,139,257,67,268,25,1443,242,599,487,413,313,320,154,333,43,2892,423,925,501,461,456,261,187,333,43,3590,539,933,497,538,682,317,252,495,63,4316,510,876,435,407,543,245,237,439,35,3723,223,186,72,82,126,61,74,95,26,939,65,21,3,5,9,5,3,12,12,134,10,0,0,0,0,0,0,0,3,14,2110,3651,2366,2291,2309,1934,1007,2261,251,18168
LGA14870,3,5,87,78,23,115,14,115,5,450,18,51,179,100,67,78,40,104,11,651,96,164,307,188,184,122,163,131,26,1388,129,200,248,196,221,114,228,152,21,1491,202,244,293,229,271,122,274,197,35,1866,188,229,206,175,216,74,222,195,24,1536,62,54,41,42,38,31,30,40,14,348,26,7,6,0,4,0,4,3,7,51,8,0,0,0,0,0,0,0,3,10,736,952,1363,1006,1031,654,972,942,142,7798
LGA14900,69,131,624,567,331,1404,144,798,101,4172,437,1301,1388,1332,1256,1518,612,920,265,9029,1844,4654,2861,1982,3219,1452,1732,1427,516,19671,2477,3949,2849,1801,3469,1346,2029,1642,461,20019,2164,2496,2685,1686,3086,1226,2407,2106,421,18278,1124,1405,1510,845,1769,639,1550,1524,233,10597,238,275,276,155,317,118,270,275,59,1979,24,16,8,9,20,18,11,21,12,155,4,4,3,3,0,0,0,0,0,16,8374,14232,12213,8382,13467,7719,8754,8705,2063,83905
LGA14920,4,0,16,22,0,37,3,31,3,117,3,15,46,27,9,16,19,44,3,195,66,71,69,51,45,34,70,85,12,504,101,83,58,72,52,37,75,69,5,559,149,71,64,70,83,40,101,109,12,699,180,72,70,63,59,37,79,90,11,660,96,29,15,10,25,7,19,22,11,234,24,0,0,0,4,0,3,3,3,40,3,0,0,0,0,0,0,0,0,10,632,342,342,316,283,209,373,459,58,3013
LGA14950,0,0,18,3,0,12,6,12,0,49,13,7,8,13,3,13,12,11,3,81,39,29,26,15,19,9,16,24,0,172,73,39,28,27,25,12,18,19,4,231,94,37,31,38,44,13,33,28,3,325,87,34,22,27,33,8,32,24,11,286,71,15,3,0,5,3,11,11,0,119,19,0,0,0,0,0,0,3,0,24,0,0,0,0,0,0,0,0,0,4,391,164,144,122,130,69,110,130,30,1294
LGA15050,27,39,314,335,106,765,55,515,23,2181,153,294,752,584,345,580,204,426,41,3378,621,1452,1758,897,960,658,756,719,99,7920,862,1525,1364,756,1094,538,824,649,122,7734,914,1286,1071,773,1201,562,859,725,114,7511,562,990,613,460,732,356,609,545,61,4925,136,175,97,69,148,78,97,97,33,928,28,9,7,6,7,4,9,11,4,94,8,0,0,0,0,0,0,3,10,23,3313,5766,5987,3873,4586,3547,3408,3696,516,34692
LGA15240,26,22,225,266,52,730,34,406,35,1795,115,167,450,369,130,343,93,356,36,2069,404,765,768,576,405,481,250,551,60,4266,661,944,880,725,646,544,343,626,78,5452,945,1200,1039,1004,935,686,580,977,106,7468,943,1357,866,730,871,576,537,845,100,6826,441,338,154,136,259,144,129,204,56,1863,103,36,14,6,28,4,8,27,31,258,19,0,0,0,0,4,0,6,12,41,3654,4832,4396,3808,3319,3516,1976,4007,515,30032
LGA15270,9,6,101,72,14,178,10,106,14,512,36,38,224,95,42,118,47,103,8,701,165,292,426,191,146,135,267,175,23,1818,236,319,335,198,222,126,298,190,26,1964,339,307,316,213,286,174,360,306,27,2331,334,243,198,154,213,115,197,208,22,1680,210,70,58,25,40,29,37,66,13,553,72,4,7,0,10,3,8,7,5,118,8,0,3,0,0,0,0,3,0,19,1410,1274,1671,946,979,882,1219,1163,137,9689
LGA15300,9,8,34,30,10,74,17,57,8,251,36,41,84,68,34,57,42,79,14,453,150,235,168,117,115,72,74,112,13,1054,251,185,128,115,141,71,89,117,18,1112,265,130,120,126,191,80,137,162,25,1236,265,130,82,68,120,69,106,129,20,990,128,31,19,20,38,15,42,40,11,347,44,3,4,0,9,4,6,4,0,78,0,0,0,0,0,0,0,0,0,3,1152,762,642,554,665,422,520,701,103,5521
LGA15350,5,35,17,163,27,113,11,50,5,421,69,213,60,228,145,151,6,35,10,918,500,1178,196,221,327,230,15,58,59,2781,922,1368,142,130,338,172,14,37,64,3189,1008,1254,108,143,376,192,18,51,63,3224,582,935,68,105,281,145,21,46,51,2238,230,445,25,27,162,69,10,20,33,1021,42,81,6,3,21,14,0,7,9,185,3,13,0,0,3,0,0,0,4,21,3360,5530,622,1018,1686,1085,100,293,300,13999
LGA15520,7,6,45,59,14,74,4,51,8,272,25,37,64,52,23,46,13,57,4,315,145,165,150,82,75,58,42,104,14,838,211,169,118,75,100,57,47,106,9,899,328,156,130,113,133,75,87,149,8,1170,309,138,105,73,117,75,86,154,26,1077,131,27,12,21,38,26,38,38,9,338,39,3,7,0,6,5,3,5,0,68,12,0,0,0,0,0,0,0,0,18,1205,701,627,478,503,414,323,661,78,4994
