LGA_CODE_2016,NegNil_inc_Emp_WFT,NegNil_inc_Emp_WPT,NegNil_inc_Emp_AW,NegNil_inc_E_T,NegNil_inc_UnE_lfw_FTW,NegNil_inc_UnE_lfw_PTW,NegNil_inc_UnE_lfw_Tot,NegNil_inc_T_LF,NegNil_inc_Notin_LF,NegNil_inc_LF_sta_NS,NegNil_inc_Tot,I_1_149_Emp_WFT,I_1_149_Emp_WPT,I_1_149_Emp_AW,I_1_149_E_T,I_1_149_UnE_lfw_FTW,I_1_149_UnE_lfw_PTW,I_1_149_UnE_lfw_Tot,I_1_149_T_LF,I_1_149_Notin_LF,I_1_149_LF_sta_NS,I_1_149_Tot,I_150_299_Emp_WFT,I_150_299_Emp_WPT,I_150_299_Emp_AW,I_150_299_E_T,I_150_299_UnE_lfw_FTW,I_150_299_UnE_lfw_PTW,I_150_299_UnE_lfw_Tot,I_150_299_T_LF,I_150_299_Notin_LF,I_150_299_LF_sta_NS,I_150_299_Tot,I_300_399_Emp_WFT,I_300_399_Emp_WPT,I_300_399_Emp_AW,I_300_399_E_T,I_300_399_UnE_lfw_FTW,I_300_399_UnE_lfw_PTW,I_300_399_UnE_lfw_Tot,I_300_399_T_LF,I_300_399_Notin_LF,I_300_399_LF_sta_NS,I_300_399_Tot,I_400_499_Emp_WFT,I_400_499_Emp_WPT,I_400_499_Emp_AW,I_400_499_E_T,I_400_499_UnE_lfw_FTW,I_400_499_UnE_lfw_PTW,I_400_499_UnE_lfw_Tot,I_400_499_T_LF,I_400_499_Notin_LF,I_400_499_LF_sta_NS,I_400_499_Tot,I_500_649_Emp_WFT,I_500_649_Emp_WPT,I_500_649_Emp_AW,I_500_649_E_T,I_500_649_UnE_lfw_FTW,I_500_649_UnE_lfw_PTW,I_500_649_UnE_lfw_Tot,I_500_649_T_LF,I_500_649_Notin_LF,I_500_649_LF_sta_NS,I_500_649_Tot,I_650_799_Emp_WFT,I_650_799_Emp_WPT,I_650_799_Emp_AW,I_650_799_E_T,I_650_799_UnE_lfw_FTW,I_650_799_UnE_lfw_PTW,I_650_799_UnE_lfw_Tot,I_650_799_T_LF,I_650_799_Notin_LF,I_650_799_LF_sta_NS,I_650_799_Tot,I_800_999_Emp_WFT,I_800_999_Emp_WPT,I_800_999_Emp_AW,I_800_999_E_T,I_800_999_UnE_lfw_FTW,I_800_999_UnE_lfw_PTW,I_800_999_UnE_lfw_Tot,I_800_999_T_LF,I_800_999_Notin_LF,I_800_999_LF_sta_NS,I_800_999_Tot,I_1000_1249_Emp_WFT,I_1000_1249_Emp_WPT,I_1000_1249_Emp_AW,I_1000_1249_E_T,I_1000_1249_UnE_lfw_FTW,I_1000_1249_UnE_lfw_PTW,I_1000_1249_UnE_lfw_Tot,I_1000_1249_T_LF,I_1000_1249_Notin_LF,I_1000_1249_LF_sta_NS,I_1000_1249_Tot,I_1250_1499_Emp_WFT,I_1250_1499_Emp_WPT,I_1250_1499_Emp_AW,I_1250_1499_E_T,I_1250_1499_UnE_lfw_FTW,I_1250_1499_UnE_lfw_PTW,I_1250_1499_UnE_lfw_Tot,I_1250_1499_T_LF,I_1250_1499_Notin_LF,I_1250_1499_LF_sta_NS,I_1250_1499_Tot,I_1500_1749_Emp_WFT,I_1500_1749_Emp_WPT,I_1500_1749_Emp_AW,I_1500_1749_E_T,I_1500_1749_UnE_lfw_FTW,I_1500_1749_UnE_lfw_PTW,I_1500_1749_UnE_lfw_Tot,I_1500_1749_T_LF,I_1500_1749_Notin_LF,I_1500_1749_LF_sta_NS,I_1500_1749_Tot,I_1750_1999_Emp_WFT,I_1750_1999_Emp_WPT,I_1750_1999_Emp_AW,I_1750_1999_E_T,I_1750_1999_UnE_lfw_FTW,I_1750_1999_UnE_lfw_PTW,I_1750_1999_UnE_lfw_Tot,I_1750_1999_T_LF,I_1750_1999_Notin_LF,I_1750_1999_LF_sta_NS,I_1750_1999_Tot,I_2000_2499_Emp_WFT,I_2000_2499_Emp_WPT,I_2000_2499_Emp_AW,I_2000_2499_E_T,I_2000_2499_UnE_lfw_FTW,I_2000_2499_UnE_lfw_PTW,I_2000_2499_UnE_lfw_Tot,I_2000_2499_T_LF,I_2000_2499_Notin_LF,I_2000_2499_LF_sta_NS,I_2000_2499_Tot,I_2500_2999_Emp_WFT,I_2500_2999_Emp_WPT,I_2500_2999_Emp_AW,I_2500_2999_E_T,I_2500_2999_UnE_lfw_FTW,I_2500_2999_UnE_lfw_PTW,I_2500_2999_UnE_lfw_Tot,I_2500_2999_T_LF,I_2500_2999_Notin_LF,I_2500_2999_LF_sta_NS,I_2500_2999_Tot,I_3000_3499_Emp_WFT,I_3000_3499_Emp_WPT,I_3000_3499_Emp_AW,I_3000_3499_E_T,I_3000_3499_UnE_lfw_FTW,I_3000_3499_UnE_lfw_PTW,I_3000_3499_UnE_lfw_Tot,I_3000_3499_T_LF,I_3000_3499_Notin_LF,I_3000_3499_LF_sta_NS,I_3000_3499_Tot,I_3500_3999_Emp_WFT,I_3500_3999_Emp_WPT,I_3500_3999_Emp_AW,I_3500_3999_E_T,I_3500_3999_UnE_lfw_FTW,I_3500_3999_UnE_lfw_PTW,I_3500_3999_UnE_lfw_Tot,I_3500_3999_T_LF,I_3500_3999_Notin_LF,I_3500_3999_LF_sta_NS,I_3500_3999_Tot,I_4000more_Emp_WFT,I_4000more_Emp_WPT,I_4000more_Emp_AW,I_4000more_E_T,I_4000more_UnE_lfw_FTW,I_4000more_UnE_lfw_PTW,I_4000more_UnE_lfw_Tot,I_4000more_T_LF,I_4000more_Notin_LF,I_4000more_LF_sta_NS,I_4000more_Tot,Part_inc_sta_Emp_WFT,Part_inc_sta_Emp_WPT,Part_inc_sta_Emp_AW,Part_inc_sta_E_T,Part_inc_sta_UnE_lfw_FTW,Part_inc_sta_UnE_lfw_PTW,Part_inc_sta_UnE_lfw_Tot,Part_inc_sta_T_LF,Part_inc_sta_Notin_LF,Part_inc_sta_LF_sta_NS,Part_inc_sta_Tot,All_inc_NS_Emp_WFT,All_inc_NS_Emp_WPT
LGA13550,0,0,0,0,0,3,3,3,3,0,8,0,3,0,3,4,0,4,7,4,0,7,0,0,0,3,4,0,5,8,11,0,16,0,8,0,4,3,3,4,12,12,0,25,0,11,3,10,3,5,6,23,14,0,38,3,28,0,34,0,3,9,38,38,0,74,5,12,3,21,0,0,0,23,34,0,59,17,12,0,27,3,4,3,33,26,0,56,19,14,0,39,0,3,3,35,20,0,58,14,5,3,17,0,0,0,17,11,0,30,16,3,0,16,0,0,0,20,7,0,29,8,5,0,13,0,0,0,13,0,0,16,15,3,0,19,0,0,0,19,8,0,21,5,3,0,5,0,0,0,5,0,0,5,3,0,0,3,0,0,0,3,0,0,3,0,3,0,4,0,0,0,4,0,0,4,3,0,0,3,0,0,0,3,0,0,4,13,6,0,21,3,0,3,24,23,0,46,4,0
LGA13660,3,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,3,0,3,0,6,0,6,0,0,0,4,3,0,11,0,0,0,3,0,0,0,3,7,0,13,0,7,0,3,0,0,0,3,12,0,16,0,13,0,9,0,3,3,15,6,0,21,3,7,0,8,0,0,0,7,14,0,24,0,6,0,7,0,0,0,9,19,0,23,5,3,0,9,0,0,0,9,7,0,22,3,3,0,10,0,0,0,10,4,0,14,4,0,0,4,0,0,0,4,3,0,3,3,3,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,6,10,0,14,0,0
LGA13800,0,0,0,3,0,4,7,11,33,0,42,0,3,3,6,0,0,3,8,20,0,24,0,10,0,10,12,0,14,20,43,0,65,3,19,3,22,4,3,11,32,60,0,87,5,39,0,44,3,9,17,62,92,0,161,18,79,5,102,3,8,11,116,122,0,241,44,80,4,128,3,7,10,135,124,0,266,77,76,3,155,4,8,9,163,106,3,277,118,68,3,191,8,3,8,198,107,0,306,125,61,3,186,0,0,3,186,68,0,257,99,33,3,138,3,0,4,137,37,0,171,106,20,3,131,0,0,0,129,28,4,163,153,26,3,185,0,0,0,184,41,0,223,75,19,4,98,0,0,0,98,10,0,109,34,11,3,48,0,0,0,44,3,0,49,29,8,0,40,0,0,0,38,5,0,48,25,3,0,25,0,0,0,29,6,0,33,100,40,5,144,7,6,13,159,80,3,239,9,6
LGA13850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,0,7,0,3,0,3,0,0,0,3,3,0,9,0,0,0,5,0,4,4,9,7,0,9,3,6,0,11,0,0,0,11,4,0,15,3,9,0,6,0,0,0,6,5,0,13,6,3,0,8,0,0,0,8,14,0,18,0,3,0,3,0,0,0,3,0,0,6,0,4,0,3,0,0,0,3,0,0,4,3,4,0,5,0,0,0,5,0,0,7,0,0,0,0,0,0,0,0,0,0,0,6,0,0,9,0,0,0,9,0,0,6,3,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,3,0,5,0,0,0,5,6,0,10,0,0
LGA13910,0,0,0,5,0,0,0,8,10,0,21,0,0,0,0,0,0,0,0,3,0,5,0,3,0,3,3,3,6,8,13,0,28,0,24,0,22,9,0,6,29,23,0,61,0,20,0,18,6,7,11,28,39,3,70,8,44,0,47,5,5,7,53,47,0,107,17,30,4,51,5,0,8,54,49,3,102,24,14,0,40,0,0,0,44,47,0,93,26,15,0,37,4,4,5,45,33,0,78,18,10,0,36,0,0,0,36,17,0,52,11,5,0,17,0,0,0,17,14,0,31,13,4,0,16,0,0,0,16,5,0,20,14,8,0,19,0,0,0,19,10,0,29,3,0,0,3,0,0,0,3,0,0,3,3,0,0,5,0,0,0,5,0,0,5,5,0,0,3,0,0,0,3,0,0,3,0,3,0,0,0,0,0,0,0,0,6,18,25,3,44,3,3,4,53,28,3,83,3,0
LGA14000,0,0,3,6,3,6,9,20,96,0,114,0,10,0,12,0,0,0,11,31,0,38,0,25,3,25,6,6,13,43,59,0,97,4,29,0,38,4,0,6,40,40,0,76,3,48,4,61,3,5,9,69,81,0,152,34,89,3,125,3,5,16,137,87,0,229,43,96,3,139,4,9,7,147,118,0,266,67,112,5,176,0,3,7,183,117,0,302,166,112,9,288,6,7,15,298,155,3,451,160,102,7,266,3,8,15,278,128,0,409,157,96,7,260,0,3,0,267,93,0,359,159,51,3,216,0,3,8,220,81,0,301,284,68,18,366,0,0,6,368,95,3,470,148,41,0,192,0,0,3,192,63,0,259,71,13,0,88,3,0,3,88,32,0,123,106,11,8,120,0,0,0,124,18,0,138,108,12,8,124,0,0,0,126,27,0,155,217,95,13,321,3,6,8,328,143,3,476,13,5
LGA14100,0,0,0,0,4,0,6,6,11,0,16,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,3,7,3,0,10,0,0,0,0,0,0,0,3,3,0,6,0,5,0,8,0,0,0,4,9,0,11,0,7,0,5,0,3,3,10,3,0,8,7,7,0,14,0,0,0,10,15,0,33,14,4,0,20,0,0,0,20,14,0,28,3,14,0,20,0,0,0,23,11,0,34,5,4,0,14,0,0,0,16,3,0,18,9,4,0,13,0,0,0,12,3,0,24,11,3,0,11,0,0,0,15,4,0,20,21,6,0,26,0,0,0,29,3,0,34,11,4,0,14,0,0,0,14,8,0,23,3,3,0,5,0,0,0,5,0,0,4,17,4,3,27,0,0,0,27,5,0,36,17,4,0,22,0,0,0,22,6,0,27,16,13,0,27,0,0,0,29,7,0,41,3,0
LGA14170,5,0,0,5,8,9,19,27,102,0,132,4,5,0,9,6,0,7,16,35,0,52,3,31,0,37,15,17,28,62,95,0,157,4,28,3,37,15,15,30,66,84,0,144,4,60,8,72,10,18,31,101,184,0,284,28,99,8,127,12,25,39,168,204,0,373,67,111,4,187,5,13,20,207,220,0,431,105,126,9,242,3,8,6,251,239,3,487,210,154,7,362,13,13,18,386,229,3,614,198,103,7,309,7,8,6,324,176,0,499,210,85,11,302,7,4,10,312,139,3,450,179,52,11,238,0,0,3,239,92,4,333,359,94,8,466,6,0,5,472,149,3,622,155,35,4,196,3,0,3,199,83,3,283,52,14,3,71,0,0,0,71,19,0,85,211,23,5,240,9,3,12,249,19,0,271,158,18,6,179,0,0,0,182,40,0,220,211,90,16,312,3,10,20,331,216,18,567,19,6
LGA14200,0,0,0,0,0,0,0,0,11,0,13,0,0,4,3,4,0,3,6,4,0,7,0,7,0,5,5,7,7,18,26,0,39,0,16,0,16,4,0,5,20,32,0,54,5,6,3,16,5,8,12,25,61,0,87,9,35,3,44,11,11,19,69,48,0,118,15,31,4,45,0,3,3,53,51,0,103,26,17,0,40,3,0,3,45,47,0,90,22,15,0,39,0,0,0,39,27,0,70,19,16,3,34,0,0,0,32,21,0,53,9,3,3,16,0,0,0,16,16,0,29,9,3,3,12,0,0,0,12,4,0,17,15,8,0,19,0,0,0,19,3,0,19,3,0,0,3,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,8,0,38,6,4,7,40,31,0,73,3,3
LGA14300,0,0,0,0,0,0,0,0,3,0,3,3,0,0,3,0,0,0,3,0,0,3,0,3,0,0,0,0,0,3,3,0,9,0,3,0,4,0,0,0,4,4,0,9,0,7,0,9,0,0,0,4,8,0,17,0,12,0,16,0,0,0,16,10,0,32,10,3,0,8,0,0,0,8,19,0,35,4,3,0,15,0,0,0,15,11,0,29,7,6,0,13,0,0,0,13,9,0,23,11,6,0,15,0,0,0,16,4,0,18,6,0,0,6,0,0,3,8,3,0,8,3,4,0,4,0,0,0,4,3,0,8,0,0,0,3,0,0,0,3,0,0,8,3,0,0,3,0,0,0,3,4,0,7,3,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,15,8,0,23,0,0,0,23,14,0,29,0,0
LGA14350,0,0,0,0,0,3,4,4,8,0,14,0,0,0,0,0,0,0,0,16,0,12,0,10,0,12,4,0,5,24,32,0,50,6,13,0,20,7,4,11,31,50,3,78,0,19,9,26,8,4,9,37,71,3,109,14,74,7,92,15,16,30,123,128,0,253,17,60,4,84,3,9,16,94,105,0,205,40,43,4,91,6,10,11,103,118,5,218,34,47,3,79,3,3,9,86,86,0,175,39,24,3,69,0,3,4,73,46,0,119,28,18,5,52,0,0,0,53,30,0,80,12,19,0,25,0,0,0,25,10,0,37,19,8,0,26,0,0,0,26,20,0,46,10,0,0,10,0,0,0,10,3,0,14,3,0,0,3,0,0,0,3,0,0,4,0,0,0,0,0,0,0,5,4,0,12,0,0,0,0,0,0,0,0,0,0,0,45,37,0,80,3,7,6,92,77,7,170,0,6
LGA14400,0,0,0,0,0,0,0,0,9,0,7,0,0,0,0,0,0,0,0,3,0,3,3,0,0,7,3,3,4,13,4,0,18,0,9,0,5,0,0,0,9,13,0,21,6,11,0,16,0,0,0,15,13,0,31,5,26,3,33,3,5,9,39,20,0,68,11,32,0,36,0,0,0,39,24,0,69,10,33,7,46,3,0,3,47,27,0,77,20,26,0,49,0,0,0,49,27,0,79,21,16,0,34,0,0,0,37,17,0,53,20,12,7,34,0,0,0,34,10,0,48,28,7,0,33,0,0,0,32,11,0,46,30,10,0,35,0,0,0,35,14,0,47,9,5,0,18,0,0,0,19,4,0,23,4,0,0,4,0,0,0,4,0,0,5,7,0,0,7,0,0,0,11,0,0,8,8,0,0,12,0,0,0,12,4,0,10,32,18,0,51,0,0,0,54,24,0,80,0,0
LGA14500,4,0,0,5,3,11,9,17,156,0,180,3,9,0,9,3,3,4,17,37,0,52,3,19,3,24,0,9,9,30,53,0,88,0,12,0,21,5,3,12,25,21,0,53,4,22,4,30,9,3,12,37,38,0,73,9,61,3,73,5,5,8,80,60,0,145,19,44,3,69,4,3,7,77,76,0,154,51,52,3,114,6,8,15,127,89,0,210,78,78,10,168,0,3,3,175,104,3,275,83,61,4,147,0,3,3,147,104,0,252,101,53,4,155,0,4,3,163,54,0,218,113,41,3,158,0,0,0,158,63,0,215,185,61,4,252,0,4,4,249,80,0,337,83,32,5,116,4,0,4,119,61,0,183,39,13,0,53,0,0,0,53,27,0,75,151,26,3,176,0,0,0,184,22,0,204,138,31,4,165,0,0,0,169,49,0,220,155,64,7,223,10,3,13,234,118,0,356,8,3
LGA14550,0,0,0,0,3,0,3,3,0,0,10,0,0,0,0,0,0,0,0,3,0,5,0,3,0,5,3,0,3,3,14,0,18,0,4,0,4,0,0,0,3,14,0,18,3,5,0,9,7,5,8,16,32,0,57,3,20,4,26,0,0,4,31,27,0,58,3,12,0,18,0,3,3,25,31,0,53,12,5,3,24,0,0,3,22,34,0,54,13,7,0,14,3,0,3,19,17,0,38,3,8,0,6,0,0,0,13,8,0,21,4,7,0,7,0,0,0,7,3,0,9,3,0,0,6,0,0,0,6,3,0,7,3,0,0,5,0,0,0,5,3,0,5,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,8,5,5,17,3,3,7,21,17,0,40,3,0
LGA14600,0,0,0,0,0,0,0,0,3,0,5,0,3,0,3,0,0,0,3,0,0,3,0,0,0,0,0,3,3,3,3,0,10,0,0,3,3,7,0,7,8,7,0,17,0,5,0,6,0,0,0,6,10,0,19,3,15,0,18,3,0,3,25,20,0,41,4,3,0,6,3,3,3,9,24,0,36,9,8,0,16,0,0,3,18,10,0,32,8,4,0,16,4,0,4,17,11,0,28,3,3,4,11,0,0,0,8,5,0,16,9,3,0,10,0,0,0,10,3,0,17,3,0,0,9,0,0,0,9,0,0,7,3,3,0,5,0,0,0,5,6,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,0,13,0,0,0,15,17,0,31,0,0
LGA14650,4,3,3,11,7,5,19,25,75,0,96,5,15,4,23,5,3,8,28,30,0,60,4,38,3,48,24,14,38,87,123,3,207,3,54,7,71,21,34,47,120,183,0,301,8,129,15,148,35,39,81,230,387,0,617,42,301,34,378,50,58,109,487,516,4,1002,129,325,25,482,26,33,57,540,552,5,1102,232,338,23,594,25,20,46,640,467,10,1117,376,314,22,715,15,18,31,744,443,3,1194,321,180,11,517,16,6,18,536,279,3,815,278,110,13,405,8,0,8,416,150,3,573,227,89,10,326,0,5,7,331,105,0,442,323,96,20,444,5,0,7,448,128,3,575,130,36,4,175,0,0,0,175,41,0,216,44,7,0,59,0,0,0,56,15,0,68,42,13,3,52,0,0,0,56,12,0,67,41,8,3,45,0,0,0,45,33,0,81,267,172,31,474,18,11,32,507,312,26,848,18,15
LGA14700,3,0,0,3,4,0,5,10,24,0,34,0,4,0,4,0,0,0,4,9,0,8,0,8,0,8,0,4,4,8,3,0,15,0,7,0,7,0,0,0,7,8,0,8,0,10,0,10,0,0,0,12,10,0,19,3,16,0,21,3,0,0,23,28,0,47,5,17,0,25,0,0,3,32,20,0,52,22,26,0,48,0,0,3,49,25,0,74,38,31,3,64,0,0,3,68,26,0,94,34,10,0,48,0,0,0,46,28,0,80,24,14,3,45,0,0,3,46,14,0,62,40,16,0,54,0,0,0,54,9,0,61,77,17,0,97,0,0,0,103,22,0,122,32,10,0,40,0,0,0,37,17,0,60,13,5,0,16,3,0,3,18,3,0,17,65,12,0,76,0,0,0,76,0,0,73,41,8,0,45,0,0,0,45,17,0,66,44,22,3,72,0,0,0,69,25,0,100,4,0
LGA14750,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,0,4,3,3,0,5,0,3,0,3,0,0,3,6,8,0,10,0,10,0,9,0,4,4,12,18,0,32,3,5,0,8,3,3,3,15,16,0,32,3,17,0,20,3,0,3,22,23,0,46,14,17,3,34,0,0,0,34,29,0,59,21,18,4,38,0,0,0,36,32,0,65,11,3,3,17,0,0,0,17,19,0,38,9,4,0,16,0,0,0,16,9,0,20,13,4,0,13,0,0,0,13,6,0,24,13,3,0,18,0,0,0,18,3,0,21,13,3,0,16,0,0,0,16,0,0,19,3,0,0,3,0,0,0,3,0,0,6,0,4,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,10,11,0,16,0,0,0,21,21,3,39,0,0
LGA14850,0,0,0,0,3,0,3,3,15,0,19,0,3,0,3,3,3,6,12,9,0,24,0,9,0,12,9,11,20,28,31,0,63,0,18,0,22,12,3,14,30,48,0,85,9,41,10,55,12,17,23,77,108,3,187,14,116,13,146,11,17,26,166,146,3,315,39,99,9,154,5,15,21,169,136,4,306,89,84,3,173,6,0,8,178,112,0,291,93,70,4,166,4,3,3,175,96,0,272,75,44,0,119,0,0,0,121,53,0,170,73,24,7,105,0,0,0,109,31,0,141,42,15,0,55,0,0,0,58,15,0,70,61,15,4,82,0,0,0,82,16,0,99,17,0,0,21,0,0,0,21,13,0,29,6,0,0,6,0,0,0,6,0,0,6,3,0,0,5,0,0,3,7,7,0,13,6,0,0,6,0,0,0,6,0,0,6,53,50,5,110,12,6,22,134,87,4,220,0,4
LGA14870,0,0,0,3,0,0,0,3,10,0,13,0,0,0,3,0,4,6,3,3,0,10,0,3,0,8,4,5,13,18,23,0,36,0,16,0,24,0,6,5,25,28,0,57,4,24,0,27,3,3,8,32,45,0,77,7,53,0,65,3,5,15,73,57,0,130,14,30,3,46,3,3,9,54,92,0,148,20,24,0,40,5,0,5,48,61,0,112,24,11,4,44,5,0,3,45,41,0,87,18,11,0,30,0,6,6,32,24,0,61,18,7,0,28,0,0,0,28,14,0,37,10,4,0,20,0,0,0,24,9,0,32,17,10,3,35,0,0,0,36,18,0,52,12,0,0,11,0,0,0,11,7,0,19,5,3,0,6,0,0,0,6,0,0,4,3,0,0,3,0,0,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,3,25,16,0,37,5,3,9,51,40,3,92,0,0
LGA14900,3,0,0,4,17,12,34,36,185,3,227,3,13,3,24,7,3,6,30,54,0,84,3,58,3,66,13,30,47,112,178,3,292,3,61,3,65,15,18,36,103,267,0,369,15,90,0,106,18,41,58,166,376,0,544,52,166,17,227,26,45,72,303,486,0,786,132,191,12,336,18,34,54,389,518,0,911,257,208,23,485,16,14,31,514,478,3,998,313,179,16,516,13,16,29,542,422,8,965,296,130,17,441,14,14,24,465,333,5,801,256,85,8,352,3,12,20,367,211,0,585,225,67,4,302,9,4,15,319,151,0,469,340,78,23,436,3,3,10,443,192,4,634,163,34,11,213,0,3,3,211,105,0,317,99,21,6,125,0,0,3,133,40,0,169,63,14,0,79,0,3,0,80,39,0,118,85,6,0,96,0,0,0,96,40,0,132,219,114,36,371,17,17,32,400,359,31,789,12,14
LGA14920,0,0,0,3,0,0,0,3,0,0,5,0,0,0,0,0,0,0,3,3,0,7,0,0,0,0,5,0,6,9,4,0,7,3,9,0,7,5,0,3,14,18,0,30,0,8,0,8,0,5,5,13,20,0,34,0,4,3,9,3,3,6,20,20,0,43,4,9,0,17,0,0,3,24,24,0,51,10,11,0,18,3,0,3,19,22,0,41,9,6,0,18,0,0,0,14,17,0,33,11,0,0,15,0,0,0,15,11,0,24,12,3,0,15,0,0,0,15,3,0,14,5,0,0,5,0,0,0,8,8,0,14,3,0,0,3,0,0,0,3,6,0,3,3,0,0,3,0,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,4,13,10,0,18,4,0,4,24,5,0,31,0,0
LGA14950,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,4,0,4,0,3,0,0,0,3,6,0,13,0,0,0,0,0,0,0,3,13,0,16,0,3,0,0,0,0,0,0,4,0,4,5,4,0,10,0,0,0,10,9,0,18,4,0,0,4,0,0,0,4,8,0,11,0,3,0,10,0,0,0,10,3,0,11,0,0,0,3,0,0,0,3,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,11,0,0,0,11,4,0,16,0,0
LGA15050,3,0,0,3,10,4,7,13,37,0,51,0,8,3,4,0,0,4,12,16,0,27,0,14,0,19,15,5,17,33,47,0,80,4,33,3,37,11,13,25,59,93,0,155,4,43,6,48,23,16,39,91,137,0,223,24,126,15,158,23,25,47,206,213,0,417,59,160,18,232,17,25,44,273,229,0,506,108,117,13,228,12,17,30,258,195,3,455,160,111,5,275,15,5,22,295,163,0,461,158,67,6,233,3,0,3,237,102,0,341,122,39,6,161,5,0,3,169,56,0,225,78,27,5,116,0,3,3,120,37,0,152,148,30,3,189,0,0,0,190,33,0,224,49,14,4,65,0,0,0,65,14,0,78,18,4,0,21,0,0,0,24,0,0,28,16,3,0,23,4,0,4,22,0,0,23,12,3,0,13,0,0,0,13,9,0,18,105,66,11,180,10,5,11,189,89,3,285,6,7
LGA15240,3,5,3,12,3,0,8,18,33,0,44,0,10,0,12,9,7,10,19,19,0,39,4,25,5,27,19,11,32,57,97,0,160,8,38,3,48,22,6,30,77,128,3,210,0,65,3,76,29,34,60,135,214,5,348,26,153,13,193,19,30,50,245,323,0,567,65,148,12,219,17,17,29,251,337,5,596,124,147,9,280,15,14,23,305,296,0,605,121,101,4,232,7,6,11,242,206,0,446,75,73,9,154,0,3,6,163,105,0,267,79,38,9,123,0,0,3,127,57,0,183,50,31,3,86,0,0,0,86,37,0,123,63,17,6,84,0,0,0,83,36,0,120,18,3,0,18,0,0,0,18,16,0,32,6,0,0,6,0,0,0,6,3,0,13,7,3,0,10,0,3,3,7,8,0,21,3,3,0,11,0,3,4,10,4,0,18,103,90,18,213,18,11,23,234,173,10,417,15,11
LGA15270,0,0,0,0,0,4,4,3,4,0,8,3,0,0,3,0,0,0,3,8,0,9,0,9,0,11,0,3,3,9,31,0,43,4,12,3,15,3,0,6,21,25,0,52,0,17,5,27,8,3,14,41,43,0,88,6,38,0,46,0,7,14,55,64,0,118,19,37,0,56,6,4,6,67,59,3,135,25,26,0,54,0,6,3,56,49,0,108,32,21,0,55,0,0,0,51,25,0,85,25,13,0,34,0,0,0,36,27,0,56,9,8,0,16,0,0,0,17,10,0,29,10,3,0,17,0,0,0,17,18,0,28,29,9,3,31,0,0,0,31,12,0,45,7,0,0,7,0,0,0,7,3,0,7,0,0,0,3,0,0,0,3,0,0,3,3,0,0,3,0,0,0,3,0,0,5,0,3,0,0,0,0,0,0,0,0,6,30,16,3,44,3,0,6,56,36,3,94,3,0
